(3, 10, 75), [3, 2, 3], 3.25.d_k_cx 
(3, 10, 175), [3, 2, 3], 3.25.d_k_gt 
(3, 20, -25), [3, 0, 3], 3.25.d_u_az 
(3, 20, 50), [3, 0, 2], 3.25.d_u_by 
(3, 20, 75), [3, 0, 3], 3.25.d_u_cx 
(3, 20, 125), [3, 0, 1], 3.25.d_u_ev 
(3, 20, 175), [3, 0, 3], 3.25.d_u_gt 
(3, 25, -25), [3, 1, 3], 3.25.d_z_az 
(3, 25, 100), [3, 1, 0], 3.25.d_z_dw 
(3, 25, 225), [3, 1, 1], 3.25.d_z_ir 
(3, 30, 50), [3, 2, 2], 3.25.d_be_by 
(3, 30, 75), [3, 2, 3], 3.25.d_be_cx 
(3, 30, 125), [3, 2, 1], 3.25.d_be_ev 
(3, 30, 225), [3, 2, 1], 3.25.d_be_ir 
(3, 40, 75), [3, 0, 3], 3.25.d_bo_cx 
(3, 40, 175), [3, 0, 3], 3.25.d_bo_gt 
(3, 45, 175), [3, 1, 3], 3.25.d_bt_gt 
(3, 50, 100), [3, 2, 0], 3.25.d_by_dw 
(3, 50, 125), [3, 2, 1], 3.25.d_by_ev 
(3, 50, 175), [3, 2, 3], 3.25.d_by_gt 
(4, -20, -225), [0, 0, 3], 3.25.e_au_air 
(4, -15, -275), [0, 1, 1], 3.25.e_ap_akp 
(4, -15, -125), [0, 1, 3], 3.25.e_ap_aev 
(4, -10, -225), [0, 2, 3], 3.25.e_ak_air 
(4, -10, -125), [0, 2, 3], 3.25.e_ak_aev 
(4, -10, -75), [0, 2, 1], 3.25.e_ak_acx 
(4, -5, -125), [0, 3, 3], 3.25.e_af_aev 
(4, -5, -25), [0, 3, 3], 3.25.e_af_az 
(4, 0, -175), [0, 0, 1], 3.25.e_a_agt 
(4, 0, -125), [0, 0, 3], 3.25.e_a_aev 
(4, 0, -75), [0, 0, 1], 3.25.e_a_acx 
(4, 0, -25), [0, 0, 3], 3.25.e_a_az 
(4, 0, 25), [0, 0, 1], 3.25.e_a_z 
(4, 10, -75), [0, 2, 1], 3.25.e_k_acx 
(4, 10, -25), [0, 2, 3], 3.25.e_k_az 
(4, 10, 25), [0, 2, 1], 3.25.e_k_z 
(4, 10, 125), [0, 2, 1], 3.25.e_k_ev 
(4, 20, -25), [0, 0, 3], 3.25.e_u_az 
(4, 20, 0), [0, 0, 0], 3.25.e_u_a 
(4, 20, 25), [0, 0, 1], 3.25.e_u_z 
(4, 20, 125), [0, 0, 1], 3.25.e_u_ev 
(4, 20, 175), [0, 0, 3], 3.25.e_u_gt 
(4, 20, 225), [0, 0, 1], 3.25.e_u_ir 
(4, 25, 50), [0, 1, 2], 3.25.e_z_by 
(4, 25, 175), [0, 1, 3], 3.25.e_z_gt 
(4, 30, 25), [0, 2, 1], 3.25.e_be_z 
(4, 30, 125), [0, 2, 1], 3.25.e_be_ev 
(4, 30, 175), [0, 2, 3], 3.25.e_be_gt 
(4, 30, 225), [0, 2, 1], 3.25.e_be_ir 
(4, 30, 250), [0, 2, 2], 3.25.e_be_jq 
(4, 35, 150), [0, 3, 2], 3.25.e_bj_fu 
(4, 40, 125), [0, 0, 1], 3.25.e_bo_ev 
(4, 40, 175), [0, 0, 3], 3.25.e_bo_gt 
(4, 40, 225), [0, 0, 1], 3.25.e_bo_ir 
(4, 50, 125), [0, 2, 1], 3.25.e_by_ev 
(4, 50, 175), [0, 2, 3], 3.25.e_by_gt 
(4, 50, 225), [0, 2, 1], 3.25.e_by_ir 
(4, 60, 175), [0, 0, 3], 3.25.e_ci_gt 
(6, -20, -275), [2, 0, 1], 3.25.g_au_akp 
(6, -15, -275), [2, 1, 1], 3.25.g_ap_akp 
(6, -15, -225), [2, 1, 3], 3.25.g_ap_air 
(6, -10, -225), [2, 2, 3], 3.25.g_ak_air 
(6, -10, -175), [2, 2, 1], 3.25.g_ak_agt 
(6, 0, -175), [2, 0, 1], 3.25.g_a_agt 
(6, 0, -125), [2, 0, 3], 3.25.g_a_aev 
(6, 0, -75), [2, 0, 1], 3.25.g_a_acx 
(6, 5, -125), [2, 1, 3], 3.25.g_f_aev 
(6, 10, 25), [2, 2, 1], 3.25.g_k_z 
(6, 20, -25), [2, 0, 3], 3.25.g_u_az 
(6, 20, 25), [2, 0, 1], 3.25.g_u_z 
