(-2, -5, 75), [2, 3, 3], 3.25.ac_af_cx 
(-2, -5, 100), [2, 3, 0], 3.25.ac_af_dw 
(-2, -5, 125), [2, 3, 1], 3.25.ac_af_ev 
(-2, -5, 175), [2, 3, 3], 3.25.ac_af_gt 
(-2, -5, 200), [2, 3, 0], 3.25.ac_af_hs 
(-2, 0, -50), [2, 0, 2], 3.25.ac_a_aby 
(-2, 0, 0), [2, 0, 0], 3.25.ac_a_a 
(-2, 0, 150), [2, 0, 2], 3.25.ac_a_fu 
(-2, 5, -175), [2, 1, 1], 3.25.ac_f_agt 
(-2, 5, -150), [2, 1, 2], 3.25.ac_f_afu 
(-2, 5, -125), [2, 1, 3], 3.25.ac_f_aev 
(-2, 5, -50), [2, 1, 2], 3.25.ac_f_aby 
(-2, 5, -25), [2, 1, 3], 3.25.ac_f_az 
(-2, 5, 0), [2, 1, 0], 3.25.ac_f_a 
(-2, 5, 75), [2, 1, 3], 3.25.ac_f_cx 
(-2, 5, 100), [2, 1, 0], 3.25.ac_f_dw 
(-2, 5, 125), [2, 1, 1], 3.25.ac_f_ev 
(-2, 10, -200), [2, 2, 0], 3.25.ac_k_ahs 
(-2, 10, -150), [2, 2, 2], 3.25.ac_k_afu 
(-2, 10, -50), [2, 2, 2], 3.25.ac_k_aby 
(-2, 10, 0), [2, 2, 0], 3.25.ac_k_a 
(-2, 10, 50), [2, 2, 2], 3.25.ac_k_by 
(-2, 10, 100), [2, 2, 0], 3.25.ac_k_dw 
(-2, 15, -200), [2, 3, 0], 3.25.ac_p_ahs 
(-2, 15, -175), [2, 3, 1], 3.25.ac_p_agt 
(-2, 15, -150), [2, 3, 2], 3.25.ac_p_afu 
(-2, 15, -75), [2, 3, 1], 3.25.ac_p_acx 
(-2, 15, -50), [2, 3, 2], 3.25.ac_p_aby 
(-2, 15, -25), [2, 3, 3], 3.25.ac_p_az 
(-2, 15, 0), [2, 3, 0], 3.25.ac_p_a 
(-2, 15, 50), [2, 3, 2], 3.25.ac_p_by 
(-2, 15, 100), [2, 3, 0], 3.25.ac_p_dw 
(-2, 20, -150), [2, 0, 2], 3.25.ac_u_afu 
(-2, 20, -50), [2, 0, 2], 3.25.ac_u_aby 
(-2, 20, 0), [2, 0, 0], 3.25.ac_u_a 
(-2, 20, 50), [2, 0, 2], 3.25.ac_u_by 
(-2, 25, -200), [2, 1, 0], 3.25.ac_z_ahs 
(-2, 25, -125), [2, 1, 3], 3.25.ac_z_aev 
(-2, 25, -75), [2, 1, 1], 3.25.ac_z_acx 
(-2, 25, -50), [2, 1, 2], 3.25.ac_z_aby 
(-2, 25, 25), [2, 1, 1], 3.25.ac_z_z 
(-2, 25, 50), [2, 1, 2], 3.25.ac_z_by 
(-2, 30, -50), [2, 2, 2], 3.25.ac_be_aby 
(-2, 30, 0), [2, 2, 0], 3.25.ac_be_a 
(-2, 35, -150), [2, 3, 2], 3.25.ac_bj_afu 
(-2, 35, -75), [2, 3, 1], 3.25.ac_bj_acx 
(-2, 35, -50), [2, 3, 2], 3.25.ac_bj_aby 
(-2, 35, -25), [2, 3, 3], 3.25.ac_bj_az 
(-2, 35, 0), [2, 3, 0], 3.25.ac_bj_a 
(-2, 40, -150), [2, 0, 2], 3.25.ac_bo_afu 
(-2, 40, -50), [2, 0, 2], 3.25.ac_bo_aby 
(-2, 45, -125), [2, 1, 3], 3.25.ac_bt_aev 
(-2, 45, -50), [2, 1, 2], 3.25.ac_bt_aby 
(-2, 55, -50), [2, 3, 2], 3.25.ac_cd_aby 
(-1, -20, 50), [3, 0, 2], 3.25.ab_au_by 
(-1, -15, -25), [3, 1, 3], 3.25.ab_ap_az 
(-1, -15, 0), [3, 1, 0], 3.25.ab_ap_a 
(-1, -15, 25), [3, 1, 1], 3.25.ab_ap_z 
(-1, -15, 50), [3, 1, 2], 3.25.ab_ap_by 
(-1, -15, 100), [3, 1, 0], 3.25.ab_ap_dw 
(-1, -15, 125), [3, 1, 1], 3.25.ab_ap_ev 
(-1, -10, 0), [3, 2, 0], 3.25.ab_ak_a 
(-1, -10, 50), [3, 2, 2], 3.25.ab_ak_by 
(-1, -10, 100), [3, 2, 0], 3.25.ab_ak_dw 
(-1, -5, -125), [3, 3, 3], 3.25.ab_af_aev 
(-1, -5, -100), [3, 3, 0], 3.25.ab_af_adw 
(-1, -5, -75), [3, 3, 1], 3.25.ab_af_acx 
(-1, -5, -25), [3, 3, 3], 3.25.ab_af_az 
(-1, -5, 0), [3, 3, 0], 3.25.ab_af_a 
(-1, -5, 25), [3, 3, 1], 3.25.ab_af_z 
(-1, -5, 50), [3, 3, 2], 3.25.ab_af_by 
(-1, -5, 100), [3, 3, 0], 3.25.ab_af_dw 
(-1, -5, 125), [3, 3, 1], 3.25.ab_af_ev 
(-1, -5, 150), [3, 3, 2], 3.25.ab_af_fu 
(-1, -5, 175), [3, 3, 3], 3.25.ab_af_gt 
(-1, -5, 225), [3, 3, 1], 3.25.ab_af_ir 
(-1, 0, -100), [3, 0, 0], 3.25.ab_a_adw 
(-1, 0, 0), [3, 0, 0], 3.25.ab_a_a 
(-1, 0, 50), [3, 0, 2], 3.25.ab_a_by 
(-1, 0, 150), [3, 0, 2], 3.25.ab_a_fu 
(-1, 0, 200), [3, 0, 0], 3.25.ab_a_hs 
(-1, 5, -225), [3, 1, 3], 3.25.ab_f_air 
(-1, 5, -200), [3, 1, 0], 3.25.ab_f_ahs 
(-1, 5, -150), [3, 1, 2], 3.25.ab_f_afu 
(-1, 5, -100), [3, 1, 0], 3.25.ab_f_adw 
(-1, 5, -75), [3, 1, 1], 3.25.ab_f_acx 
(-1, 5, -25), [3, 1, 3], 3.25.ab_f_az 
