(-1, 8, 32), [15, 8, 0], 3.16.ab_i_bg 
(-1, 8, 48), [15, 8, 0], 3.16.ab_i_bw 
(-1, 8, 64), [15, 8, 0], 3.16.ab_i_cm 
(-1, 12, -80), [15, 12, 0], 3.16.ab_m_adc 
(-1, 12, -64), [15, 12, 0], 3.16.ab_m_acm 
(-1, 12, -48), [15, 12, 0], 3.16.ab_m_abw 
(-1, 12, -16), [15, 12, 0], 3.16.ab_m_aq 
(-1, 12, 16), [15, 12, 0], 3.16.ab_m_q 
(-1, 12, 32), [15, 12, 0], 3.16.ab_m_bg 
(-1, 16, -64), [15, 0, 0], 3.16.ab_q_acm 
(-1, 16, -48), [15, 0, 0], 3.16.ab_q_abw 
(-1, 16, -16), [15, 0, 0], 3.16.ab_q_aq 
(-1, 16, 16), [15, 0, 0], 3.16.ab_q_q 
(-1, 16, 32), [15, 0, 0], 3.16.ab_q_bg 
(-1, 20, -48), [15, 4, 0], 3.16.ab_u_abw 
(-1, 20, -16), [15, 4, 0], 3.16.ab_u_aq 
(-1, 20, 0), [15, 4, 0], 3.16.ab_u_a 
(-1, 20, 16), [15, 4, 0], 3.16.ab_u_q 
(-1, 24, -64), [15, 8, 0], 3.16.ab_y_acm 
(-1, 24, -16), [15, 8, 0], 3.16.ab_y_aq 
(-1, 24, 0), [15, 8, 0], 3.16.ab_y_a 
(-1, 28, -48), [15, 12, 0], 3.16.ab_bc_abw 
(-1, 28, -16), [15, 12, 0], 3.16.ab_bc_aq 
