(1, 1, 10), [1, 1, 2], 3.25.m_ds_xm 
(-1, 5, 8), [3, 1, 0], 3.25.m_dy_vo 
(1, 5, 6), [1, 1, 2], 3.25.m_em_yg 
(-6, 9, 10), [2, 1, 2], 3.25.n_bz_eg 
(-4, 8, 10), [0, 0, 2], 3.25.o_df_oq 
(-2, 6, 10), [2, 2, 2], 3.25.o_dz_wi 
(1, 3, 10), [1, 3, 2], 3.25.o_eo_bcc 
(2, 2, 10), [2, 2, 2], 3.25.o_ep_bcm 
(1, 5, 8), [1, 1, 0], 3.25.o_ey_bcm 
(2, 5, 7), [2, 1, 3], 3.25.o_fe_bdq 
(3, 5, 6), [3, 1, 2], 3.25.o_fi_bek 
(-2, 7, 10), [2, 3, 2], 3.25.p_eh_xm 
(2, 5, 8), [2, 1, 0], 3.25.p_fl_bfy 
(-2, 8, 10), [2, 0, 2], 3.25.q_ep_yq 
(3, 3, 10), [3, 3, 2], 3.25.q_fo_big 
(2, 5, 9), [2, 1, 1], 3.25.q_fs_big 
(3, 5, 8), [3, 1, 0], 3.25.q_fy_bjk 
(1, 6, 10), [1, 2, 2], 3.25.r_fv_bja 
(1, 7, 10), [1, 3, 2], 3.25.s_gg_bli 
(2, 6, 10), [2, 2, 2], 3.25.s_gl_bng 
(4, 4, 10), [0, 0, 2], 3.25.s_gp_bou 
(1, 8, 10), [1, 0, 2], 3.25.t_gr_bnq 
(1, 9, 10), [1, 1, 2], 3.25.u_hc_bpy 
(2, 8, 10), [2, 0, 2], 3.25.u_hj_bsq 
(6, 6, 10), [2, 2, 2], 3.25.w_ix_cee 
