(-1, 3, 28), [7, 3, 4], 3.8.ab_d_bc 
(-1, 5, -40), [7, 5, 0], 3.8.ab_f_abo 
(-1, 5, -36), [7, 5, 4], 3.8.ab_f_abk 
(-1, 5, -32), [7, 5, 0], 3.8.ab_f_abg 
(-1, 5, -28), [7, 5, 4], 3.8.ab_f_abc 
(-1, 5, -24), [7, 5, 0], 3.8.ab_f_ay 
(-1, 5, -20), [7, 5, 4], 3.8.ab_f_au 
(-1, 5, -8), [7, 5, 0], 3.8.ab_f_ai 
(-1, 5, -4), [7, 5, 4], 3.8.ab_f_ae 
(-1, 5, 0), [7, 5, 0], 3.8.ab_f_a 
(-1, 5, 4), [7, 5, 4], 3.8.ab_f_e 
(-1, 5, 8), [7, 5, 0], 3.8.ab_f_i 
(-1, 5, 16), [7, 5, 0], 3.8.ab_f_q 
(-1, 5, 20), [7, 5, 4], 3.8.ab_f_u 
(-1, 7, -36), [7, 7, 4], 3.8.ab_h_abk 
(-1, 7, -32), [7, 7, 0], 3.8.ab_h_abg 
(-1, 7, -28), [7, 7, 4], 3.8.ab_h_abc 
(-1, 7, -24), [7, 7, 0], 3.8.ab_h_ay 
(-1, 7, -20), [7, 7, 4], 3.8.ab_h_au 
(-1, 7, -12), [7, 7, 4], 3.8.ab_h_am 
(-1, 7, -8), [7, 7, 0], 3.8.ab_h_ai 
(-1, 7, 0), [7, 7, 0], 3.8.ab_h_a 
(-1, 7, 8), [7, 7, 0], 3.8.ab_h_i 
(-1, 7, 12), [7, 7, 4], 3.8.ab_h_m 
(-1, 7, 16), [7, 7, 0], 3.8.ab_h_q 
(-1, 9, -32), [7, 1, 0], 3.8.ab_j_abg 
(-1, 9, -28), [7, 1, 4], 3.8.ab_j_abc 
(-1, 9, -24), [7, 1, 0], 3.8.ab_j_ay 
(-1, 9, -20), [7, 1, 4], 3.8.ab_j_au 
(-1, 9, -12), [7, 1, 4], 3.8.ab_j_am 
(-1, 9, -8), [7, 1, 0], 3.8.ab_j_ai 
(-1, 9, 0), [7, 1, 0], 3.8.ab_j_a 
(-1, 9, 8), [7, 1, 0], 3.8.ab_j_i 
(-1, 9, 12), [7, 1, 4], 3.8.ab_j_m 
(-1, 11, -28), [7, 3, 4], 3.8.ab_l_abc 
(-1, 11, -24), [7, 3, 0], 3.8.ab_l_ay 
(-1, 11, -20), [7, 3, 4], 3.8.ab_l_au 
(-1, 11, -8), [7, 3, 0], 3.8.ab_l_ai 
(-1, 11, -4), [7, 3, 4], 3.8.ab_l_ae 
(-1, 11, 0), [7, 3, 0], 3.8.ab_l_a 
(-1, 11, 4), [7, 3, 4], 3.8.ab_l_e 
(-1, 13, -24), [7, 5, 0], 3.8.ab_n_ay 
(-1, 13, -12), [7, 5, 4], 3.8.ab_n_am 
(-1, 13, -8), [7, 5, 0], 3.8.ab_n_ai 
(-1, 13, -4), [7, 5, 4], 3.8.ab_n_ae 
(-1, 13, 0), [7, 5, 0], 3.8.ab_n_a 
(-1, 15, -20), [7, 7, 4], 3.8.ab_p_au 
(-1, 15, -12), [7, 7, 4], 3.8.ab_p_am 
(-1, 15, -8), [7, 7, 0], 3.8.ab_p_ai 
(-1, 15, -4), [7, 7, 4], 3.8.ab_p_ae 
(-1, 17, -20), [7, 1, 4], 3.8.ab_r_au 
(-1, 17, -12), [7, 1, 4], 3.8.ab_r_am 
(-1, 17, -8), [7, 1, 0], 3.8.ab_r_ai 
(-1, 19, -12), [7, 3, 4], 3.8.ab_t_am 
(0, -7, -4), [0, 1, 4], 3.8.a_ah_ae 
(0, -7, 4), [0, 1, 4], 3.8.a_ah_e 
(0, -3, -20), [0, 5, 4], 3.8.a_ad_au 
(0, -3, 20), [0, 5, 4], 3.8.a_ad_u 
(0, 1, -40), [0, 1, 0], 3.8.a_b_abo 
(0, 1, -36), [0, 1, 4], 3.8.a_b_abk 
(0, 1, 36), [0, 1, 4], 3.8.a_b_bk 
(0, 1, 40), [0, 1, 0], 3.8.a_b_bo 
(0, 5, -24), [0, 5, 0], 3.8.a_f_ay 
(0, 5, 24), [0, 5, 0], 3.8.a_f_y 
(0, 9, -20), [0, 1, 4], 3.8.a_j_au 
(0, 9, 20), [0, 1, 4], 3.8.a_j_u 
(0, 13, -12), [0, 5, 4], 3.8.a_n_am 
(0, 13, 12), [0, 5, 4], 3.8.a_n_m 
(0, 15, -4), [0, 7, 4], 3.8.a_p_ae 
(0, 15, 4), [0, 7, 4], 3.8.a_p_e 
(1, -7, -20), [1, 1, 4], 3.8.b_ah_au 
(1, -7, -16), [1, 1, 0], 3.8.b_ah_aq 
(1, -7, -12), [1, 1, 4], 3.8.b_ah_am 
(1, -5, -32), [1, 3, 0], 3.8.b_af_abg 
