(-14, 122, -735), [2, 2, 1], 3.25.ao_es_abch 
(-14, 122, -715), [2, 2, 1], 3.25.ao_es_abbn 
(-14, 122, -695), [2, 2, 1], 3.25.ao_es_abat 
(-14, 124, -745), [2, 0, 3], 3.25.ao_eu_abcr 
(-14, 124, -735), [2, 0, 1], 3.25.ao_eu_abch 
(-14, 124, -715), [2, 0, 1], 3.25.ao_eu_abbn 
(-14, 124, -705), [2, 0, 3], 3.25.ao_eu_abbd 
(-14, 126, -755), [2, 2, 1], 3.25.ao_ew_abdb 
(-14, 126, -745), [2, 2, 3], 3.25.ao_ew_abcr 
(-14, 126, -740), [2, 2, 0], 3.25.ao_ew_abcm 
(-14, 126, -735), [2, 2, 1], 3.25.ao_ew_abch 
(-14, 126, -715), [2, 2, 1], 3.25.ao_ew_abbn 
(-14, 127, -755), [2, 3, 1], 3.25.ao_ex_abdb 
(-14, 127, -745), [2, 3, 3], 3.25.ao_ex_abcr 
(-14, 128, -755), [2, 0, 1], 3.25.ao_ey_abdb 
(-14, 128, -745), [2, 0, 3], 3.25.ao_ey_abcr 
(-14, 128, -735), [2, 0, 1], 3.25.ao_ey_abch 
(-14, 129, -755), [2, 1, 1], 3.25.ao_ez_abdb 
(-14, 131, -765), [2, 3, 3], 3.25.ao_fb_abdl 
(-14, 132, -765), [2, 0, 3], 3.25.ao_fc_abdl 
(-14, 132, -755), [2, 0, 1], 3.25.ao_fc_abdb 
(-13, 54, -135), [3, 2, 1], 3.25.an_cc_aff 
(-13, 59, -185), [3, 3, 3], 3.25.an_ch_ahd 
(-13, 62, -215), [3, 2, 1], 3.25.an_ck_aih 
(-13, 63, -220), [3, 3, 0], 3.25.an_cl_aim 
(-13, 64, -235), [3, 0, 1], 3.25.an_cm_ajb 
(-13, 64, -230), [3, 0, 2], 3.25.an_cm_aiw 
(-13, 66, -255), [3, 2, 1], 3.25.an_co_ajv 
(-13, 68, -265), [3, 0, 3], 3.25.an_cq_akf 
(-13, 72, -315), [3, 0, 1], 3.25.an_cu_amd 
(-13, 72, -305), [3, 0, 3], 3.25.an_cu_alt 
(-13, 73, -320), [3, 1, 0], 3.25.an_cv_ami 
(-13, 74, -335), [3, 2, 1], 3.25.an_cw_amx 
(-13, 76, -355), [3, 0, 1], 3.25.an_cy_anr 
