(-6, 31, -130), [2, 3, 2], 3.13.ag_bf_afa 
(-6, 31, -117), [2, 3, 3], 3.13.ag_bf_aen 
(-6, 31, -104), [2, 3, 0], 3.13.ag_bf_aea 
(-6, 32, -130), [2, 0, 2], 3.13.ag_bg_afa 
(-6, 32, -104), [2, 0, 0], 3.13.ag_bg_aea 
(-6, 33, -143), [2, 1, 1], 3.13.ag_bh_afn 
(-6, 33, -130), [2, 1, 2], 3.13.ag_bh_afa 
(-6, 33, -117), [2, 1, 3], 3.13.ag_bh_aen 
(-6, 33, -104), [2, 1, 0], 3.13.ag_bh_aea 
(-6, 35, -143), [2, 3, 1], 3.13.ag_bj_afn 
(-6, 35, -130), [2, 3, 2], 3.13.ag_bj_afa 
(-6, 37, -143), [2, 1, 1], 3.13.ag_bl_afn 
(-6, 37, -130), [2, 1, 2], 3.13.ag_bl_afa 
(-6, 37, -117), [2, 1, 3], 3.13.ag_bl_aen 
(-6, 38, -130), [2, 2, 2], 3.13.ag_bm_afa 
(-6, 40, -130), [2, 0, 2], 3.13.ag_bo_afa 
(-6, 41, -143), [2, 1, 1], 3.13.ag_bp_afn 
(-6, 43, -143), [2, 3, 1], 3.13.ag_br_afn 
(-5, -12, 130), [3, 0, 2], 3.13.af_am_fa 
(-5, -11, 117), [3, 1, 1], 3.13.af_al_en 
(-5, -11, 130), [3, 1, 2], 3.13.af_al_fa 
(-5, -9, 104), [3, 3, 0], 3.13.af_aj_ea 
(-5, -9, 117), [3, 3, 1], 3.13.af_aj_en 
(-5, -8, 104), [3, 0, 0], 3.13.af_ai_ea 
(-5, -7, 91), [3, 1, 3], 3.13.af_ah_dn 
(-5, -7, 104), [3, 1, 0], 3.13.af_ah_ea 
(-5, -5, 78), [3, 3, 2], 3.13.af_af_da 
(-5, -5, 91), [3, 3, 3], 3.13.af_af_dn 
(-5, -4, 78), [3, 0, 2], 3.13.af_ae_da 
(-5, -3, 78), [3, 1, 2], 3.13.af_ad_da 
(-5, -2, 52), [3, 2, 0], 3.13.af_ac_ca 
(-5, -2, 78), [3, 2, 2], 3.13.af_ac_da 
(-5, -1, 65), [3, 3, 1], 3.13.af_ab_cn 
(-5, 1, 39), [3, 1, 3], 3.13.af_b_bn 
(-5, 1, 52), [3, 1, 0], 3.13.af_b_ca 
(-5, 2, 26), [3, 2, 2], 3.13.af_c_ba 
(-5, 2, 52), [3, 2, 0], 3.13.af_c_ca 
(-5, 3, 26), [3, 3, 2], 3.13.af_d_ba 
(-5, 3, 39), [3, 3, 3], 3.13.af_d_bn 
(-5, 3, 52), [3, 3, 0], 3.13.af_d_ca 
(-5, 5, 13), [3, 1, 1], 3.13.af_f_n 
(-5, 5, 26), [3, 1, 2], 3.13.af_f_ba 
(-5, 5, 39), [3, 1, 3], 3.13.af_f_bn 
(-5, 6, 0), [3, 2, 0], 3.13.af_g_a 
(-5, 6, 26), [3, 2, 2], 3.13.af_g_ba 
(-5, 7, -13), [3, 3, 3], 3.13.af_h_an 
(-5, 7, 0), [3, 3, 0], 3.13.af_h_a 
(-5, 7, 13), [3, 3, 1], 3.13.af_h_n 
(-5, 8, 0), [3, 0, 0], 3.13.af_i_a 
(-5, 9, -26), [3, 1, 2], 3.13.af_j_aba 
