(-7, 52, -221), [10, 1, 0], 3.17.ah_ca_ain 
(-7, 54, -221), [10, 3, 0], 3.17.ah_cc_ain 
(-7, 56, -221), [10, 5, 0], 3.17.ah_ce_ain 
(-7, 58, -221), [10, 7, 0], 3.17.ah_cg_ain 
(-6, -14, 187), [11, 3, 0], 3.17.ag_ao_hf 
(-6, -12, 187), [11, 5, 0], 3.17.ag_am_hf 
(-6, -10, 153), [11, 7, 0], 3.17.ag_ak_fx 
(-6, -8, 153), [11, 9, 0], 3.17.ag_ai_fx 
(-6, -6, 119), [11, 11, 0], 3.17.ag_ag_ep 
(-6, -4, 119), [11, 13, 0], 3.17.ag_ae_ep 
(-6, -2, 85), [11, 15, 0], 3.17.ag_ac_dh 
(-6, -2, 119), [11, 15, 0], 3.17.ag_ac_ep 
(-6, 2, 51), [11, 2, 0], 3.17.ag_c_bz 
(-6, 2, 85), [11, 2, 0], 3.17.ag_c_dh 
(-6, 3, 85), [11, 3, 0], 3.17.ag_d_dh 
(-6, 4, 51), [11, 4, 0], 3.17.ag_e_bz 
(-6, 6, 17), [11, 6, 0], 3.17.ag_g_r 
(-6, 6, 51), [11, 6, 0], 3.17.ag_g_bz 
(-6, 8, 17), [11, 8, 0], 3.17.ag_i_r 
(-6, 8, 51), [11, 8, 0], 3.17.ag_i_bz 
(-6, 10, -17), [11, 10, 0], 3.17.ag_k_ar 
(-6, 10, 17), [11, 10, 0], 3.17.ag_k_r 
(-6, 12, -17), [11, 12, 0], 3.17.ag_m_ar 
(-6, 12, 17), [11, 12, 0], 3.17.ag_m_r 
(-6, 14, -51), [11, 14, 0], 3.17.ag_o_abz 
(-6, 14, -17), [11, 14, 0], 3.17.ag_o_ar 
(-6, 14, 17), [11, 14, 0], 3.17.ag_o_r 
(-6, 16, -68), [11, 16, 0], 3.17.ag_q_acq 
(-6, 16, -51), [11, 16, 0], 3.17.ag_q_abz 
(-6, 16, -17), [11, 16, 0], 3.17.ag_q_ar 
(-6, 18, -51), [11, 1, 0], 3.17.ag_s_abz 
(-6, 18, -17), [11, 1, 0], 3.17.ag_s_ar 
(-6, 20, -85), [11, 3, 0], 3.17.ag_u_adh 
(-6, 20, -51), [11, 3, 0], 3.17.ag_u_abz 
(-6, 22, -85), [11, 5, 0], 3.17.ag_w_adh 
(-6, 22, -51), [11, 5, 0], 3.17.ag_w_abz 
(-6, 24, -119), [11, 7, 0], 3.17.ag_y_aep 
(-6, 24, -85), [11, 7, 0], 3.17.ag_y_adh 
(-6, 24, -51), [11, 7, 0], 3.17.ag_y_abz 
(-6, 26, -119), [11, 9, 0], 3.17.ag_ba_aep 
(-6, 26, -85), [11, 9, 0], 3.17.ag_ba_adh 
(-6, 28, -153), [11, 11, 0], 3.17.ag_bc_afx 
(-6, 28, -119), [11, 11, 0], 3.17.ag_bc_aep 
(-6, 28, -85), [11, 11, 0], 3.17.ag_bc_adh 
(-6, 30, -153), [11, 13, 0], 3.17.ag_be_afx 
(-6, 30, -119), [11, 13, 0], 3.17.ag_be_aep 
(-6, 30, -85), [11, 13, 0], 3.17.ag_be_adh 
(-6, 32, -187), [11, 15, 0], 3.17.ag_bg_ahf 
(-6, 32, -153), [11, 15, 0], 3.17.ag_bg_afx 
(-6, 32, -119), [11, 15, 0], 3.17.ag_bg_aep 
(-6, 32, -85), [11, 15, 0], 3.17.ag_bg_adh 
(-6, 36, -187), [11, 2, 0], 3.17.ag_bk_ahf 
(-6, 36, -153), [11, 2, 0], 3.17.ag_bk_afx 
(-6, 36, -119), [11, 2, 0], 3.17.ag_bk_aep 
(-6, 38, -187), [11, 4, 0], 3.17.ag_bm_ahf 
(-6, 38, -153), [11, 4, 0], 3.17.ag_bm_afx 
(-6, 38, -119), [11, 4, 0], 3.17.ag_bm_aep 
(-6, 40, -187), [11, 6, 0], 3.17.ag_bo_ahf 
(-6, 40, -153), [11, 6, 0], 3.17.ag_bo_afx 
(-6, 42, -187), [11, 8, 0], 3.17.ag_bq_ahf 
(-6, 42, -153), [11, 8, 0], 3.17.ag_bq_afx 
(-6, 44, -187), [11, 10, 0], 3.17.ag_bs_ahf 
(-6, 44, -153), [11, 10, 0], 3.17.ag_bs_afx 
(-6, 46, -187), [11, 12, 0], 3.17.ag_bu_ahf 
(-6, 46, -153), [11, 12, 0], 3.17.ag_bu_afx 
(-6, 48, -187), [11, 14, 0], 3.17.ag_bw_ahf 
(-6, 50, -187), [11, 16, 0], 3.17.ag_by_ahf 
(-6, 52, -187), [11, 1, 0], 3.17.ag_ca_ahf 
(-6, 54, -187), [11, 3, 0], 3.17.ag_cc_ahf 
(-5, -16, 170), [12, 1, 0], 3.17.af_aq_go 
(-5, -14, 153), [12, 3, 0], 3.17.af_ao_fx 
(-5, -12, 153), [12, 5, 0], 3.17.af_am_fx 
(-5, -10, 119), [12, 7, 0], 3.17.af_ak_ep 
(-5, -10, 153), [12, 7, 0], 3.17.af_ak_fx 
(-5, -8, 119), [12, 9, 0], 3.17.af_ai_ep 
(-5, -6, 85), [12, 11, 0], 3.17.af_ag_dh 
(-5, -6, 119), [12, 11, 0], 3.17.af_ag_ep 
(-5, -4, 85), [12, 13, 0], 3.17.af_ae_dh 
(-5, -4, 119), [12, 13, 0], 3.17.af_ae_ep 
(-5, -2, 51), [12, 15, 0], 3.17.af_ac_bz 
(-5, -2, 85), [12, 15, 0], 3.17.af_ac_dh 
(-5, 2, 17), [12, 2, 0], 3.17.af_c_r 
(-5, 2, 51), [12, 2, 0], 3.17.af_c_bz 
(-5, 2, 85), [12, 2, 0], 3.17.af_c_dh 
(-5, 4, 17), [12, 4, 0], 3.17.af_e_r 
(-5, 4, 51), [12, 4, 0], 3.17.af_e_bz 
(-5, 6, 17), [12, 6, 0], 3.17.af_g_r 
(-5, 6, 51), [12, 6, 0], 3.17.af_g_bz 
(-5, 8, -17), [12, 8, 0], 3.17.af_i_ar 
(-5, 8, 17), [12, 8, 0], 3.17.af_i_r 
(-5, 8, 51), [12, 8, 0], 3.17.af_i_bz 
(-5, 10, -51), [12, 10, 0], 3.17.af_k_abz 
(-5, 10, -17), [12, 10, 0], 3.17.af_k_ar 
(-5, 10, 17), [12, 10, 0], 3.17.af_k_r 
(-5, 12, -51), [12, 12, 0], 3.17.af_m_abz 
(-5, 12, -17), [12, 12, 0], 3.17.af_m_ar 
(-5, 12, 17), [12, 12, 0], 3.17.af_m_r 
(-5, 14, -85), [12, 14, 0], 3.17.af_o_adh 
(-5, 14, -51), [12, 14, 0], 3.17.af_o_abz 
(-5, 14, -17), [12, 14, 0], 3.17.af_o_ar 
(-5, 14, 17), [12, 14, 0], 3.17.af_o_r 
(-5, 16, -102), [12, 16, 0], 3.17.af_q_ady 
(-5, 16, -85), [12, 16, 0], 3.17.af_q_adh 
(-5, 16, -51), [12, 16, 0], 3.17.af_q_abz 
(-5, 16, -17), [12, 16, 0], 3.17.af_q_ar 
(-5, 18, -51), [12, 1, 0], 3.17.af_s_abz 
(-5, 18, -17), [12, 1, 0], 3.17.af_s_ar 
(-5, 20, -119), [12, 3, 0], 3.17.af_u_aep 
(-5, 20, -85), [12, 3, 0], 3.17.af_u_adh 
(-5, 20, -17), [12, 3, 0], 3.17.af_u_ar 
(-5, 22, -119), [12, 5, 0], 3.17.af_w_aep 
(-5, 22, -85), [12, 5, 0], 3.17.af_w_adh 
(-5, 22, -51), [12, 5, 0], 3.17.af_w_abz 
(-5, 24, -153), [12, 7, 0], 3.17.af_y_afx 
(-5, 24, -119), [12, 7, 0], 3.17.af_y_aep 
(-5, 24, -85), [12, 7, 0], 3.17.af_y_adh 
(-5, 24, -51), [12, 7, 0], 3.17.af_y_abz 
(-5, 26, -153), [12, 9, 0], 3.17.af_ba_afx 
(-5, 26, -119), [12, 9, 0], 3.17.af_ba_aep 
(-5, 26, -85), [12, 9, 0], 3.17.af_ba_adh 
(-5, 26, -51), [12, 9, 0], 3.17.af_ba_abz 
(-5, 28, -153), [12, 11, 0], 3.17.af_bc_afx 
(-5, 28, -119), [12, 11, 0], 3.17.af_bc_aep 
(-5, 28, -85), [12, 11, 0], 3.17.af_bc_adh 
(-5, 30, -153), [12, 13, 0], 3.17.af_be_afx 
(-5, 30, -119), [12, 13, 0], 3.17.af_be_aep 
(-5, 30, -85), [12, 13, 0], 3.17.af_be_adh 
(-5, 32, -153), [12, 15, 0], 3.17.af_bg_afx 
(-5, 32, -119), [12, 15, 0], 3.17.af_bg_aep 
(-5, 32, -85), [12, 15, 0], 3.17.af_bg_adh 
(-5, 36, -153), [12, 2, 0], 3.17.af_bk_afx 
(-5, 36, -119), [12, 2, 0], 3.17.af_bk_aep 
(-5, 38, -119), [12, 4, 0], 3.17.af_bm_aep 
(-5, 40, -153), [12, 6, 0], 3.17.af_bo_afx 
(-5, 42, -153), [12, 8, 0], 3.17.af_bq_afx 
(-5, 42, -119), [12, 8, 0], 3.17.af_bq_aep 
(-5, 44, -153), [12, 10, 0], 3.17.af_bs_afx 
(-5, 46, -153), [12, 12, 0], 3.17.af_bu_afx 
(-5, 48, -153), [12, 14, 0], 3.17.af_bw_afx 
(-5, 50, -153), [12, 16, 0], 3.17.af_by_afx 
(-4, -14, 119), [13, 3, 0], 3.17.ae_ao_ep 
(-4, -14, 153), [13, 3, 0], 3.17.ae_ao_fx 
(-4, -12, 119), [13, 5, 0], 3.17.ae_am_ep 
(-4, -12, 153), [13, 5, 0], 3.17.ae_am_fx 
(-4, -10, 85), [13, 7, 0], 3.17.ae_ak_dh 
(-4, -10, 119), [13, 7, 0], 3.17.ae_ak_ep 
(-4, -10, 153), [13, 7, 0], 3.17.ae_ak_fx 
(-4, -8, 85), [13, 9, 0], 3.17.ae_ai_dh 
(-4, -8, 119), [13, 9, 0], 3.17.ae_ai_ep 
(-4, -6, 51), [13, 11, 0], 3.17.ae_ag_bz 
(-4, -6, 85), [13, 11, 0], 3.17.ae_ag_dh 
(-4, -6, 119), [13, 11, 0], 3.17.ae_ag_ep 
(-4, -4, 51), [13, 13, 0], 3.17.ae_ae_bz 
(-4, -4, 85), [13, 13, 0], 3.17.ae_ae_dh 
(-4, -4, 119), [13, 13, 0], 3.17.ae_ae_ep 
(-4, -2, 17), [13, 15, 0], 3.17.ae_ac_r 
(-4, -2, 51), [13, 15, 0], 3.17.ae_ac_bz 
(-4, -2, 85), [13, 15, 0], 3.17.ae_ac_dh 
(-4, 2, -17), [13, 2, 0], 3.17.ae_c_ar 
(-4, 2, 17), [13, 2, 0], 3.17.ae_c_r 
(-4, 2, 51), [13, 2, 0], 3.17.ae_c_bz 
(-4, 2, 85), [13, 2, 0], 3.17.ae_c_dh 
(-4, 4, -17), [13, 4, 0], 3.17.ae_e_ar 
(-4, 4, 17), [13, 4, 0], 3.17.ae_e_r 
(-4, 4, 51), [13, 4, 0], 3.17.ae_e_bz 
(-4, 6, -51), [13, 6, 0], 3.17.ae_g_abz 
(-4, 6, -17), [13, 6, 0], 3.17.ae_g_ar 
(-4, 6, 17), [13, 6, 0], 3.17.ae_g_r 
(-4, 6, 51), [13, 6, 0], 3.17.ae_g_bz 
(-4, 8, -51), [13, 8, 0], 3.17.ae_i_abz 
(-4, 8, -17), [13, 8, 0], 3.17.ae_i_ar 
(-4, 8, 17), [13, 8, 0], 3.17.ae_i_r 
(-4, 8, 51), [13, 8, 0], 3.17.ae_i_bz 
(-4, 10, -85), [13, 10, 0], 3.17.ae_k_adh 
(-4, 10, -51), [13, 10, 0], 3.17.ae_k_abz 
(-4, 10, -17), [13, 10, 0], 3.17.ae_k_ar 
(-4, 10, 17), [13, 10, 0], 3.17.ae_k_r 
(-4, 12, -85), [13, 12, 0], 3.17.ae_m_adh 
(-4, 12, -51), [13, 12, 0], 3.17.ae_m_abz 
(-4, 12, -17), [13, 12, 0], 3.17.ae_m_ar 
(-4, 12, 17), [13, 12, 0], 3.17.ae_m_r 
(-4, 14, -119), [13, 14, 0], 3.17.ae_o_aep 
(-4, 14, -85), [13, 14, 0], 3.17.ae_o_adh 
(-4, 14, -51), [13, 14, 0], 3.17.ae_o_abz 
(-4, 14, -17), [13, 14, 0], 3.17.ae_o_ar 
(-4, 14, 17), [13, 14, 0], 3.17.ae_o_r 
(-4, 16, -119), [13, 16, 0], 3.17.ae_q_aep 
(-4, 16, -85), [13, 16, 0], 3.17.ae_q_adh 
(-4, 16, -51), [13, 16, 0], 3.17.ae_q_abz 
(-4, 16, -17), [13, 16, 0], 3.17.ae_q_ar 
(-4, 18, -119), [13, 1, 0], 3.17.ae_s_aep 
(-4, 18, -85), [13, 1, 0], 3.17.ae_s_adh 
(-4, 18, -51), [13, 1, 0], 3.17.ae_s_abz 
(-4, 18, -17), [13, 1, 0], 3.17.ae_s_ar 
(-4, 20, -153), [13, 3, 0], 3.17.ae_u_afx 
(-4, 20, -119), [13, 3, 0], 3.17.ae_u_aep 
(-4, 20, -85), [13, 3, 0], 3.17.ae_u_adh 
(-4, 20, -51), [13, 3, 0], 3.17.ae_u_abz 
(-4, 20, -17), [13, 3, 0], 3.17.ae_u_ar 
(-4, 22, -153), [13, 5, 0], 3.17.ae_w_afx 
