(-2, 20, -55), [2, 0, 1], 3.11.ac_u_acd 
(-2, 20, -33), [2, 0, 3], 3.11.ac_u_abh 
(-2, 24, -33), [2, 0, 3], 3.11.ac_y_abh 
(-2, 26, -33), [2, 2, 3], 3.11.ac_ba_abh 
(-1, -8, 11), [3, 0, 3], 3.11.ab_ai_l 
(-1, -8, 33), [3, 0, 1], 3.11.ab_ai_bh 
(-1, -6, -11), [3, 2, 1], 3.11.ab_ag_al 
(-1, -6, 11), [3, 2, 3], 3.11.ab_ag_l 
(-1, -6, 33), [3, 2, 1], 3.11.ab_ag_bh 
(-1, -6, 55), [3, 2, 3], 3.11.ab_ag_cd 
(-1, -4, -11), [3, 0, 1], 3.11.ab_ae_al 
(-1, -4, 11), [3, 0, 3], 3.11.ab_ae_l 
(-1, -4, 33), [3, 0, 1], 3.11.ab_ae_bh 
(-1, -4, 55), [3, 0, 3], 3.11.ab_ae_cd 
(-1, -2, -33), [3, 2, 3], 3.11.ab_ac_abh 
(-1, -2, -11), [3, 2, 1], 3.11.ab_ac_al 
(-1, -2, 11), [3, 2, 3], 3.11.ab_ac_l 
(-1, -2, 33), [3, 2, 1], 3.11.ab_ac_bh 
(-1, -2, 55), [3, 2, 3], 3.11.ab_ac_cd 
(-1, -1, -44), [3, 3, 0], 3.11.ab_ab_abs 
(-1, 2, -55), [3, 2, 1], 3.11.ab_c_acd 
(-1, 2, -33), [3, 2, 3], 3.11.ab_c_abh 
(-1, 2, -11), [3, 2, 1], 3.11.ab_c_al 
(-1, 2, 11), [3, 2, 3], 3.11.ab_c_l 
(-1, 2, 55), [3, 2, 3], 3.11.ab_c_cd 
(-1, 4, -55), [3, 0, 1], 3.11.ab_e_acd 
(-1, 4, -33), [3, 0, 3], 3.11.ab_e_abh 
(-1, 4, -11), [3, 0, 1], 3.11.ab_e_al 
(-1, 4, 11), [3, 0, 3], 3.11.ab_e_l 
(-1, 4, 33), [3, 0, 1], 3.11.ab_e_bh 
(-1, 6, -55), [3, 2, 1], 3.11.ab_g_acd 
(-1, 6, -33), [3, 2, 3], 3.11.ab_g_abh 
(-1, 6, -11), [3, 2, 1], 3.11.ab_g_al 
(-1, 6, 11), [3, 2, 3], 3.11.ab_g_l 
(-1, 6, 33), [3, 2, 1], 3.11.ab_g_bh 
(-1, 8, -55), [3, 0, 1], 3.11.ab_i_acd 
(-1, 8, -33), [3, 0, 3], 3.11.ab_i_abh 
(-1, 8, -11), [3, 0, 1], 3.11.ab_i_al 
(-1, 8, 11), [3, 0, 3], 3.11.ab_i_l 
(-1, 8, 33), [3, 0, 1], 3.11.ab_i_bh 
(-1, 10, -33), [3, 2, 3], 3.11.ab_k_abh 
(-1, 10, -11), [3, 2, 1], 3.11.ab_k_al 
(-1, 10, 11), [3, 2, 3], 3.11.ab_k_l 
(-1, 12, -33), [3, 0, 3], 3.11.ab_m_abh 
(-1, 12, -11), [3, 0, 1], 3.11.ab_m_al 
(-1, 12, 11), [3, 0, 3], 3.11.ab_m_l 
(-1, 14, -33), [3, 2, 3], 3.11.ab_o_abh 
(-1, 14, -11), [3, 2, 1], 3.11.ab_o_al 
(-1, 14, 11), [3, 2, 3], 3.11.ab_o_l 
(-1, 16, -33), [3, 0, 3], 3.11.ab_q_abh 
(-1, 16, -11), [3, 0, 1], 3.11.ab_q_al 
(-1, 18, -33), [3, 2, 3], 3.11.ab_s_abh 
(-1, 18, -11), [3, 2, 1], 3.11.ab_s_al 
(-1, 20, -11), [3, 0, 1], 3.11.ab_u_al 
(-1, 24, -11), [3, 0, 1], 3.11.ab_y_al 
(0, -8, -11), [0, 0, 1], 3.11.a_ai_al 
(0, -8, 11), [0, 0, 3], 3.11.a_ai_l 
(0, -6, -33), [0, 2, 3], 3.11.a_ag_abh 
(0, -6, -11), [0, 2, 1], 3.11.a_ag_al 
(0, -6, 11), [0, 2, 3], 3.11.a_ag_l 
(0, -6, 33), [0, 2, 1], 3.11.a_ag_bh 
(0, -5, -33), [0, 3, 3], 3.11.a_af_abh 
(0, -5, 33), [0, 3, 1], 3.11.a_af_bh 
(0, -4, -33), [0, 0, 3], 3.11.a_ae_abh 
(0, -4, -11), [0, 0, 1], 3.11.a_ae_al 
(0, -4, 11), [0, 0, 3], 3.11.a_ae_l 
(0, -4, 33), [0, 0, 1], 3.11.a_ae_bh 
(0, -2, -55), [0, 2, 1], 3.11.a_ac_acd 
(0, -2, -33), [0, 2, 3], 3.11.a_ac_abh 
(0, -2, -11), [0, 2, 1], 3.11.a_ac_al 
(0, -2, 11), [0, 2, 3], 3.11.a_ac_l 
(0, -2, 33), [0, 2, 1], 3.11.a_ac_bh 
(0, -2, 55), [0, 2, 3], 3.11.a_ac_cd 
(0, 2, -55), [0, 2, 1], 3.11.a_c_acd 
(0, 2, -33), [0, 2, 3], 3.11.a_c_abh 
(0, 2, -11), [0, 2, 1], 3.11.a_c_al 
(0, 2, 11), [0, 2, 3], 3.11.a_c_l 
(0, 2, 33), [0, 2, 1], 3.11.a_c_bh 
(0, 2, 55), [0, 2, 3], 3.11.a_c_cd 
(0, 4, -55), [0, 0, 1], 3.11.a_e_acd 
(0, 4, -33), [0, 0, 3], 3.11.a_e_abh 
(0, 4, -11), [0, 0, 1], 3.11.a_e_al 
(0, 4, 11), [0, 0, 3], 3.11.a_e_l 
(0, 4, 33), [0, 0, 1], 3.11.a_e_bh 
(0, 4, 55), [0, 0, 3], 3.11.a_e_cd 
(0, 6, -33), [0, 2, 3], 3.11.a_g_abh 
(0, 6, -11), [0, 2, 1], 3.11.a_g_al 
(0, 6, 11), [0, 2, 3], 3.11.a_g_l 
(0, 6, 33), [0, 2, 1], 3.11.a_g_bh 
(0, 8, -33), [0, 0, 3], 3.11.a_i_abh 
(0, 8, -11), [0, 0, 1], 3.11.a_i_al 
(0, 8, 11), [0, 0, 3], 3.11.a_i_l 
(0, 8, 33), [0, 0, 1], 3.11.a_i_bh 
(0, 10, -33), [0, 2, 3], 3.11.a_k_abh 
(0, 10, -11), [0, 2, 1], 3.11.a_k_al 
(0, 10, 11), [0, 2, 3], 3.11.a_k_l 
(0, 10, 33), [0, 2, 1], 3.11.a_k_bh 
(0, 12, -33), [0, 0, 3], 3.11.a_m_abh 
(0, 12, -11), [0, 0, 1], 3.11.a_m_al 
(0, 12, 11), [0, 0, 3], 3.11.a_m_l 
(0, 12, 33), [0, 0, 1], 3.11.a_m_bh 
(0, 14, -11), [0, 2, 1], 3.11.a_o_al 
(0, 14, 11), [0, 2, 3], 3.11.a_o_l 
(0, 16, -11), [0, 0, 1], 3.11.a_q_al 
(0, 16, 11), [0, 0, 3], 3.11.a_q_l 
(0, 18, -11), [0, 2, 1], 3.11.a_s_al 
(0, 18, 11), [0, 2, 3], 3.11.a_s_l 
(0, 20, -11), [0, 0, 1], 3.11.a_u_al 
(0, 20, 11), [0, 0, 3], 3.11.a_u_l 
(1, -8, -33), [1, 0, 3], 3.11.b_ai_abh 
(1, -8, -11), [1, 0, 1], 3.11.b_ai_al 
(1, -6, -55), [1, 2, 1], 3.11.b_ag_acd 
(1, -6, -33), [1, 2, 3], 3.11.b_ag_abh 
(1, -6, -11), [1, 2, 1], 3.11.b_ag_al 
(1, -6, 11), [1, 2, 3], 3.11.b_ag_l 
(1, -4, -55), [1, 0, 1], 3.11.b_ae_acd 
(1, -4, -33), [1, 0, 3], 3.11.b_ae_abh 
(1, -4, -11), [1, 0, 1], 3.11.b_ae_al 
(1, -4, 11), [1, 0, 3], 3.11.b_ae_l 
(1, -2, -55), [1, 2, 1], 3.11.b_ac_acd 
(1, -2, -33), [1, 2, 3], 3.11.b_ac_abh 
(1, -2, -11), [1, 2, 1], 3.11.b_ac_al 
(1, -2, 11), [1, 2, 3], 3.11.b_ac_l 
(1, -2, 33), [1, 2, 1], 3.11.b_ac_bh 
(1, -1, 44), [1, 3, 0], 3.11.b_ab_bs 
(1, 2, -55), [1, 2, 1], 3.11.b_c_acd 
(1, 2, -11), [1, 2, 1], 3.11.b_c_al 
(1, 2, 11), [1, 2, 3], 3.11.b_c_l 
(1, 2, 33), [1, 2, 1], 3.11.b_c_bh 
(1, 2, 55), [1, 2, 3], 3.11.b_c_cd 
(1, 4, -33), [1, 0, 3], 3.11.b_e_abh 
(1, 4, -11), [1, 0, 1], 3.11.b_e_al 
(1, 4, 11), [1, 0, 3], 3.11.b_e_l 
(1, 4, 33), [1, 0, 1], 3.11.b_e_bh 
(1, 4, 55), [1, 0, 3], 3.11.b_e_cd 
(1, 6, -33), [1, 2, 3], 3.11.b_g_abh 
(1, 6, -11), [1, 2, 1], 3.11.b_g_al 
(1, 6, 11), [1, 2, 3], 3.11.b_g_l 
(1, 6, 33), [1, 2, 1], 3.11.b_g_bh 
(1, 6, 55), [1, 2, 3], 3.11.b_g_cd 
(1, 8, -33), [1, 0, 3], 3.11.b_i_abh 
(1, 8, -11), [1, 0, 1], 3.11.b_i_al 
(1, 8, 11), [1, 0, 3], 3.11.b_i_l 
(1, 8, 33), [1, 0, 1], 3.11.b_i_bh 
(1, 8, 55), [1, 0, 3], 3.11.b_i_cd 
(1, 10, -11), [1, 2, 1], 3.11.b_k_al 
(1, 10, 11), [1, 2, 3], 3.11.b_k_l 
(1, 10, 33), [1, 2, 1], 3.11.b_k_bh 
(1, 12, -11), [1, 0, 1], 3.11.b_m_al 
(1, 12, 11), [1, 0, 3], 3.11.b_m_l 
(1, 12, 33), [1, 0, 1], 3.11.b_m_bh 
(1, 14, -11), [1, 2, 1], 3.11.b_o_al 
(1, 14, 11), [1, 2, 3], 3.11.b_o_l 
(1, 14, 33), [1, 2, 1], 3.11.b_o_bh 
(1, 16, 11), [1, 0, 3], 3.11.b_q_l 
(1, 16, 33), [1, 0, 1], 3.11.b_q_bh 
(1, 18, 11), [1, 2, 3], 3.11.b_s_l 
(1, 18, 33), [1, 2, 1], 3.11.b_s_bh 
(1, 20, 11), [1, 0, 3], 3.11.b_u_l 
(1, 24, 11), [1, 0, 3], 3.11.b_y_l 
(2, -8, -55), [2, 0, 1], 3.11.c_ai_acd 
(2, -8, -33), [2, 0, 3], 3.11.c_ai_abh 
(2, -6, -77), [2, 2, 3], 3.11.c_ag_acz 
(2, -6, -55), [2, 2, 1], 3.11.c_ag_acd 
(2, -6, -33), [2, 2, 3], 3.11.c_ag_abh 
(2, -6, -11), [2, 2, 1], 3.11.c_ag_al 
(2, -4, -55), [2, 0, 1], 3.11.c_ae_acd 
(2, -4, -33), [2, 0, 3], 3.11.c_ae_abh 
(2, -4, -11), [2, 0, 1], 3.11.c_ae_al 
(2, -2, -55), [2, 2, 1], 3.11.c_ac_acd 
(2, -2, -33), [2, 2, 3], 3.11.c_ac_abh 
(2, -2, -11), [2, 2, 1], 3.11.c_ac_al 
(2, -2, 11), [2, 2, 3], 3.11.c_ac_l 
(2, 2, -33), [2, 2, 3], 3.11.c_c_abh 
(2, 2, -11), [2, 2, 1], 3.11.c_c_al 
(2, 2, 11), [2, 2, 3], 3.11.c_c_l 
(2, 2, 33), [2, 2, 1], 3.11.c_c_bh 
(2, 4, -33), [2, 0, 3], 3.11.c_e_abh 
