(-4, 13, -42), [5, 4, 3], 3.9.ae_n_abq 
(-4, 13, -33), [5, 4, 3], 3.9.ae_n_abh 
(-4, 13, -30), [5, 4, 6], 3.9.ae_n_abe 
(-4, 13, -24), [5, 4, 3], 3.9.ae_n_ay 
(-4, 13, -18), [5, 4, 0], 3.9.ae_n_as 
(-4, 14, -54), [5, 5, 0], 3.9.ae_o_acc 
(-4, 14, -42), [5, 5, 3], 3.9.ae_o_abq 
(-4, 14, -36), [5, 5, 0], 3.9.ae_o_abk 
(-4, 14, -30), [5, 5, 6], 3.9.ae_o_abe 
(-4, 16, -66), [5, 7, 6], 3.9.ae_q_aco 
(-4, 16, -60), [5, 7, 3], 3.9.ae_q_aci 
(-4, 16, -54), [5, 7, 0], 3.9.ae_q_acc 
(-4, 16, -36), [5, 7, 0], 3.9.ae_q_abk 
(-4, 17, -66), [5, 8, 6], 3.9.ae_r_aco 
(-4, 17, -63), [5, 8, 0], 3.9.ae_r_acl 
(-4, 17, -60), [5, 8, 3], 3.9.ae_r_aci 
(-4, 17, -54), [5, 8, 0], 3.9.ae_r_acc 
(-4, 17, -51), [5, 8, 3], 3.9.ae_r_abz 
(-4, 17, -48), [5, 8, 6], 3.9.ae_r_abw 
(-4, 17, -45), [5, 8, 0], 3.9.ae_r_abt 
(-4, 17, -36), [5, 8, 0], 3.9.ae_r_abk 
(-4, 19, -66), [5, 1, 6], 3.9.ae_t_aco 
(-4, 19, -63), [5, 1, 0], 3.9.ae_t_acl 
(-4, 19, -60), [5, 1, 3], 3.9.ae_t_aci 
(-4, 19, -54), [5, 1, 0], 3.9.ae_t_acc 
(-4, 19, -51), [5, 1, 3], 3.9.ae_t_abz 
(-4, 19, -45), [5, 1, 0], 3.9.ae_t_abt 
(-4, 20, -66), [5, 2, 6], 3.9.ae_u_aco 
(-4, 20, -60), [5, 2, 3], 3.9.ae_u_aci 
(-4, 20, -54), [5, 2, 0], 3.9.ae_u_acc 
(-4, 20, -48), [5, 2, 6], 3.9.ae_u_abw 
(-4, 23, -66), [5, 5, 6], 3.9.ae_x_aco 
(-4, 23, -63), [5, 5, 0], 3.9.ae_x_acl 
(-4, 23, -60), [5, 5, 3], 3.9.ae_x_aci 
(-4, 23, -57), [5, 5, 6], 3.9.ae_x_acf 
(-4, 23, -54), [5, 5, 0], 3.9.ae_x_acc 
(-4, 25, -66), [5, 7, 6], 3.9.ae_z_aco 
(-4, 25, -63), [5, 7, 0], 3.9.ae_z_acl 
(-4, 26, -66), [5, 8, 6], 3.9.ae_ba_aco 
(-3, -7, 45), [6, 2, 0], 3.9.ad_ah_bt 
(-3, -7, 51), [6, 2, 6], 3.9.ad_ah_bz 
(-3, -7, 54), [6, 2, 0], 3.9.ad_ah_cc 
(-3, -5, 39), [6, 4, 3], 3.9.ad_af_bn 
(-3, -5, 48), [6, 4, 3], 3.9.ad_af_bw 
(-3, -5, 54), [6, 4, 0], 3.9.ad_af_cc 
(-3, -4, 36), [6, 5, 0], 3.9.ad_ae_bk 
(-3, -4, 42), [6, 5, 6], 3.9.ad_ae_bq 
(-3, -4, 48), [6, 5, 3], 3.9.ad_ae_bw 
(-3, -2, 18), [6, 7, 0], 3.9.ad_ac_s 
(-3, -2, 24), [6, 7, 6], 3.9.ad_ac_y 
(-3, -2, 36), [6, 7, 0], 3.9.ad_ac_bk 
(-3, -1, 9), [6, 8, 0], 3.9.ad_ab_j 
(-3, -1, 15), [6, 8, 6], 3.9.ad_ab_p 
(-3, -1, 18), [6, 8, 0], 3.9.ad_ab_s 
(-3, -1, 21), [6, 8, 3], 3.9.ad_ab_v 
(-3, -1, 24), [6, 8, 6], 3.9.ad_ab_y 
(-3, -1, 27), [6, 8, 0], 3.9.ad_ab_bb 
(-3, -1, 39), [6, 8, 3], 3.9.ad_ab_bn 
(-3, 1, 0), [6, 1, 0], 3.9.ad_b_a 
