(-9, 31, -76), [7, 15, 4], 3.16.aj_bf_acy 
(-9, 31, -72), [7, 15, 8], 3.16.aj_bf_acu 
(-9, 33, -100), [7, 1, 12], 3.16.aj_bh_adw 
(-9, 33, -96), [7, 1, 0], 3.16.aj_bh_ads 
(-9, 33, -92), [7, 1, 4], 3.16.aj_bh_ado 
(-9, 33, -88), [7, 1, 8], 3.16.aj_bh_adk 
(-9, 35, -116), [7, 3, 12], 3.16.aj_bj_aem 
(-9, 35, -112), [7, 3, 0], 3.16.aj_bj_aei 
(-9, 35, -108), [7, 3, 4], 3.16.aj_bj_aee 
(-9, 35, -104), [7, 3, 8], 3.16.aj_bj_aea 
(-9, 35, -100), [7, 3, 12], 3.16.aj_bj_adw 
(-9, 37, -132), [7, 5, 12], 3.16.aj_bl_afc 
(-9, 37, -128), [7, 5, 0], 3.16.aj_bl_aey 
(-9, 37, -120), [7, 5, 8], 3.16.aj_bl_aeq 
(-9, 37, -116), [7, 5, 12], 3.16.aj_bl_aem 
(-9, 37, -112), [7, 5, 0], 3.16.aj_bl_aei 
(-9, 39, -148), [7, 7, 12], 3.16.aj_bn_afs 
(-9, 39, -144), [7, 7, 0], 3.16.aj_bn_afo 
(-9, 39, -140), [7, 7, 4], 3.16.aj_bn_afk 
(-9, 39, -136), [7, 7, 8], 3.16.aj_bn_afg 
(-9, 39, -132), [7, 7, 12], 3.16.aj_bn_afc 
(-9, 39, -128), [7, 7, 0], 3.16.aj_bn_aey 
(-9, 39, -124), [7, 7, 4], 3.16.aj_bn_aeu 
(-9, 41, -164), [7, 9, 12], 3.16.aj_bp_agi 
(-9, 41, -160), [7, 9, 0], 3.16.aj_bp_age 
(-9, 41, -156), [7, 9, 4], 3.16.aj_bp_aga 
(-9, 41, -152), [7, 9, 8], 3.16.aj_bp_afw 
(-9, 41, -148), [7, 9, 12], 3.16.aj_bp_afs 
(-9, 41, -144), [7, 9, 0], 3.16.aj_bp_afo 
(-9, 41, -140), [7, 9, 4], 3.16.aj_bp_afk 
(-9, 43, -180), [7, 11, 12], 3.16.aj_br_agy 
(-9, 43, -176), [7, 11, 0], 3.16.aj_br_agu 
(-9, 43, -172), [7, 11, 4], 3.16.aj_br_agq 
(-9, 43, -168), [7, 11, 8], 3.16.aj_br_agm 
(-9, 43, -164), [7, 11, 12], 3.16.aj_br_agi 
(-9, 43, -160), [7, 11, 0], 3.16.aj_br_age 
(-9, 43, -156), [7, 11, 4], 3.16.aj_br_aga 
(-9, 43, -152), [7, 11, 8], 3.16.aj_br_afw 
(-9, 45, -192), [7, 13, 0], 3.16.aj_bt_ahk 
(-9, 45, -188), [7, 13, 4], 3.16.aj_bt_ahg 
(-9, 45, -180), [7, 13, 12], 3.16.aj_bt_agy 
(-9, 45, -176), [7, 13, 0], 3.16.aj_bt_agu 
(-9, 45, -172), [7, 13, 4], 3.16.aj_bt_agq 
(-9, 45, -168), [7, 13, 8], 3.16.aj_bt_agm 
(-9, 45, -164), [7, 13, 12], 3.16.aj_bt_agi 
(-9, 47, -212), [7, 15, 12], 3.16.aj_bv_aie 
(-9, 47, -208), [7, 15, 0], 3.16.aj_bv_aia 
(-9, 47, -200), [7, 15, 8], 3.16.aj_bv_ahs 
(-9, 47, -196), [7, 15, 12], 3.16.aj_bv_aho 
(-9, 47, -192), [7, 15, 0], 3.16.aj_bv_ahk 
(-9, 47, -188), [7, 15, 4], 3.16.aj_bv_ahg 
(-9, 47, -184), [7, 15, 8], 3.16.aj_bv_ahc 
(-9, 47, -180), [7, 15, 12], 3.16.aj_bv_agy 
(-9, 47, -176), [7, 15, 0], 3.16.aj_bv_agu 
(-9, 49, -228), [7, 1, 12], 3.16.aj_bx_aiu 
(-9, 49, -224), [7, 1, 0], 3.16.aj_bx_aiq 
(-9, 49, -220), [7, 1, 4], 3.16.aj_bx_aim 
