(-6, 41, -143), [7, 2, 0], 3.13.ag_bp_afn 
(-6, 43, -143), [7, 4, 0], 3.13.ag_br_afn 
(-5, -12, 130), [8, 1, 0], 3.13.af_am_fa 
(-5, -11, 117), [8, 2, 0], 3.13.af_al_en 
(-5, -11, 130), [8, 2, 0], 3.13.af_al_fa 
(-5, -9, 104), [8, 4, 0], 3.13.af_aj_ea 
(-5, -9, 117), [8, 4, 0], 3.13.af_aj_en 
(-5, -8, 104), [8, 5, 0], 3.13.af_ai_ea 
(-5, -7, 91), [8, 6, 0], 3.13.af_ah_dn 
(-5, -7, 104), [8, 6, 0], 3.13.af_ah_ea 
(-5, -5, 78), [8, 8, 0], 3.13.af_af_da 
(-5, -5, 91), [8, 8, 0], 3.13.af_af_dn 
(-5, -4, 78), [8, 9, 0], 3.13.af_ae_da 
(-5, -3, 78), [8, 10, 0], 3.13.af_ad_da 
(-5, -2, 52), [8, 11, 0], 3.13.af_ac_ca 
(-5, -2, 78), [8, 11, 0], 3.13.af_ac_da 
(-5, -1, 65), [8, 12, 0], 3.13.af_ab_cn 
(-5, 1, 39), [8, 1, 0], 3.13.af_b_bn 
(-5, 1, 52), [8, 1, 0], 3.13.af_b_ca 
(-5, 2, 26), [8, 2, 0], 3.13.af_c_ba 
(-5, 2, 52), [8, 2, 0], 3.13.af_c_ca 
(-5, 3, 26), [8, 3, 0], 3.13.af_d_ba 
(-5, 3, 39), [8, 3, 0], 3.13.af_d_bn 
(-5, 3, 52), [8, 3, 0], 3.13.af_d_ca 
(-5, 5, 13), [8, 5, 0], 3.13.af_f_n 
(-5, 5, 26), [8, 5, 0], 3.13.af_f_ba 
(-5, 5, 39), [8, 5, 0], 3.13.af_f_bn 
(-5, 6, 0), [8, 6, 0], 3.13.af_g_a 
(-5, 6, 26), [8, 6, 0], 3.13.af_g_ba 
(-5, 7, -13), [8, 7, 0], 3.13.af_h_an 
(-5, 7, 0), [8, 7, 0], 3.13.af_h_a 
(-5, 7, 13), [8, 7, 0], 3.13.af_h_n 
(-5, 8, 0), [8, 8, 0], 3.13.af_i_a 
(-5, 9, -26), [8, 9, 0], 3.13.af_j_aba 
(-5, 9, -13), [8, 9, 0], 3.13.af_j_an 
(-5, 9, 0), [8, 9, 0], 3.13.af_j_a 
