(-7, 36, -136), [10, 2, 0], 3.17.ah_bk_afg 
(-7, 37, -204), [10, 3, 0], 3.17.ah_bl_ahw 
(-7, 37, -187), [10, 3, 0], 3.17.ah_bl_ahf 
(-7, 37, -170), [10, 3, 0], 3.17.ah_bl_ago 
(-7, 37, -153), [10, 3, 0], 3.17.ah_bl_afx 
(-7, 37, -136), [10, 3, 0], 3.17.ah_bl_afg 
(-7, 37, -119), [10, 3, 0], 3.17.ah_bl_aep 
(-7, 38, -204), [10, 4, 0], 3.17.ah_bm_ahw 
(-7, 38, -170), [10, 4, 0], 3.17.ah_bm_ago 
(-7, 38, -136), [10, 4, 0], 3.17.ah_bm_afg 
(-7, 39, -221), [10, 5, 0], 3.17.ah_bn_ain 
(-7, 39, -204), [10, 5, 0], 3.17.ah_bn_ahw 
(-7, 39, -187), [10, 5, 0], 3.17.ah_bn_ahf 
(-7, 39, -170), [10, 5, 0], 3.17.ah_bn_ago 
(-7, 39, -153), [10, 5, 0], 3.17.ah_bn_afx 
(-7, 39, -136), [10, 5, 0], 3.17.ah_bn_afg 
(-7, 40, -204), [10, 6, 0], 3.17.ah_bo_ahw 
(-7, 40, -170), [10, 6, 0], 3.17.ah_bo_ago 
(-7, 41, -221), [10, 7, 0], 3.17.ah_bp_ain 
(-7, 41, -204), [10, 7, 0], 3.17.ah_bp_ahw 
(-7, 41, -187), [10, 7, 0], 3.17.ah_bp_ahf 
(-7, 41, -170), [10, 7, 0], 3.17.ah_bp_ago 
(-7, 41, -153), [10, 7, 0], 3.17.ah_bp_afx 
(-7, 42, -204), [10, 8, 0], 3.17.ah_bq_ahw 
(-7, 42, -170), [10, 8, 0], 3.17.ah_bq_ago 
(-7, 43, -221), [10, 9, 0], 3.17.ah_br_ain 
(-7, 43, -204), [10, 9, 0], 3.17.ah_br_ahw 
(-7, 43, -187), [10, 9, 0], 3.17.ah_br_ahf 
(-7, 43, -170), [10, 9, 0], 3.17.ah_br_ago 
(-7, 43, -153), [10, 9, 0], 3.17.ah_br_afx 
(-7, 44, -170), [10, 10, 0], 3.17.ah_bs_ago 
(-7, 45, -221), [10, 11, 0], 3.17.ah_bt_ain 
(-7, 45, -204), [10, 11, 0], 3.17.ah_bt_ahw 
(-7, 45, -187), [10, 11, 0], 3.17.ah_bt_ahf 
(-7, 45, -170), [10, 11, 0], 3.17.ah_bt_ago 
(-7, 46, -204), [10, 12, 0], 3.17.ah_bu_ahw 
(-7, 47, -221), [10, 13, 0], 3.17.ah_bv_ain 
(-7, 47, -204), [10, 13, 0], 3.17.ah_bv_ahw 
(-7, 47, -187), [10, 13, 0], 3.17.ah_bv_ahf 
(-7, 47, -170), [10, 13, 0], 3.17.ah_bv_ago 
(-7, 48, -204), [10, 14, 0], 3.17.ah_bw_ahw 
(-7, 49, -221), [10, 15, 0], 3.17.ah_bx_ain 
(-7, 49, -204), [10, 15, 0], 3.17.ah_bx_ahw 
(-7, 49, -187), [10, 15, 0], 3.17.ah_bx_ahf 
(-7, 52, -204), [10, 1, 0], 3.17.ah_ca_ahw 
(-7, 53, -221), [10, 2, 0], 3.17.ah_cb_ain 
(-7, 53, -204), [10, 2, 0], 3.17.ah_cb_ahw 
(-7, 54, -204), [10, 3, 0], 3.17.ah_cc_ahw 
(-7, 55, -221), [10, 4, 0], 3.17.ah_cd_ain 
(-7, 57, -221), [10, 6, 0], 3.17.ah_cf_ain 
(-6, -15, 204), [11, 2, 0], 3.17.ag_ap_hw 
(-6, -13, 187), [11, 4, 0], 3.17.ag_an_hf 
(-6, -12, 170), [11, 5, 0], 3.17.ag_am_go 
(-6, -11, 170), [11, 6, 0], 3.17.ag_al_go 
(-6, -10, 170), [11, 7, 0], 3.17.ag_ak_go 
(-6, -9, 153), [11, 8, 0], 3.17.ag_aj_fx 
(-6, -8, 136), [11, 9, 0], 3.17.ag_ai_fg 
(-6, -7, 136), [11, 10, 0], 3.17.ag_ah_fg 
(-6, -6, 136), [11, 11, 0], 3.17.ag_ag_fg 
(-6, -5, 119), [11, 12, 0], 3.17.ag_af_ep 
(-6, -5, 136), [11, 12, 0], 3.17.ag_af_fg 
(-6, -4, 102), [11, 13, 0], 3.17.ag_ae_dy 
(-6, -3, 102), [11, 14, 0], 3.17.ag_ad_dy 
(-6, -3, 119), [11, 14, 0], 3.17.ag_ad_ep 
(-6, -2, 102), [11, 15, 0], 3.17.ag_ac_dy 
(-6, -1, 85), [11, 16, 0], 3.17.ag_ab_dh 
(-6, -1, 102), [11, 16, 0], 3.17.ag_ab_dy 
(-6, 1, 85), [11, 1, 0], 3.17.ag_b_dh 
(-6, 2, 68), [11, 2, 0], 3.17.ag_c_cq 
(-6, 3, 51), [11, 3, 0], 3.17.ag_d_bz 
(-6, 3, 68), [11, 3, 0], 3.17.ag_d_cq 
(-6, 4, 34), [11, 4, 0], 3.17.ag_e_bi 
(-6, 4, 68), [11, 4, 0], 3.17.ag_e_cq 
(-6, 5, 34), [11, 5, 0], 3.17.ag_f_bi 
(-6, 5, 68), [11, 5, 0], 3.17.ag_f_cq 
(-6, 6, 34), [11, 6, 0], 3.17.ag_g_bi 
(-6, 7, 17), [11, 7, 0], 3.17.ag_h_r 
(-6, 7, 34), [11, 7, 0], 3.17.ag_h_bi 
(-6, 7, 51), [11, 7, 0], 3.17.ag_h_bz 
(-6, 8, 34), [11, 8, 0], 3.17.ag_i_bi 
(-6, 9, 0), [11, 9, 0], 3.17.ag_j_a 
(-6, 9, 17), [11, 9, 0], 3.17.ag_j_r 
