(-9, 57, -255), [3, 1, 1], 3.17.aj_cf_ajv 
(-9, 57, -238), [3, 1, 2], 3.17.aj_cf_aje 
(-9, 58, -272), [3, 2, 0], 3.17.aj_cg_akm 
(-9, 59, -289), [3, 3, 3], 3.17.aj_ch_ald 
(-9, 59, -272), [3, 3, 0], 3.17.aj_ch_akm 
(-9, 59, -255), [3, 3, 1], 3.17.aj_ch_ajv 
(-9, 60, -272), [3, 0, 0], 3.17.aj_ci_akm 
(-9, 61, -289), [3, 1, 3], 3.17.aj_cj_ald 
(-9, 61, -272), [3, 1, 0], 3.17.aj_cj_akm 
(-9, 62, -272), [3, 2, 0], 3.17.aj_ck_akm 
(-9, 63, -289), [3, 3, 3], 3.17.aj_cl_ald 
(-9, 63, -272), [3, 3, 0], 3.17.aj_cl_akm 
(-9, 64, -272), [3, 0, 0], 3.17.aj_cm_akm 
(-9, 65, -289), [3, 1, 3], 3.17.aj_cn_ald 
(-9, 67, -289), [3, 3, 3], 3.17.aj_cp_ald 
(-9, 75, -323), [3, 3, 1], 3.17.aj_cx_aml 
(-8, 4, 102), [0, 0, 2], 3.17.ai_e_dy 
(-8, 8, 68), [0, 0, 0], 3.17.ai_i_cq 
(-8, 9, 68), [0, 1, 0], 3.17.ai_j_cq 
(-8, 13, 34), [0, 1, 2], 3.17.ai_n_bi 
(-8, 14, 34), [0, 2, 2], 3.17.ai_o_bi 
(-8, 15, 17), [0, 3, 1], 3.17.ai_p_r 
(-8, 16, 0), [0, 0, 0], 3.17.ai_q_a 
(-8, 18, 0), [0, 2, 0], 3.17.ai_s_a 
(-8, 19, -17), [0, 3, 3], 3.17.ai_t_ar 
(-8, 19, 0), [0, 3, 0], 3.17.ai_t_a 
(-8, 21, -34), [0, 1, 2], 3.17.ai_v_abi 
(-8, 21, -17), [0, 1, 3], 3.17.ai_v_ar 
(-8, 22, -34), [0, 2, 2], 3.17.ai_w_abi 
(-8, 23, -51), [0, 3, 1], 3.17.ai_x_abz 
(-8, 23, -34), [0, 3, 2], 3.17.ai_x_abi 
(-8, 25, -68), [0, 1, 0], 3.17.ai_z_acq 
(-8, 25, -51), [0, 1, 1], 3.17.ai_z_abz 
(-8, 26, -68), [0, 2, 0], 3.17.ai_ba_acq 
(-8, 27, -85), [0, 3, 3], 3.17.ai_bb_adh 
(-8, 27, -68), [0, 3, 0], 3.17.ai_bb_acq 
(-8, 28, -68), [0, 0, 0], 3.17.ai_bc_acq 
(-8, 29, -102), [0, 1, 2], 3.17.ai_bd_ady 
