(-8, 22, -38), [11, 3, 0], 3.19.ai_w_abm 
(-8, 23, -57), [11, 4, 0], 3.19.ai_x_acf 
(-8, 23, -38), [11, 4, 0], 3.19.ai_x_abm 
(-8, 23, -19), [11, 4, 0], 3.19.ai_x_at 
(-8, 24, -38), [11, 5, 0], 3.19.ai_y_abm 
(-8, 25, -76), [11, 6, 0], 3.19.ai_z_acy 
(-8, 25, -57), [11, 6, 0], 3.19.ai_z_acf 
(-8, 25, -38), [11, 6, 0], 3.19.ai_z_abm 
(-8, 26, -76), [11, 7, 0], 3.19.ai_ba_acy 
(-8, 27, -95), [11, 8, 0], 3.19.ai_bb_adr 
(-8, 27, -76), [11, 8, 0], 3.19.ai_bb_acy 
(-8, 27, -57), [11, 8, 0], 3.19.ai_bb_acf 
(-8, 28, -76), [11, 9, 0], 3.19.ai_bc_acy 
(-8, 29, -114), [11, 10, 0], 3.19.ai_bd_aek 
(-8, 29, -95), [11, 10, 0], 3.19.ai_bd_adr 
(-8, 29, -76), [11, 10, 0], 3.19.ai_bd_acy 
(-8, 30, -76), [11, 11, 0], 3.19.ai_be_acy 
(-8, 31, -114), [11, 12, 0], 3.19.ai_bf_aek 
(-8, 31, -95), [11, 12, 0], 3.19.ai_bf_adr 
(-8, 32, -114), [11, 13, 0], 3.19.ai_bg_aek 
(-8, 33, -133), [11, 14, 0], 3.19.ai_bh_afd 
(-8, 33, -114), [11, 14, 0], 3.19.ai_bh_aek 
(-8, 33, -95), [11, 14, 0], 3.19.ai_bh_adr 
(-8, 34, -152), [11, 15, 0], 3.19.ai_bi_afw 
(-8, 35, -133), [11, 16, 0], 3.19.ai_bj_afd 
(-8, 35, -114), [11, 16, 0], 3.19.ai_bj_aek 
(-8, 36, -152), [11, 17, 0], 3.19.ai_bk_afw 
(-8, 36, -114), [11, 17, 0], 3.19.ai_bk_aek 
(-8, 37, -171), [11, 18, 0], 3.19.ai_bl_agp 
(-8, 37, -152), [11, 18, 0], 3.19.ai_bl_afw 
(-8, 37, -133), [11, 18, 0], 3.19.ai_bl_afd 
(-8, 37, -114), [11, 18, 0], 3.19.ai_bl_aek 
(-8, 39, -190), [11, 1, 0], 3.19.ai_bn_ahi 
(-8, 39, -171), [11, 1, 0], 3.19.ai_bn_agp 
(-8, 39, -152), [11, 1, 0], 3.19.ai_bn_afw 
(-8, 39, -133), [11, 1, 0], 3.19.ai_bn_afd 
(-8, 40, -190), [11, 2, 0], 3.19.ai_bo_ahi 
(-8, 40, -152), [11, 2, 0], 3.19.ai_bo_afw 
(-8, 41, -209), [11, 3, 0], 3.19.ai_bp_aib 
(-8, 41, -190), [11, 3, 0], 3.19.ai_bp_ahi 
(-8, 41, -171), [11, 3, 0], 3.19.ai_bp_agp 
(-8, 41, -152), [11, 3, 0], 3.19.ai_bp_afw 
(-8, 42, -190), [11, 4, 0], 3.19.ai_bq_ahi 
(-8, 42, -152), [11, 4, 0], 3.19.ai_bq_afw 
(-8, 43, -228), [11, 5, 0], 3.19.ai_br_aiu 
(-8, 43, -209), [11, 5, 0], 3.19.ai_br_aib 
(-8, 43, -190), [11, 5, 0], 3.19.ai_br_ahi 
(-8, 43, -171), [11, 5, 0], 3.19.ai_br_agp 
(-8, 43, -152), [11, 5, 0], 3.19.ai_br_afw 
(-8, 44, -228), [11, 6, 0], 3.19.ai_bs_aiu 
(-8, 44, -190), [11, 6, 0], 3.19.ai_bs_ahi 
(-8, 45, -247), [11, 7, 0], 3.19.ai_bt_ajn 
(-8, 45, -228), [11, 7, 0], 3.19.ai_bt_aiu 
(-8, 45, -209), [11, 7, 0], 3.19.ai_bt_aib 
(-8, 45, -190), [11, 7, 0], 3.19.ai_bt_ahi 
(-8, 46, -228), [11, 8, 0], 3.19.ai_bu_aiu 
(-8, 46, -190), [11, 8, 0], 3.19.ai_bu_ahi 
(-8, 47, -266), [11, 9, 0], 3.19.ai_bv_akg 
(-8, 47, -247), [11, 9, 0], 3.19.ai_bv_ajn 
(-8, 47, -228), [11, 9, 0], 3.19.ai_bv_aiu 
(-8, 47, -209), [11, 9, 0], 3.19.ai_bv_aib 
(-8, 47, -190), [11, 9, 0], 3.19.ai_bv_ahi 
(-8, 48, -266), [11, 10, 0], 3.19.ai_bw_akg 
(-8, 48, -228), [11, 10, 0], 3.19.ai_bw_aiu 
(-8, 48, -190), [11, 10, 0], 3.19.ai_bw_ahi 
(-8, 49, -285), [11, 11, 0], 3.19.ai_bx_akz 
(-8, 49, -266), [11, 11, 0], 3.19.ai_bx_akg 
(-8, 49, -247), [11, 11, 0], 3.19.ai_bx_ajn 
(-8, 49, -228), [11, 11, 0], 3.19.ai_bx_aiu 
(-8, 49, -209), [11, 11, 0], 3.19.ai_bx_aib 
(-8, 49, -190), [11, 11, 0], 3.19.ai_bx_ahi 
(-8, 50, -228), [11, 12, 0], 3.19.ai_by_aiu 
(-8, 51, -285), [11, 13, 0], 3.19.ai_bz_akz 
(-8, 51, -266), [11, 13, 0], 3.19.ai_bz_akg 
(-8, 51, -247), [11, 13, 0], 3.19.ai_bz_ajn 
(-8, 51, -228), [11, 13, 0], 3.19.ai_bz_aiu 
(-8, 51, -209), [11, 13, 0], 3.19.ai_bz_aib 
(-8, 52, -266), [11, 14, 0], 3.19.ai_ca_akg 
(-8, 52, -228), [11, 14, 0], 3.19.ai_ca_aiu 
(-8, 53, -285), [11, 15, 0], 3.19.ai_cb_akz 
(-8, 53, -266), [11, 15, 0], 3.19.ai_cb_akg 
(-8, 53, -228), [11, 15, 0], 3.19.ai_cb_aiu 
(-8, 54, -266), [11, 16, 0], 3.19.ai_cc_akg 
(-8, 55, -285), [11, 17, 0], 3.19.ai_cd_akz 
(-8, 55, -266), [11, 17, 0], 3.19.ai_cd_akg 
(-8, 55, -247), [11, 17, 0], 3.19.ai_cd_ajn 
(-8, 55, -228), [11, 17, 0], 3.19.ai_cd_aiu 
(-8, 56, -228), [11, 18, 0], 3.19.ai_ce_aiu 
(-8, 58, -266), [11, 1, 0], 3.19.ai_cg_akg 
(-8, 59, -285), [11, 2, 0], 3.19.ai_ch_akz 
(-8, 59, -266), [11, 2, 0], 3.19.ai_ch_akg 
(-8, 59, -247), [11, 2, 0], 3.19.ai_ch_ajn 
(-8, 60, -266), [11, 3, 0], 3.19.ai_ci_akg 
(-8, 61, -285), [11, 4, 0], 3.19.ai_cj_akz 
