(-2, -4, 65), [11, 9, 0], 3.13.ac_ae_cn 
(-2, -2, -13), [11, 11, 0], 3.13.ac_ac_an 
(-2, -2, 13), [11, 11, 0], 3.13.ac_ac_n 
(-2, -2, 39), [11, 11, 0], 3.13.ac_ac_bn 
(-2, -2, 65), [11, 11, 0], 3.13.ac_ac_cn 
(-2, 2, -39), [11, 2, 0], 3.13.ac_c_abn 
(-2, 2, -13), [11, 2, 0], 3.13.ac_c_an 
(-2, 2, 13), [11, 2, 0], 3.13.ac_c_n 
(-2, 2, 39), [11, 2, 0], 3.13.ac_c_bn 
(-2, 4, -65), [11, 4, 0], 3.13.ac_e_acn 
(-2, 4, -39), [11, 4, 0], 3.13.ac_e_abn 
(-2, 4, -13), [11, 4, 0], 3.13.ac_e_an 
(-2, 4, 13), [11, 4, 0], 3.13.ac_e_n 
(-2, 4, 39), [11, 4, 0], 3.13.ac_e_bn 
(-2, 6, -65), [11, 6, 0], 3.13.ac_g_acn 
(-2, 6, -39), [11, 6, 0], 3.13.ac_g_abn 
(-2, 6, -13), [11, 6, 0], 3.13.ac_g_an 
(-2, 6, 13), [11, 6, 0], 3.13.ac_g_n 
(-2, 6, 39), [11, 6, 0], 3.13.ac_g_bn 
(-2, 8, -91), [11, 8, 0], 3.13.ac_i_adn 
(-2, 8, -65), [11, 8, 0], 3.13.ac_i_acn 
(-2, 8, -39), [11, 8, 0], 3.13.ac_i_abn 
(-2, 8, -13), [11, 8, 0], 3.13.ac_i_an 
(-2, 8, 13), [11, 8, 0], 3.13.ac_i_n 
(-2, 8, 39), [11, 8, 0], 3.13.ac_i_bn 
(-2, 10, -91), [11, 10, 0], 3.13.ac_k_adn 
(-2, 10, -65), [11, 10, 0], 3.13.ac_k_acn 
(-2, 10, -39), [11, 10, 0], 3.13.ac_k_abn 
(-2, 10, -13), [11, 10, 0], 3.13.ac_k_an 
(-2, 10, 13), [11, 10, 0], 3.13.ac_k_n 
(-2, 12, -91), [11, 12, 0], 3.13.ac_m_adn 
(-2, 12, -65), [11, 12, 0], 3.13.ac_m_acn 
(-2, 12, -39), [11, 12, 0], 3.13.ac_m_abn 
(-2, 12, -13), [11, 12, 0], 3.13.ac_m_an 
(-2, 12, 13), [11, 12, 0], 3.13.ac_m_n 
(-2, 14, -65), [11, 1, 0], 3.13.ac_o_acn 
(-2, 14, -39), [11, 1, 0], 3.13.ac_o_abn 
(-2, 14, -13), [11, 1, 0], 3.13.ac_o_an 
(-2, 14, 13), [11, 1, 0], 3.13.ac_o_n 
(-2, 16, -65), [11, 3, 0], 3.13.ac_q_acn 
(-2, 16, -39), [11, 3, 0], 3.13.ac_q_abn 
(-2, 16, -13), [11, 3, 0], 3.13.ac_q_an 
(-2, 18, -65), [11, 5, 0], 3.13.ac_s_acn 
(-2, 18, -39), [11, 5, 0], 3.13.ac_s_abn 
(-2, 18, -13), [11, 5, 0], 3.13.ac_s_an 
(-2, 20, -65), [11, 7, 0], 3.13.ac_u_acn 
(-2, 20, -39), [11, 7, 0], 3.13.ac_u_abn 
(-2, 20, -13), [11, 7, 0], 3.13.ac_u_an 
(-2, 22, -65), [11, 9, 0], 3.13.ac_w_acn 
(-2, 22, -39), [11, 9, 0], 3.13.ac_w_abn 
(-2, 22, -13), [11, 9, 0], 3.13.ac_w_an 
(-2, 24, -65), [11, 11, 0], 3.13.ac_y_acn 
(-2, 24, -39), [11, 11, 0], 3.13.ac_y_abn 
(-2, 28, -39), [11, 2, 0], 3.13.ac_bc_abn 
(-2, 30, -39), [11, 4, 0], 3.13.ac_be_abn 
(-2, 32, -39), [11, 6, 0], 3.13.ac_bg_abn 
(-1, -11, 39), [12, 2, 0], 3.13.ab_al_bn 
(-1, -10, 13), [12, 3, 0], 3.13.ab_ak_n 
(-1, -10, 39), [12, 3, 0], 3.13.ab_ak_bn 
(-1, -8, 13), [12, 5, 0], 3.13.ab_ai_n 
(-1, -8, 39), [12, 5, 0], 3.13.ab_ai_bn 
(-1, -6, -13), [12, 7, 0], 3.13.ab_ag_an 
(-1, -6, 13), [12, 7, 0], 3.13.ab_ag_n 
(-1, -6, 39), [12, 7, 0], 3.13.ab_ag_bn 
(-1, -6, 65), [12, 7, 0], 3.13.ab_ag_cn 
(-1, -4, -13), [12, 9, 0], 3.13.ab_ae_an 
(-1, -4, 13), [12, 9, 0], 3.13.ab_ae_n 
(-1, -4, 39), [12, 9, 0], 3.13.ab_ae_bn 
(-1, -2, -39), [12, 11, 0], 3.13.ab_ac_abn 
(-1, -2, -13), [12, 11, 0], 3.13.ab_ac_an 
(-1, -2, 13), [12, 11, 0], 3.13.ab_ac_n 
(-1, -2, 39), [12, 11, 0], 3.13.ab_ac_bn 
(-1, -2, 65), [12, 11, 0], 3.13.ab_ac_cn 
(-1, 2, -65), [12, 2, 0], 3.13.ab_c_acn 
(-1, 2, -39), [12, 2, 0], 3.13.ab_c_abn 
(-1, 2, -13), [12, 2, 0], 3.13.ab_c_an 
(-1, 2, 13), [12, 2, 0], 3.13.ab_c_n 
(-1, 2, 39), [12, 2, 0], 3.13.ab_c_bn 
(-1, 2, 65), [12, 2, 0], 3.13.ab_c_cn 
(-1, 4, -91), [12, 4, 0], 3.13.ab_e_adn 
(-1, 4, -65), [12, 4, 0], 3.13.ab_e_acn 
(-1, 4, -39), [12, 4, 0], 3.13.ab_e_abn 
(-1, 4, -13), [12, 4, 0], 3.13.ab_e_an 
