(-8, 18, 23), [15, 18, 0], 3.23.ai_s_x 
(-8, 20, -23), [15, 20, 0], 3.23.ai_u_ax 
(-8, 20, 23), [15, 20, 0], 3.23.ai_u_x 
(-8, 22, -23), [15, 22, 0], 3.23.ai_w_ax 
(-8, 24, -69), [15, 1, 0], 3.23.ai_y_acr 
(-8, 24, -23), [15, 1, 0], 3.23.ai_y_ax 
(-8, 26, -69), [15, 3, 0], 3.23.ai_ba_acr 
(-8, 26, -23), [15, 3, 0], 3.23.ai_ba_ax 
(-8, 28, -115), [15, 5, 0], 3.23.ai_bc_ael 
(-8, 28, -69), [15, 5, 0], 3.23.ai_bc_acr 
(-8, 30, -115), [15, 7, 0], 3.23.ai_be_ael 
(-8, 30, -69), [15, 7, 0], 3.23.ai_be_acr 
(-8, 32, -115), [15, 9, 0], 3.23.ai_bg_ael 
(-8, 32, -69), [15, 9, 0], 3.23.ai_bg_acr 
(-8, 34, -161), [15, 11, 0], 3.23.ai_bi_agf 
(-8, 34, -115), [15, 11, 0], 3.23.ai_bi_ael 
(-8, 36, -161), [15, 13, 0], 3.23.ai_bk_agf 
(-8, 36, -115), [15, 13, 0], 3.23.ai_bk_ael 
(-8, 38, -207), [15, 15, 0], 3.23.ai_bm_ahz 
(-8, 38, -161), [15, 15, 0], 3.23.ai_bm_agf 
(-8, 38, -115), [15, 15, 0], 3.23.ai_bm_ael 
(-8, 40, -207), [15, 17, 0], 3.23.ai_bo_ahz 
(-8, 40, -161), [15, 17, 0], 3.23.ai_bo_agf 
(-8, 42, -253), [15, 19, 0], 3.23.ai_bq_ajt 
(-8, 42, -207), [15, 19, 0], 3.23.ai_bq_ahz 
(-8, 42, -161), [15, 19, 0], 3.23.ai_bq_agf 
(-8, 44, -253), [15, 21, 0], 3.23.ai_bs_ajt 
(-8, 44, -207), [15, 21, 0], 3.23.ai_bs_ahz 
(-8, 44, -161), [15, 21, 0], 3.23.ai_bs_agf 
(-8, 48, -299), [15, 2, 0], 3.23.ai_bw_aln 
(-8, 48, -253), [15, 2, 0], 3.23.ai_bw_ajt 
(-8, 48, -207), [15, 2, 0], 3.23.ai_bw_ahz 
(-8, 50, -299), [15, 4, 0], 3.23.ai_by_aln 
(-8, 50, -253), [15, 4, 0], 3.23.ai_by_ajt 
(-8, 50, -207), [15, 4, 0], 3.23.ai_by_ahz 
(-8, 52, -345), [15, 6, 0], 3.23.ai_ca_anh 
(-8, 52, -299), [15, 6, 0], 3.23.ai_ca_aln 
(-8, 52, -253), [15, 6, 0], 3.23.ai_ca_ajt 
(-8, 52, -207), [15, 6, 0], 3.23.ai_ca_ahz 
(-8, 54, -345), [15, 8, 0], 3.23.ai_cc_anh 
(-8, 54, -299), [15, 8, 0], 3.23.ai_cc_aln 
(-8, 54, -253), [15, 8, 0], 3.23.ai_cc_ajt 
(-8, 54, -207), [15, 8, 0], 3.23.ai_cc_ahz 
(-8, 56, -345), [15, 10, 0], 3.23.ai_ce_anh 
(-8, 56, -299), [15, 10, 0], 3.23.ai_ce_aln 
(-8, 56, -253), [15, 10, 0], 3.23.ai_ce_ajt 
(-8, 58, -345), [15, 12, 0], 3.23.ai_cg_anh 
(-8, 58, -299), [15, 12, 0], 3.23.ai_cg_aln 
(-8, 58, -253), [15, 12, 0], 3.23.ai_cg_ajt 
(-8, 60, -345), [15, 14, 0], 3.23.ai_ci_anh 
