(-4, 18, -66), [7, 7, 0], 3.11.ae_s_aco 
(-4, 18, -44), [7, 7, 0], 3.11.ae_s_abs 
(-4, 19, -77), [7, 8, 0], 3.11.ae_t_acz 
(-4, 19, -66), [7, 8, 0], 3.11.ae_t_aco 
(-4, 19, -55), [7, 8, 0], 3.11.ae_t_acd 
(-4, 19, -44), [7, 8, 0], 3.11.ae_t_abs 
(-4, 19, -33), [7, 8, 0], 3.11.ae_t_abh 
(-4, 20, -66), [7, 9, 0], 3.11.ae_u_aco 
(-4, 20, -44), [7, 9, 0], 3.11.ae_u_abs 
(-4, 21, -77), [7, 10, 0], 3.11.ae_v_acz 
(-4, 21, -66), [7, 10, 0], 3.11.ae_v_aco 
(-4, 21, -55), [7, 10, 0], 3.11.ae_v_acd 
(-4, 21, -44), [7, 10, 0], 3.11.ae_v_abs 
(-4, 23, -77), [7, 1, 0], 3.11.ae_x_acz 
(-4, 23, -66), [7, 1, 0], 3.11.ae_x_aco 
(-4, 24, -66), [7, 2, 0], 3.11.ae_y_aco 
(-4, 25, -66), [7, 3, 0], 3.11.ae_z_aco 
(-4, 27, -77), [7, 5, 0], 3.11.ae_bb_acz 
(-4, 27, -66), [7, 5, 0], 3.11.ae_bb_aco 
(-4, 28, -66), [7, 6, 0], 3.11.ae_bc_aco 
(-4, 31, -77), [7, 9, 0], 3.11.ae_bf_acz 
(-3, -10, 66), [8, 1, 0], 3.11.ad_ak_co 
(-3, -9, 66), [8, 2, 0], 3.11.ad_aj_co 
(-3, -9, 77), [8, 2, 0], 3.11.ad_aj_cz 
(-3, -8, 66), [8, 3, 0], 3.11.ad_ai_co 
(-3, -7, 44), [8, 4, 0], 3.11.ad_ah_bs 
(-3, -7, 55), [8, 4, 0], 3.11.ad_ah_cd 
(-3, -7, 77), [8, 4, 0], 3.11.ad_ah_cz 
(-3, -6, 44), [8, 5, 0], 3.11.ad_ag_bs 
(-3, -6, 66), [8, 5, 0], 3.11.ad_ag_co 
(-3, -5, 33), [8, 6, 0], 3.11.ad_af_bh 
(-3, -5, 44), [8, 6, 0], 3.11.ad_af_bs 
(-3, -5, 55), [8, 6, 0], 3.11.ad_af_cd 
(-3, -5, 66), [8, 6, 0], 3.11.ad_af_co 
(-3, -4, 22), [8, 7, 0], 3.11.ad_ae_w 
(-3, -4, 44), [8, 7, 0], 3.11.ad_ae_bs 
(-3, -3, 22), [8, 8, 0], 3.11.ad_ad_w 
(-3, -3, 33), [8, 8, 0], 3.11.ad_ad_bh 
(-3, -3, 44), [8, 8, 0], 3.11.ad_ad_bs 
(-3, -3, 55), [8, 8, 0], 3.11.ad_ad_cd 
(-3, -2, 22), [8, 9, 0], 3.11.ad_ac_w 
(-3, -2, 44), [8, 9, 0], 3.11.ad_ac_bs 
(-3, -1, 0), [8, 10, 0], 3.11.ad_ab_a 
(-3, -1, 11), [8, 10, 0], 3.11.ad_ab_l 
(-3, -1, 22), [8, 10, 0], 3.11.ad_ab_w 
(-3, -1, 33), [8, 10, 0], 3.11.ad_ab_bh 
(-3, -1, 44), [8, 10, 0], 3.11.ad_ab_bs 
(-3, -1, 55), [8, 10, 0], 3.11.ad_ab_cd 
(-3, 1, -11), [8, 1, 0], 3.11.ad_b_al 
(-3, 1, 0), [8, 1, 0], 3.11.ad_b_a 
(-3, 1, 11), [8, 1, 0], 3.11.ad_b_l 
(-3, 1, 22), [8, 1, 0], 3.11.ad_b_w 
(-3, 1, 33), [8, 1, 0], 3.11.ad_b_bh 
(-3, 2, 22), [8, 2, 0], 3.11.ad_c_w 
(-3, 3, -22), [8, 3, 0], 3.11.ad_d_aw 
(-3, 3, -11), [8, 3, 0], 3.11.ad_d_al 
(-3, 3, 0), [8, 3, 0], 3.11.ad_d_a 
(-3, 3, 11), [8, 3, 0], 3.11.ad_d_l 
(-3, 3, 22), [8, 3, 0], 3.11.ad_d_w 
(-3, 3, 33), [8, 3, 0], 3.11.ad_d_bh 
(-3, 4, -22), [8, 4, 0], 3.11.ad_e_aw 
(-3, 4, 22), [8, 4, 0], 3.11.ad_e_w 
(-3, 5, -33), [8, 5, 0], 3.11.ad_f_abh 
(-3, 5, -22), [8, 5, 0], 3.11.ad_f_aw 
(-3, 5, -11), [8, 5, 0], 3.11.ad_f_al 
(-3, 5, 0), [8, 5, 0], 3.11.ad_f_a 
(-3, 5, 11), [8, 5, 0], 3.11.ad_f_l 
(-3, 5, 22), [8, 5, 0], 3.11.ad_f_w 
(-3, 6, -44), [8, 6, 0], 3.11.ad_g_abs 
(-3, 6, -22), [8, 6, 0], 3.11.ad_g_aw 
(-3, 6, 0), [8, 6, 0], 3.11.ad_g_a 
(-3, 6, 22), [8, 6, 0], 3.11.ad_g_w 
(-3, 7, -44), [8, 7, 0], 3.11.ad_h_abs 
(-3, 7, -33), [8, 7, 0], 3.11.ad_h_abh 
(-3, 7, -22), [8, 7, 0], 3.11.ad_h_aw 
(-3, 7, -11), [8, 7, 0], 3.11.ad_h_al 
(-3, 7, 0), [8, 7, 0], 3.11.ad_h_a 
(-3, 7, 11), [8, 7, 0], 3.11.ad_h_l 
(-3, 8, -44), [8, 8, 0], 3.11.ad_i_abs 
(-3, 8, -22), [8, 8, 0], 3.11.ad_i_aw 
(-3, 8, 0), [8, 8, 0], 3.11.ad_i_a 
(-3, 9, -55), [8, 9, 0], 3.11.ad_j_acd 
(-3, 9, -44), [8, 9, 0], 3.11.ad_j_abs 
(-3, 9, -33), [8, 9, 0], 3.11.ad_j_abh 
(-3, 9, -22), [8, 9, 0], 3.11.ad_j_aw 
(-3, 9, -11), [8, 9, 0], 3.11.ad_j_al 
(-3, 9, 0), [8, 9, 0], 3.11.ad_j_a 
(-3, 9, 11), [8, 9, 0], 3.11.ad_j_l 
(-3, 10, -44), [8, 10, 0], 3.11.ad_k_abs 
