(0, 5, 20), [0, 1, 0], 3.8.a_f_u 
(0, 5, 28), [0, 1, 0], 3.8.a_f_bc 
(0, 7, -20), [0, 3, 0], 3.8.a_h_au 
(0, 7, -12), [0, 3, 0], 3.8.a_h_am 
(0, 7, -8), [0, 3, 0], 3.8.a_h_ai 
(0, 7, 8), [0, 3, 0], 3.8.a_h_i 
(0, 7, 12), [0, 3, 0], 3.8.a_h_m 
(0, 7, 20), [0, 3, 0], 3.8.a_h_u 
(0, 9, -16), [0, 1, 0], 3.8.a_j_aq 
(0, 9, -12), [0, 1, 0], 3.8.a_j_am 
(0, 9, -8), [0, 1, 0], 3.8.a_j_ai 
(0, 9, 8), [0, 1, 0], 3.8.a_j_i 
(0, 9, 12), [0, 1, 0], 3.8.a_j_m 
(0, 9, 16), [0, 1, 0], 3.8.a_j_q 
(0, 11, -16), [0, 3, 0], 3.8.a_l_aq 
(0, 11, -8), [0, 3, 0], 3.8.a_l_ai 
(0, 11, -4), [0, 3, 0], 3.8.a_l_ae 
(0, 11, 4), [0, 3, 0], 3.8.a_l_e 
(0, 11, 8), [0, 3, 0], 3.8.a_l_i 
(0, 11, 16), [0, 3, 0], 3.8.a_l_q 
(0, 13, -8), [0, 1, 0], 3.8.a_n_ai 
(0, 13, -4), [0, 1, 0], 3.8.a_n_ae 
(0, 13, 4), [0, 1, 0], 3.8.a_n_e 
(0, 13, 8), [0, 1, 0], 3.8.a_n_i 
(0, 17, -4), [0, 1, 0], 3.8.a_r_ae 
(0, 17, 4), [0, 1, 0], 3.8.a_r_e 
(2, -7, -36), [2, 1, 0], 3.8.c_ah_abk 
(2, -7, -32), [2, 1, 0], 3.8.c_ah_abg 
(2, -5, -40), [2, 3, 0], 3.8.c_af_abo 
(2, -5, -36), [2, 3, 0], 3.8.c_af_abk 
(2, -5, -28), [2, 3, 0], 3.8.c_af_abc 
(2, -5, -20), [2, 3, 0], 3.8.c_af_au 
(2, -3, -36), [2, 1, 0], 3.8.c_ad_abk 
