(-12, 83, -437), [11, 14, 0], 3.23.am_df_aqv 
(-12, 83, -414), [11, 14, 0], 3.23.am_df_apy 
(-12, 84, -460), [11, 15, 0], 3.23.am_dg_ars 
(-12, 84, -414), [11, 15, 0], 3.23.am_dg_apy 
(-12, 85, -483), [11, 16, 0], 3.23.am_dh_asp 
(-12, 85, -460), [11, 16, 0], 3.23.am_dh_ars 
(-12, 85, -437), [11, 16, 0], 3.23.am_dh_aqv 
(-12, 86, -460), [11, 17, 0], 3.23.am_di_ars 
(-12, 87, -483), [11, 18, 0], 3.23.am_dj_asp 
(-12, 87, -437), [11, 18, 0], 3.23.am_dj_aqv 
(-12, 88, -506), [11, 19, 0], 3.23.am_dk_atm 
(-12, 88, -460), [11, 19, 0], 3.23.am_dk_ars 
(-12, 89, -506), [11, 20, 0], 3.23.am_dl_atm 
(-12, 89, -483), [11, 20, 0], 3.23.am_dl_asp 
(-12, 89, -460), [11, 20, 0], 3.23.am_dl_ars 
(-12, 90, -506), [11, 21, 0], 3.23.am_dm_atm 
(-12, 90, -460), [11, 21, 0], 3.23.am_dm_ars 
(-12, 91, -529), [11, 22, 0], 3.23.am_dn_auj 
(-12, 91, -506), [11, 22, 0], 3.23.am_dn_atm 
(-12, 91, -483), [11, 22, 0], 3.23.am_dn_asp 
(-12, 93, -529), [11, 1, 0], 3.23.am_dp_auj 
(-12, 93, -506), [11, 1, 0], 3.23.am_dp_atm 
(-12, 93, -483), [11, 1, 0], 3.23.am_dp_asp 
(-12, 94, -506), [11, 2, 0], 3.23.am_dq_atm 
(-12, 95, -529), [11, 3, 0], 3.23.am_dr_auj 
(-12, 95, -506), [11, 3, 0], 3.23.am_dr_atm 
(-12, 96, -506), [11, 4, 0], 3.23.am_ds_atm 
(-12, 97, -529), [11, 5, 0], 3.23.am_dt_auj 
(-12, 97, -506), [11, 5, 0], 3.23.am_dt_atm 
(-12, 99, -529), [11, 7, 0], 3.23.am_dv_auj 
(-12, 101, -575), [11, 9, 0], 3.23.am_dx_awd 
(-12, 101, -529), [11, 9, 0], 3.23.am_dx_auj 
(-12, 105, -575), [11, 13, 0], 3.23.am_eb_awd 
(-12, 107, -575), [11, 15, 0], 3.23.am_ed_awd 
(-12, 113, -598), [11, 21, 0], 3.23.am_ej_axa 
(-11, 13, 161), [12, 13, 0], 3.23.al_n_gf 
(-11, 25, 46), [12, 2, 0], 3.23.al_z_bu 
(-11, 30, 0), [12, 7, 0], 3.23.al_be_a 
(-11, 33, -23), [12, 10, 0], 3.23.al_bh_ax 
(-11, 35, -46), [12, 12, 0], 3.23.al_bj_abu 
(-11, 36, -46), [12, 13, 0], 3.23.al_bk_abu 
(-11, 37, -69), [12, 14, 0], 3.23.al_bl_acr 
(-11, 40, -92), [12, 17, 0], 3.23.al_bo_ado 
(-11, 43, -115), [12, 20, 0], 3.23.al_br_ael 
(-11, 45, -138), [12, 22, 0], 3.23.al_bt_afi 
(-11, 47, -161), [12, 1, 0], 3.23.al_bv_agf 
(-11, 49, -184), [12, 3, 0], 3.23.al_bx_ahc 
(-11, 49, -161), [12, 3, 0], 3.23.al_bx_agf 
(-11, 50, -184), [12, 4, 0], 3.23.al_by_ahc 
(-11, 52, -184), [12, 6, 0], 3.23.al_ca_ahc 
(-11, 53, -207), [12, 7, 0], 3.23.al_cb_ahz 
(-11, 54, -230), [12, 8, 0], 3.23.al_cc_aiw 
(-11, 55, -230), [12, 9, 0], 3.23.al_cd_aiw 
(-11, 55, -207), [12, 9, 0], 3.23.al_cd_ahz 
(-11, 56, -230), [12, 10, 0], 3.23.al_ce_aiw 
(-11, 57, -253), [12, 11, 0], 3.23.al_cf_ajt 
(-11, 57, -230), [12, 11, 0], 3.23.al_cf_aiw 
(-11, 58, -230), [12, 12, 0], 3.23.al_cg_aiw 
