(-5, 14, 19), [14, 14, 0], 3.19.af_o_t 
(-5, 16, -95), [14, 16, 0], 3.19.af_q_adr 
(-5, 16, -57), [14, 16, 0], 3.19.af_q_acf 
(-5, 16, -19), [14, 16, 0], 3.19.af_q_at 
(-5, 16, 19), [14, 16, 0], 3.19.af_q_t 
(-5, 18, -95), [14, 18, 0], 3.19.af_s_adr 
(-5, 18, -57), [14, 18, 0], 3.19.af_s_acf 
(-5, 18, -19), [14, 18, 0], 3.19.af_s_at 
(-5, 20, -133), [14, 1, 0], 3.19.af_u_afd 
(-5, 20, -95), [14, 1, 0], 3.19.af_u_adr 
(-5, 20, -57), [14, 1, 0], 3.19.af_u_acf 
(-5, 20, -19), [14, 1, 0], 3.19.af_u_at 
(-5, 22, -133), [14, 3, 0], 3.19.af_w_afd 
(-5, 22, -95), [14, 3, 0], 3.19.af_w_adr 
(-5, 22, -57), [14, 3, 0], 3.19.af_w_acf 
(-5, 22, -19), [14, 3, 0], 3.19.af_w_at 
(-5, 24, -171), [14, 5, 0], 3.19.af_y_agp 
(-5, 24, -133), [14, 5, 0], 3.19.af_y_afd 
(-5, 24, -95), [14, 5, 0], 3.19.af_y_adr 
(-5, 26, -171), [14, 7, 0], 3.19.af_ba_agp 
(-5, 26, -133), [14, 7, 0], 3.19.af_ba_afd 
(-5, 26, -57), [14, 7, 0], 3.19.af_ba_acf 
(-5, 28, -209), [14, 9, 0], 3.19.af_bc_aib 
(-5, 28, -171), [14, 9, 0], 3.19.af_bc_agp 
(-5, 28, -133), [14, 9, 0], 3.19.af_bc_afd 
(-5, 28, -95), [14, 9, 0], 3.19.af_bc_adr 
(-5, 28, -57), [14, 9, 0], 3.19.af_bc_acf 
(-5, 30, -209), [14, 11, 0], 3.19.af_be_aib 
(-5, 30, -171), [14, 11, 0], 3.19.af_be_agp 
(-5, 30, -133), [14, 11, 0], 3.19.af_be_afd 
(-5, 30, -95), [14, 11, 0], 3.19.af_be_adr 
(-5, 30, -57), [14, 11, 0], 3.19.af_be_acf 
(-5, 32, -171), [14, 13, 0], 3.19.af_bg_agp 
(-5, 32, -133), [14, 13, 0], 3.19.af_bg_afd 
(-5, 32, -95), [14, 13, 0], 3.19.af_bg_adr 
(-5, 34, -209), [14, 15, 0], 3.19.af_bi_aib 
(-5, 34, -171), [14, 15, 0], 3.19.af_bi_agp 
(-5, 34, -133), [14, 15, 0], 3.19.af_bi_afd 
(-5, 34, -95), [14, 15, 0], 3.19.af_bi_adr 
(-5, 36, -171), [14, 17, 0], 3.19.af_bk_agp 
(-5, 36, -133), [14, 17, 0], 3.19.af_bk_afd 
(-5, 36, -95), [14, 17, 0], 3.19.af_bk_adr 
(-5, 40, -171), [14, 2, 0], 3.19.af_bo_agp 
(-5, 40, -133), [14, 2, 0], 3.19.af_bo_afd 
(-5, 42, -133), [14, 4, 0], 3.19.af_bq_afd 
(-5, 44, -171), [14, 6, 0], 3.19.af_bs_agp 
(-5, 46, -171), [14, 8, 0], 3.19.af_bu_agp 
(-5, 46, -133), [14, 8, 0], 3.19.af_bu_afd 
(-5, 48, -171), [14, 10, 0], 3.19.af_bw_agp 
(-5, 50, -171), [14, 12, 0], 3.19.af_by_agp 
(-5, 52, -171), [14, 14, 0], 3.19.af_ca_agp 
(-5, 54, -171), [14, 16, 0], 3.19.af_cc_agp 
(-5, 56, -171), [14, 18, 0], 3.19.af_ce_agp 
