(-2, 1, 2), [2, 1, 2], 3.5.ac_b_c 
(-2, 1, 3), [2, 1, 3], 3.5.ac_b_d 
(-2, 1, 6), [2, 1, 2], 3.5.ac_b_g 
(-2, 1, 9), [2, 1, 1], 3.5.ac_b_j 
(-2, 1, 11), [2, 1, 3], 3.5.ac_b_l 
(-2, 1, 12), [2, 1, 0], 3.5.ac_b_m 
(-2, 2, -8), [2, 2, 0], 3.5.ac_c_ai 
(-2, 2, -4), [2, 2, 0], 3.5.ac_c_ae 
(-2, 2, -2), [2, 2, 2], 3.5.ac_c_ac 
(-2, 2, 2), [2, 2, 2], 3.5.ac_c_c 
(-2, 2, 4), [2, 2, 0], 3.5.ac_c_e 
(-2, 2, 8), [2, 2, 0], 3.5.ac_c_i 
(-2, 3, -14), [2, 3, 2], 3.5.ac_d_ao 
(-2, 3, -13), [2, 3, 3], 3.5.ac_d_an 
(-2, 3, -12), [2, 3, 0], 3.5.ac_d_am 
(-2, 3, -9), [2, 3, 3], 3.5.ac_d_aj 
(-2, 3, -8), [2, 3, 0], 3.5.ac_d_ai 
(-2, 3, -6), [2, 3, 2], 3.5.ac_d_ag 
(-2, 3, -3), [2, 3, 1], 3.5.ac_d_ad 
(-2, 3, -2), [2, 3, 2], 3.5.ac_d_ac 
(-2, 3, 1), [2, 3, 1], 3.5.ac_d_b 
(-2, 3, 2), [2, 3, 2], 3.5.ac_d_c 
(-2, 3, 3), [2, 3, 3], 3.5.ac_d_d 
(-2, 3, 6), [2, 3, 2], 3.5.ac_d_g 
(-2, 4, -18), [2, 0, 2], 3.5.ac_e_as 
(-2, 4, -16), [2, 0, 0], 3.5.ac_e_aq 
(-2, 4, -14), [2, 0, 2], 3.5.ac_e_ao 
(-2, 4, -12), [2, 0, 0], 3.5.ac_e_am 
(-2, 4, -6), [2, 0, 2], 3.5.ac_e_ag 
(-2, 4, -4), [2, 0, 0], 3.5.ac_e_ae 
(-2, 4, -2), [2, 0, 2], 3.5.ac_e_ac 
(-2, 5, -23), [2, 1, 1], 3.5.ac_f_ax 
(-2, 5, -22), [2, 1, 2], 3.5.ac_f_aw 
(-2, 5, -19), [2, 1, 1], 3.5.ac_f_at 
(-2, 5, -18), [2, 1, 2], 3.5.ac_f_as 
(-2, 5, -17), [2, 1, 3], 3.5.ac_f_ar 
(-2, 5, -16), [2, 1, 0], 3.5.ac_f_aq 
(-2, 5, -14), [2, 1, 2], 3.5.ac_f_ao 
(-2, 5, -13), [2, 1, 3], 3.5.ac_f_an 
(-2, 5, -11), [2, 1, 1], 3.5.ac_f_al 
(-2, 5, -8), [2, 1, 0], 3.5.ac_f_ai 
(-2, 5, -7), [2, 1, 1], 3.5.ac_f_ah 
(-2, 5, -6), [2, 1, 2], 3.5.ac_f_ag 
(-2, 5, -4), [2, 1, 0], 3.5.ac_f_ae 
(-2, 5, -2), [2, 1, 2], 3.5.ac_f_ac 
(-2, 5, -1), [2, 1, 3], 3.5.ac_f_ab 
(-2, 6, -24), [2, 2, 0], 3.5.ac_g_ay 
(-2, 6, -18), [2, 2, 2], 3.5.ac_g_as 
(-2, 6, -14), [2, 2, 2], 3.5.ac_g_ao 
(-2, 6, -12), [2, 2, 0], 3.5.ac_g_am 
(-2, 6, -8), [2, 2, 0], 3.5.ac_g_ai 
(-2, 6, -6), [2, 2, 2], 3.5.ac_g_ag 
(-2, 6, -4), [2, 2, 0], 3.5.ac_g_ae 
(-2, 7, -24), [2, 3, 0], 3.5.ac_h_ay 
(-2, 7, -22), [2, 3, 2], 3.5.ac_h_aw 
(-2, 7, -21), [2, 3, 3], 3.5.ac_h_av 
(-2, 7, -19), [2, 3, 1], 3.5.ac_h_at 
(-2, 7, -18), [2, 3, 2], 3.5.ac_h_as 
(-2, 7, -17), [2, 3, 3], 3.5.ac_h_ar 
