(-4, 14, -37), [0, 2, 3], 3.7.ae_o_abl 
(-4, 14, -33), [0, 2, 3], 3.7.ae_o_abh 
(-4, 14, -31), [0, 2, 1], 3.7.ae_o_abf 
(-4, 14, -29), [0, 2, 3], 3.7.ae_o_abd 
(-4, 14, -27), [0, 2, 1], 3.7.ae_o_abb 
(-4, 16, -57), [0, 0, 3], 3.7.ae_q_acf 
(-4, 16, -55), [0, 0, 1], 3.7.ae_q_acd 
(-4, 16, -53), [0, 0, 3], 3.7.ae_q_acb 
(-4, 16, -51), [0, 0, 1], 3.7.ae_q_abz 
(-4, 16, -47), [0, 0, 1], 3.7.ae_q_abv 
(-4, 16, -45), [0, 0, 3], 3.7.ae_q_abt 
(-4, 16, -43), [0, 0, 1], 3.7.ae_q_abr 
(-4, 16, -41), [0, 0, 3], 3.7.ae_q_abp 
(-4, 16, -39), [0, 0, 1], 3.7.ae_q_abn 
(-4, 16, -37), [0, 0, 3], 3.7.ae_q_abl 
(-4, 16, -33), [0, 0, 3], 3.7.ae_q_abh 
(-4, 17, -53), [0, 1, 3], 3.7.ae_r_acb 
(-4, 18, -55), [0, 2, 1], 3.7.ae_s_acd 
(-4, 18, -53), [0, 2, 3], 3.7.ae_s_acb 
(-4, 18, -51), [0, 2, 1], 3.7.ae_s_abz 
(-4, 18, -47), [0, 2, 1], 3.7.ae_s_abv 
(-4, 18, -45), [0, 2, 3], 3.7.ae_s_abt 
(-4, 18, -43), [0, 2, 1], 3.7.ae_s_abr 
(-4, 18, -41), [0, 2, 3], 3.7.ae_s_abp 
(-4, 18, -39), [0, 2, 1], 3.7.ae_s_abn 
(-4, 20, -55), [0, 0, 1], 3.7.ae_u_acd 
(-4, 20, -54), [0, 0, 2], 3.7.ae_u_acc 
(-4, 20, -53), [0, 0, 3], 3.7.ae_u_acb 
(-4, 20, -51), [0, 0, 1], 3.7.ae_u_abz 
(-4, 20, -47), [0, 0, 1], 3.7.ae_u_abv 
(-4, 20, -45), [0, 0, 3], 3.7.ae_u_abt 
(-4, 22, -55), [0, 2, 1], 3.7.ae_w_acd 
(-4, 22, -53), [0, 2, 3], 3.7.ae_w_acb 
(-4, 22, -51), [0, 2, 1], 3.7.ae_w_abz 
(-4, 23, -54), [0, 3, 2], 3.7.ae_x_acc 
(-4, 24, -55), [0, 0, 1], 3.7.ae_y_acd 
(-3, -6, 37), [1, 2, 1], 3.7.ad_ag_bl 
(-3, -6, 40), [1, 2, 0], 3.7.ad_ag_bo 
(-3, -6, 41), [1, 2, 1], 3.7.ad_ag_bp 
(-3, -6, 44), [1, 2, 0], 3.7.ad_ag_bs 
(-3, -6, 45), [1, 2, 1], 3.7.ad_ag_bt 
(-3, -6, 47), [1, 2, 3], 3.7.ad_ag_bv 
(-3, -5, 32), [1, 3, 0], 3.7.ad_af_bg 
(-3, -5, 37), [1, 3, 1], 3.7.ad_af_bl 
(-3, -5, 40), [1, 3, 0], 3.7.ad_af_bo 
(-3, -5, 43), [1, 3, 3], 3.7.ad_af_br 
(-3, -4, 27), [1, 0, 3], 3.7.ad_ae_bb 
(-3, -4, 29), [1, 0, 1], 3.7.ad_ae_bd 
(-3, -4, 31), [1, 0, 3], 3.7.ad_ae_bf 
(-3, -4, 36), [1, 0, 0], 3.7.ad_ae_bk 
(-3, -4, 37), [1, 0, 1], 3.7.ad_ae_bl 
(-3, -4, 39), [1, 0, 3], 3.7.ad_ae_bn 
(-3, -4, 40), [1, 0, 0], 3.7.ad_ae_bo 
(-3, -4, 41), [1, 0, 1], 3.7.ad_ae_bp 
(-3, -3, 24), [1, 1, 0], 3.7.ad_ad_y 
(-3, -3, 37), [1, 1, 1], 3.7.ad_ad_bl 
(-3, -2, 16), [1, 2, 0], 3.7.ad_ac_q 
(-3, -2, 17), [1, 2, 1], 3.7.ad_ac_r 
(-3, -2, 19), [1, 2, 3], 3.7.ad_ac_t 
(-3, -2, 25), [1, 2, 1], 3.7.ad_ac_z 
(-3, -2, 29), [1, 2, 1], 3.7.ad_ac_bd 
(-3, -2, 31), [1, 2, 3], 3.7.ad_ac_bf 
(-3, -2, 33), [1, 2, 1], 3.7.ad_ac_bh 
(-3, 0, 5), [1, 0, 1], 3.7.ad_a_f 
(-3, 0, 9), [1, 0, 1], 3.7.ad_a_j 
(-3, 0, 11), [1, 0, 3], 3.7.ad_a_l 
(-3, 0, 15), [1, 0, 3], 3.7.ad_a_p 
(-3, 0, 17), [1, 0, 1], 3.7.ad_a_r 
(-3, 0, 19), [1, 0, 3], 3.7.ad_a_t 
(-3, 0, 23), [1, 0, 3], 3.7.ad_a_x 
(-3, 0, 25), [1, 0, 1], 3.7.ad_a_z 
(-3, 2, -5), [1, 2, 3], 3.7.ad_c_af 
(-3, 2, -3), [1, 2, 1], 3.7.ad_c_ad 
(-3, 2, -1), [1, 2, 3], 3.7.ad_c_ab 
(-3, 2, 1), [1, 2, 1], 3.7.ad_c_b 
(-3, 2, 5), [1, 2, 1], 3.7.ad_c_f 
(-3, 2, 9), [1, 2, 1], 3.7.ad_c_j 
(-3, 2, 11), [1, 2, 3], 3.7.ad_c_l 
(-3, 2, 12), [1, 2, 0], 3.7.ad_c_m 
(-3, 2, 13), [1, 2, 1], 3.7.ad_c_n 
(-3, 2, 17), [1, 2, 1], 3.7.ad_c_r 
(-3, 4, -15), [1, 0, 1], 3.7.ad_e_ap 
(-3, 4, -13), [1, 0, 3], 3.7.ad_e_an 
(-3, 4, -12), [1, 0, 0], 3.7.ad_e_am 
(-3, 4, -11), [1, 0, 1], 3.7.ad_e_al 
(-3, 4, -9), [1, 0, 3], 3.7.ad_e_aj 
(-3, 4, -5), [1, 0, 3], 3.7.ad_e_af 
(-3, 4, -3), [1, 0, 1], 3.7.ad_e_ad 
(-3, 4, -1), [1, 0, 3], 3.7.ad_e_ab 
(-3, 4, 1), [1, 0, 1], 3.7.ad_e_b 
(-3, 4, 3), [1, 0, 3], 3.7.ad_e_d 
(-3, 4, 5), [1, 0, 1], 3.7.ad_e_f 
(-3, 4, 11), [1, 0, 3], 3.7.ad_e_l 
(-3, 6, -23), [1, 2, 1], 3.7.ad_g_ax 
(-3, 6, -19), [1, 2, 1], 3.7.ad_g_at 
(-3, 6, -15), [1, 2, 1], 3.7.ad_g_ap 
(-3, 6, -13), [1, 2, 3], 3.7.ad_g_an 
(-3, 6, -11), [1, 2, 1], 3.7.ad_g_al 
(-3, 6, -9), [1, 2, 3], 3.7.ad_g_aj 
(-3, 6, -5), [1, 2, 3], 3.7.ad_g_af 
(-3, 6, -3), [1, 2, 1], 3.7.ad_g_ad 
