(-17, 152, -877), [6, 14, 20], 3.23.ar_fw_abht 
(-17, 152, -875), [6, 14, 22], 3.23.ar_fw_abhr 
(-17, 152, -871), [6, 14, 3], 3.23.ar_fw_abhn 
(-17, 153, -906), [6, 15, 14], 3.23.ar_fx_abiw 
(-17, 153, -904), [6, 15, 16], 3.23.ar_fx_abiu 
(-17, 153, -901), [6, 15, 19], 3.23.ar_fx_abir 
(-17, 153, -898), [6, 15, 22], 3.23.ar_fx_abio 
(-17, 153, -892), [6, 15, 5], 3.23.ar_fx_abii 
(-17, 154, -913), [6, 16, 7], 3.23.ar_fy_abjd 
(-17, 154, -909), [6, 16, 11], 3.23.ar_fy_abiz 
(-17, 154, -905), [6, 16, 15], 3.23.ar_fy_abiv 
(-17, 154, -903), [6, 16, 17], 3.23.ar_fy_abit 
(-17, 154, -901), [6, 16, 19], 3.23.ar_fy_abir 
(-17, 154, -895), [6, 16, 2], 3.23.ar_fy_abil 
(-17, 154, -893), [6, 16, 4], 3.23.ar_fy_abij 
(-17, 154, -891), [6, 16, 6], 3.23.ar_fy_abih 
(-17, 154, -889), [6, 16, 8], 3.23.ar_fy_abif 
(-17, 155, -916), [6, 17, 4], 3.23.ar_fz_abjg 
(-17, 156, -921), [6, 18, 22], 3.23.ar_ga_abjl 
(-17, 156, -919), [6, 18, 1], 3.23.ar_ga_abjj 
(-17, 156, -915), [6, 18, 5], 3.23.ar_ga_abjf 
(-17, 156, -913), [6, 18, 7], 3.23.ar_ga_abjd 
(-17, 156, -911), [6, 18, 9], 3.23.ar_ga_abjb 
(-17, 156, -909), [6, 18, 11], 3.23.ar_ga_abiz 
(-17, 156, -907), [6, 18, 13], 3.23.ar_ga_abix 
(-17, 156, -905), [6, 18, 15], 3.23.ar_ga_abiv 
(-17, 156, -904), [6, 18, 16], 3.23.ar_ga_abiu 
(-17, 156, -903), [6, 18, 17], 3.23.ar_ga_abit 
(-17, 157, -925), [6, 19, 18], 3.23.ar_gb_abjp 
(-17, 158, -929), [6, 20, 14], 3.23.ar_gc_abjt 
(-17, 158, -925), [6, 20, 18], 3.23.ar_gc_abjp 
(-17, 158, -924), [6, 20, 19], 3.23.ar_gc_abjo 
(-17, 158, -922), [6, 20, 21], 3.23.ar_gc_abjm 
(-17, 158, -921), [6, 20, 22], 3.23.ar_gc_abjl 
(-17, 158, -919), [6, 20, 1], 3.23.ar_gc_abjj 
(-17, 158, -917), [6, 20, 3], 3.23.ar_gc_abjh 
(-17, 159, -925), [6, 21, 18], 3.23.ar_gd_abjp 
(-17, 160, -935), [6, 22, 8], 3.23.ar_ge_abjz 
(-17, 160, -933), [6, 22, 10], 3.23.ar_ge_abjx 
(-17, 160, -931), [6, 22, 12], 3.23.ar_ge_abjv 
(-17, 161, -939), [6, 0, 4], 3.23.ar_gf_abkd 
