(1, 10, 7), [1, 2, 3], 3.4.b_k_h 
(2, -3, -19), [2, 1, 1], 3.4.c_ad_at 
(2, -3, -17), [2, 1, 3], 3.4.c_ad_ar 
(2, -3, -15), [2, 1, 1], 3.4.c_ad_ap 
(2, -3, -13), [2, 1, 3], 3.4.c_ad_an 
(2, -2, -13), [2, 2, 3], 3.4.c_ac_an 
(2, -2, -11), [2, 2, 1], 3.4.c_ac_al 
(2, -1, -13), [2, 3, 3], 3.4.c_ab_an 
(2, -1, -11), [2, 3, 1], 3.4.c_ab_al 
(2, -1, -9), [2, 3, 3], 3.4.c_ab_aj 
(2, -1, -7), [2, 3, 1], 3.4.c_ab_ah 
(2, -1, -5), [2, 3, 3], 3.4.c_ab_af 
(2, 1, -7), [2, 1, 1], 3.4.c_b_ah 
(2, 1, -5), [2, 1, 3], 3.4.c_b_af 
(2, 1, -3), [2, 1, 1], 3.4.c_b_ad 
(2, 1, -1), [2, 1, 3], 3.4.c_b_ab 
(2, 1, 1), [2, 1, 1], 3.4.c_b_b 
(2, 1, 3), [2, 1, 3], 3.4.c_b_d 
(2, 3, -3), [2, 3, 1], 3.4.c_d_ad 
(2, 3, -1), [2, 3, 3], 3.4.c_d_ab 
(2, 3, 1), [2, 3, 1], 3.4.c_d_b 
(2, 3, 3), [2, 3, 3], 3.4.c_d_d 
(2, 3, 5), [2, 3, 1], 3.4.c_d_f 
(2, 3, 7), [2, 3, 3], 3.4.c_d_h 
(2, 3, 9), [2, 3, 1], 3.4.c_d_j 
(2, 3, 11), [2, 3, 3], 3.4.c_d_l 
(2, 5, 3), [2, 1, 3], 3.4.c_f_d 
(2, 5, 5), [2, 1, 1], 3.4.c_f_f 
(2, 5, 7), [2, 1, 3], 3.4.c_f_h 
(2, 5, 9), [2, 1, 1], 3.4.c_f_j 
(2, 5, 11), [2, 1, 3], 3.4.c_f_l 
(2, 5, 13), [2, 1, 1], 3.4.c_f_n 
(2, 5, 15), [2, 1, 3], 3.4.c_f_p 
(2, 5, 17), [2, 1, 1], 3.4.c_f_r 
(2, 5, 19), [2, 1, 3], 3.4.c_f_t 
(2, 7, 7), [2, 3, 3], 3.4.c_h_h 
(2, 7, 9), [2, 3, 1], 3.4.c_h_j 
(2, 7, 11), [2, 3, 3], 3.4.c_h_l 
(2, 7, 13), [2, 3, 1], 3.4.c_h_n 
(2, 7, 15), [2, 3, 3], 3.4.c_h_p 
(2, 7, 17), [2, 3, 1], 3.4.c_h_r 
(2, 9, 11), [2, 1, 3], 3.4.c_j_l 
(2, 9, 13), [2, 1, 1], 3.4.c_j_n 
(2, 9, 15), [2, 1, 3], 3.4.c_j_p 
(2, 11, 15), [2, 3, 3], 3.4.c_l_p 
(3, -2, -17), [3, 2, 3], 3.4.d_ac_ar 
(3, -1, -13), [3, 3, 3], 3.4.d_ab_an 
(3, 0, -11), [3, 0, 1], 3.4.d_a_al 
(3, 0, -9), [3, 0, 3], 3.4.d_a_aj 
(3, 2, -5), [3, 2, 3], 3.4.d_c_af 
(3, 2, -3), [3, 2, 1], 3.4.d_c_ad 
(3, 2, -1), [3, 2, 3], 3.4.d_c_ab 
(3, 4, 1), [3, 0, 1], 3.4.d_e_b 
(3, 4, 3), [3, 0, 3], 3.4.d_e_d 
(3, 4, 5), [3, 0, 1], 3.4.d_e_f 
(3, 4, 7), [3, 0, 3], 3.4.d_e_h 
(3, 6, 7), [3, 2, 3], 3.4.d_g_h 
(3, 6, 9), [3, 2, 1], 3.4.d_g_j 
(3, 6, 11), [3, 2, 3], 3.4.d_g_l 
(3, 6, 13), [3, 2, 1], 3.4.d_g_n 
(3, 6, 15), [3, 2, 3], 3.4.d_g_p 
(3, 8, 11), [3, 0, 3], 3.4.d_i_l 
(3, 8, 13), [3, 0, 1], 3.4.d_i_n 
(3, 8, 15), [3, 0, 3], 3.4.d_i_p 
(3, 8, 17), [3, 0, 1], 3.4.d_i_r 
(3, 8, 19), [3, 0, 3], 3.4.d_i_t 
(3, 8, 21), [3, 0, 1], 3.4.d_i_v 
(3, 8, 23), [3, 0, 3], 3.4.d_i_x 
(3, 10, 17), [3, 2, 1], 3.4.d_k_r 
(3, 10, 19), [3, 2, 3], 3.4.d_k_t 
(3, 10, 21), [3, 2, 1], 3.4.d_k_v 
(3, 10, 23), [3, 2, 3], 3.4.d_k_x 
(3, 12, 21), [3, 0, 1], 3.4.d_m_v 
(3, 12, 23), [3, 0, 3], 3.4.d_m_x 
(4, 2, -9), [0, 2, 3], 3.4.e_c_aj 
(4, 3, -5), [0, 3, 3], 3.4.e_d_af 
(4, 5, 3), [0, 1, 3], 3.4.e_f_d 
(4, 7, 9), [0, 3, 1], 3.4.e_h_j 
(4, 7, 11), [0, 3, 3], 3.4.e_h_l 
(4, 9, 15), [0, 1, 3], 3.4.e_j_p 
(4, 9, 17), [0, 1, 1], 3.4.e_j_r 
(4, 9, 19), [0, 1, 3], 3.4.e_j_t 
(4, 11, 21), [0, 3, 1], 3.4.e_l_v 
(4, 11, 23), [0, 3, 3], 3.4.e_l_x 
(4, 11, 25), [0, 3, 1], 3.4.e_l_z 
(4, 11, 27), [0, 3, 3], 3.4.e_l_bb 
(4, 13, 27), [0, 1, 3], 3.4.e_n_bb 
(4, 13, 29), [0, 1, 1], 3.4.e_n_bd 
(4, 13, 31), [0, 1, 3], 3.4.e_n_bf 
(4, 15, 31), [0, 3, 3], 3.4.e_p_bf 
(5, 10, 15), [1, 2, 3], 3.4.f_k_p 
(5, 12, 23), [1, 0, 3], 3.4.f_m_x 
(5, 14, 29), [1, 2, 1], 3.4.f_o_bd 
(5, 14, 31), [1, 2, 3], 3.4.f_o_bf 
(5, 16, 35), [1, 0, 3], 3.4.f_q_bj 
(5, 16, 37), [1, 0, 1], 3.4.f_q_bl 
(5, 16, 39), [1, 0, 3], 3.4.f_q_bn 
(5, 18, 41), [1, 2, 1], 3.4.f_s_bp 
(6, 17, 35), [2, 1, 3], 3.4.g_r_bj 
(6, 19, 43), [2, 3, 3], 3.4.g_t_br 
(6, 20, 47), [2, 0, 3], 3.4.g_u_bv 
(6, 21, 49), [2, 1, 1], 3.4.g_v_bx 
(6, 21, 51), [2, 1, 3], 3.4.g_v_bz 
(7, 26, 63), [3, 2, 3], 3.4.h_ba_cl 
