(-14, 107, -528), [3, 5, 16], 3.17.ao_ed_aui 
(-14, 107, -526), [3, 5, 1], 3.17.ao_ed_aug 
(-14, 108, -546), [3, 6, 15], 3.17.ao_ee_ava 
(-14, 108, -540), [3, 6, 4], 3.17.ao_ee_auu 
(-14, 108, -538), [3, 6, 6], 3.17.ao_ee_aus 
(-14, 109, -550), [3, 7, 11], 3.17.ao_ef_ave 
(-14, 109, -549), [3, 7, 12], 3.17.ao_ef_avd 
(-14, 109, -546), [3, 7, 15], 3.17.ao_ef_ava 
(-14, 109, -545), [3, 7, 16], 3.17.ao_ef_auz 
(-14, 109, -542), [3, 7, 2], 3.17.ao_ef_auw 
(-14, 109, -540), [3, 7, 4], 3.17.ao_ef_auu 
(-14, 109, -538), [3, 7, 6], 3.17.ao_ef_aus 
(-14, 109, -537), [3, 7, 7], 3.17.ao_ef_aur 
(-14, 110, -550), [3, 8, 11], 3.17.ao_eg_ave 
(-14, 110, -548), [3, 8, 13], 3.17.ao_eg_avc 
(-14, 111, -555), [3, 9, 6], 3.17.ao_eh_avj 
(-14, 111, -554), [3, 9, 7], 3.17.ao_eh_avi 
(-14, 111, -552), [3, 9, 9], 3.17.ao_eh_avg 
(-14, 111, -550), [3, 9, 11], 3.17.ao_eh_ave 
(-14, 111, -549), [3, 9, 12], 3.17.ao_eh_avd 
(-14, 112, -558), [3, 10, 3], 3.17.ao_ei_avm 
(-14, 113, -562), [3, 11, 16], 3.17.ao_ej_avq 
(-13, 71, -283), [4, 3, 6], 3.17.an_ct_akx 
(-13, 73, -300), [4, 5, 6], 3.17.an_cv_alo 
(-13, 73, -299), [4, 5, 7], 3.17.an_cv_aln 
(-13, 74, -308), [4, 6, 15], 3.17.an_cw_alw 
(-13, 75, -315), [4, 7, 8], 3.17.an_cx_amd 
(-13, 76, -324), [4, 8, 16], 3.17.an_cy_amm 
(-13, 77, -332), [4, 9, 8], 3.17.an_cz_amu 
(-13, 77, -331), [4, 9, 9], 3.17.an_cz_amt 
(-13, 77, -329), [4, 9, 11], 3.17.an_cz_amr 
(-13, 77, -328), [4, 9, 12], 3.17.an_cz_amq 
(-13, 78, -336), [4, 10, 4], 3.17.an_da_amy 
(-13, 79, -349), [4, 11, 8], 3.17.an_db_anl 
(-13, 79, -347), [4, 11, 10], 3.17.an_db_anj 
(-13, 79, -345), [4, 11, 12], 3.17.an_db_anh 
(-13, 79, -343), [4, 11, 14], 3.17.an_db_anf 
(-13, 80, -356), [4, 12, 1], 3.17.an_dc_ans 
(-13, 80, -352), [4, 12, 5], 3.17.an_dc_ano 
(-13, 81, -366), [4, 13, 8], 3.17.an_dd_aoc 
(-13, 81, -365), [4, 13, 9], 3.17.an_dd_aob 
(-13, 81, -364), [4, 13, 10], 3.17.an_dd_aoa 
(-13, 81, -363), [4, 13, 11], 3.17.an_dd_anz 
(-13, 81, -361), [4, 13, 13], 3.17.an_dd_anx 
(-13, 81, -359), [4, 13, 15], 3.17.an_dd_anv 
(-13, 82, -372), [4, 14, 2], 3.17.an_de_aoi 
(-13, 82, -368), [4, 14, 6], 3.17.an_de_aoe 
(-13, 82, -366), [4, 14, 8], 3.17.an_de_aoc 
(-13, 83, -381), [4, 15, 10], 3.17.an_df_aor 
(-13, 83, -380), [4, 15, 11], 3.17.an_df_aoq 
(-13, 83, -379), [4, 15, 12], 3.17.an_df_aop 
(-13, 83, -377), [4, 15, 14], 3.17.an_df_aon 
(-13, 83, -376), [4, 15, 15], 3.17.an_df_aom 
(-13, 83, -375), [4, 15, 16], 3.17.an_df_aol 
(-13, 83, -373), [4, 15, 1], 3.17.an_df_aoj 
(-13, 84, -390), [4, 16, 1], 3.17.an_dg_apa 
(-13, 84, -384), [4, 16, 7], 3.17.an_dg_aou 
(-13, 84, -382), [4, 16, 9], 3.17.an_dg_aos 
(-13, 84, -380), [4, 16, 11], 3.17.an_dg_aoq 
(-13, 85, -399), [4, 0, 9], 3.17.an_dh_apj 
(-13, 85, -398), [4, 0, 10], 3.17.an_dh_api 
(-13, 85, -397), [4, 0, 11], 3.17.an_dh_aph 
(-13, 85, -396), [4, 0, 12], 3.17.an_dh_apg 
(-13, 85, -395), [4, 0, 13], 3.17.an_dh_apf 
(-13, 85, -393), [4, 0, 15], 3.17.an_dh_apd 
(-13, 85, -392), [4, 0, 16], 3.17.an_dh_apc 
(-13, 85, -390), [4, 0, 1], 3.17.an_dh_apa 
(-13, 85, -389), [4, 0, 2], 3.17.an_dh_aoz 
(-13, 85, -388), [4, 0, 3], 3.17.an_dh_aoy 
(-13, 85, -387), [4, 0, 4], 3.17.an_dh_aox 
(-13, 86, -406), [4, 1, 2], 3.17.an_di_apq 
(-13, 86, -404), [4, 1, 4], 3.17.an_di_apo 
(-13, 86, -398), [4, 1, 10], 3.17.an_di_api 
(-13, 86, -396), [4, 1, 12], 3.17.an_di_apg 
(-13, 86, -394), [4, 1, 14], 3.17.an_di_ape 
(-13, 87, -415), [4, 2, 10], 3.17.an_dj_apz 
(-13, 87, -414), [4, 2, 11], 3.17.an_dj_apy 
(-13, 87, -413), [4, 2, 12], 3.17.an_dj_apx 
(-13, 87, -412), [4, 2, 13], 3.17.an_dj_apw 
(-13, 87, -411), [4, 2, 14], 3.17.an_dj_apv 
(-13, 87, -409), [4, 2, 16], 3.17.an_dj_apt 
(-13, 87, -407), [4, 2, 1], 3.17.an_dj_apr 
(-13, 87, -405), [4, 2, 3], 3.17.an_dj_app 
(-13, 87, -404), [4, 2, 4], 3.17.an_dj_apo 
(-13, 87, -403), [4, 2, 5], 3.17.an_dj_apn 
(-13, 87, -402), [4, 2, 6], 3.17.an_dj_apm 
(-13, 87, -401), [4, 2, 7], 3.17.an_dj_apl 
(-13, 88, -422), [4, 3, 3], 3.17.an_dk_aqg 
(-13, 88, -420), [4, 3, 5], 3.17.an_dk_aqe 
(-13, 88, -416), [4, 3, 9], 3.17.an_dk_aqa 
(-13, 88, -414), [4, 3, 11], 3.17.an_dk_apy 
(-13, 89, -431), [4, 4, 11], 3.17.an_dl_aqp 
(-13, 89, -430), [4, 4, 12], 3.17.an_dl_aqo 
(-13, 89, -429), [4, 4, 13], 3.17.an_dl_aqn 
(-13, 89, -428), [4, 4, 14], 3.17.an_dl_aqm 
(-13, 89, -427), [4, 4, 15], 3.17.an_dl_aql 
(-13, 89, -424), [4, 4, 1], 3.17.an_dl_aqi 
(-13, 89, -423), [4, 4, 2], 3.17.an_dl_aqh 
(-13, 89, -422), [4, 4, 3], 3.17.an_dl_aqg 
(-13, 89, -421), [4, 4, 4], 3.17.an_dl_aqf 
(-13, 89, -420), [4, 4, 5], 3.17.an_dl_aqe 
(-13, 89, -419), [4, 4, 6], 3.17.an_dl_aqd 
(-13, 89, -417), [4, 4, 8], 3.17.an_dl_aqb 
(-13, 89, -416), [4, 4, 9], 3.17.an_dl_aqa 
(-13, 89, -415), [4, 4, 10], 3.17.an_dl_apz 
(-13, 90, -440), [4, 5, 2], 3.17.an_dm_aqy 
(-13, 90, -438), [4, 5, 4], 3.17.an_dm_aqw 
(-13, 90, -436), [4, 5, 6], 3.17.an_dm_aqu 
(-13, 90, -432), [4, 5, 10], 3.17.an_dm_aqq 
(-13, 90, -430), [4, 5, 12], 3.17.an_dm_aqo 
(-13, 90, -428), [4, 5, 14], 3.17.an_dm_aqm 
(-13, 90, -426), [4, 5, 16], 3.17.an_dm_aqk 
(-13, 91, -448), [4, 6, 11], 3.17.an_dn_arg 
(-13, 91, -447), [4, 6, 12], 3.17.an_dn_arf 
(-13, 91, -446), [4, 6, 13], 3.17.an_dn_are 
(-13, 91, -445), [4, 6, 14], 3.17.an_dn_ard 
(-13, 91, -444), [4, 6, 15], 3.17.an_dn_arc 
(-13, 91, -443), [4, 6, 16], 3.17.an_dn_arb 
(-13, 91, -441), [4, 6, 1], 3.17.an_dn_aqz 
(-13, 91, -440), [4, 6, 2], 3.17.an_dn_aqy 
(-13, 91, -439), [4, 6, 3], 3.17.an_dn_aqx 
(-13, 91, -438), [4, 6, 4], 3.17.an_dn_aqw 
(-13, 91, -437), [4, 6, 5], 3.17.an_dn_aqv 
(-13, 91, -436), [4, 6, 6], 3.17.an_dn_aqu 
(-13, 91, -435), [4, 6, 7], 3.17.an_dn_aqt 
(-13, 91, -434), [4, 6, 8], 3.17.an_dn_aqs 
(-13, 91, -433), [4, 6, 9], 3.17.an_dn_aqr 
(-13, 91, -432), [4, 6, 10], 3.17.an_dn_aqq 
(-13, 91, -431), [4, 6, 11], 3.17.an_dn_aqp 
(-13, 91, -429), [4, 6, 13], 3.17.an_dn_aqn 
(-13, 92, -456), [4, 7, 3], 3.17.an_do_aro 
(-13, 92, -454), [4, 7, 5], 3.17.an_do_arm 
(-13, 92, -452), [4, 7, 7], 3.17.an_do_ark 
(-13, 92, -448), [4, 7, 11], 3.17.an_do_arg 
(-13, 92, -446), [4, 7, 13], 3.17.an_do_are 
(-13, 92, -444), [4, 7, 15], 3.17.an_do_arc 
(-13, 92, -440), [4, 7, 2], 3.17.an_do_aqy 
(-13, 92, -438), [4, 7, 4], 3.17.an_do_aqw 
(-13, 92, -434), [4, 7, 8], 3.17.an_do_aqs 
(-13, 93, -463), [4, 8, 13], 3.17.an_dp_arv 
(-13, 93, -462), [4, 8, 14], 3.17.an_dp_aru 
(-13, 93, -461), [4, 8, 15], 3.17.an_dp_art 
(-13, 93, -460), [4, 8, 16], 3.17.an_dp_ars 
(-13, 93, -457), [4, 8, 2], 3.17.an_dp_arp 
(-13, 93, -456), [4, 8, 3], 3.17.an_dp_aro 
(-13, 93, -455), [4, 8, 4], 3.17.an_dp_arn 
(-13, 93, -454), [4, 8, 5], 3.17.an_dp_arm 
(-13, 93, -453), [4, 8, 6], 3.17.an_dp_arl 
