(-10, 37, -100), [2, 1, 0], 3.13.ak_bl_adw 
(-10, 39, -114), [2, 3, 2], 3.13.ak_bn_aek 
(-10, 39, -112), [2, 3, 0], 3.13.ak_bn_aei 
(-10, 41, -129), [2, 1, 3], 3.13.ak_bp_aez 
(-10, 41, -126), [2, 1, 2], 3.13.ak_bp_aew 
(-10, 42, -136), [2, 2, 0], 3.13.ak_bq_afg 
(-10, 42, -132), [2, 2, 0], 3.13.ak_bq_afc 
(-10, 43, -142), [2, 3, 2], 3.13.ak_br_afm 
(-10, 44, -150), [2, 0, 2], 3.13.ak_bs_afu 
(-10, 45, -158), [2, 1, 2], 3.13.ak_bt_agc 
(-10, 45, -157), [2, 1, 3], 3.13.ak_bt_agb 
(-10, 45, -154), [2, 1, 2], 3.13.ak_bt_afy 
(-10, 45, -153), [2, 1, 3], 3.13.ak_bt_afx 
(-10, 47, -172), [2, 3, 0], 3.13.ak_bv_agq 
(-10, 47, -171), [2, 3, 1], 3.13.ak_bv_agp 
(-10, 47, -170), [2, 3, 2], 3.13.ak_bv_ago 
(-10, 47, -168), [2, 3, 0], 3.13.ak_bv_agm 
(-10, 47, -166), [2, 3, 2], 3.13.ak_bv_agk 
(-10, 48, -178), [2, 0, 2], 3.13.ak_bw_agw 
(-10, 48, -174), [2, 0, 2], 3.13.ak_bw_ags 
(-10, 48, -172), [2, 0, 0], 3.13.ak_bw_agq 
(-10, 49, -186), [2, 1, 2], 3.13.ak_bx_ahe 
(-10, 49, -184), [2, 1, 0], 3.13.ak_bx_ahc 
(-10, 49, -181), [2, 1, 3], 3.13.ak_bx_agz 
(-10, 49, -180), [2, 1, 0], 3.13.ak_bx_agy 
(-10, 49, -179), [2, 1, 1], 3.13.ak_bx_agx 
(-10, 49, -178), [2, 1, 2], 3.13.ak_bx_agw 
(-10, 49, -177), [2, 1, 3], 3.13.ak_bx_agv 
(-10, 50, -194), [2, 2, 2], 3.13.ak_by_ahm 
(-10, 50, -192), [2, 2, 0], 3.13.ak_by_ahk 
(-10, 50, -188), [2, 2, 0], 3.13.ak_by_ahg 
(-10, 50, -186), [2, 2, 2], 3.13.ak_by_ahe 
(-10, 50, -184), [2, 2, 0], 3.13.ak_by_ahc 
(-10, 51, -201), [2, 3, 3], 3.13.ak_bz_aht 
(-10, 51, -200), [2, 3, 0], 3.13.ak_bz_ahs 
(-10, 51, -199), [2, 3, 1], 3.13.ak_bz_ahr 
(-10, 51, -198), [2, 3, 2], 3.13.ak_bz_ahq 
(-10, 51, -196), [2, 3, 0], 3.13.ak_bz_aho 
(-10, 51, -194), [2, 3, 2], 3.13.ak_bz_ahm 
(-10, 51, -193), [2, 3, 3], 3.13.ak_bz_ahl 
(-10, 51, -192), [2, 3, 0], 3.13.ak_bz_ahk 
(-10, 51, -191), [2, 3, 1], 3.13.ak_bz_ahj 
(-10, 51, -190), [2, 3, 2], 3.13.ak_bz_ahi 
(-10, 51, -189), [2, 3, 3], 3.13.ak_bz_ahh 
(-10, 52, -206), [2, 0, 2], 3.13.ak_ca_ahy 
(-10, 52, -202), [2, 0, 2], 3.13.ak_ca_ahu 
(-10, 52, -198), [2, 0, 2], 3.13.ak_ca_ahq 
(-10, 52, -196), [2, 0, 0], 3.13.ak_ca_aho 
(-10, 53, -215), [2, 1, 1], 3.13.ak_cb_aih 
(-10, 53, -214), [2, 1, 2], 3.13.ak_cb_aig 
(-10, 53, -213), [2, 1, 3], 3.13.ak_cb_aif 
(-10, 53, -212), [2, 1, 0], 3.13.ak_cb_aie 
(-10, 53, -210), [2, 1, 2], 3.13.ak_cb_aic 
(-10, 53, -209), [2, 1, 3], 3.13.ak_cb_aib 
(-10, 53, -207), [2, 1, 1], 3.13.ak_cb_ahz 
(-10, 53, -206), [2, 1, 2], 3.13.ak_cb_ahy 
(-10, 53, -204), [2, 1, 0], 3.13.ak_cb_ahw 
(-10, 53, -203), [2, 1, 1], 3.13.ak_cb_ahv 
(-10, 53, -202), [2, 1, 2], 3.13.ak_cb_ahu 
(-10, 54, -222), [2, 2, 2], 3.13.ak_cc_aio 
(-10, 54, -220), [2, 2, 0], 3.13.ak_cc_aim 
(-10, 54, -216), [2, 2, 0], 3.13.ak_cc_aii 
(-10, 54, -214), [2, 2, 2], 3.13.ak_cc_aig 
(-10, 55, -230), [2, 3, 2], 3.13.ak_cd_aiw 
(-10, 55, -227), [2, 3, 1], 3.13.ak_cd_ait 
(-10, 55, -226), [2, 3, 2], 3.13.ak_cd_ais 
(-10, 55, -224), [2, 3, 0], 3.13.ak_cd_aiq 
(-10, 55, -223), [2, 3, 1], 3.13.ak_cd_aip 
(-10, 55, -222), [2, 3, 2], 3.13.ak_cd_aio 
(-10, 55, -220), [2, 3, 0], 3.13.ak_cd_aim 
(-10, 55, -219), [2, 3, 1], 3.13.ak_cd_ail 
(-10, 55, -218), [2, 3, 2], 3.13.ak_cd_aik 
(-10, 55, -217), [2, 3, 3], 3.13.ak_cd_aij 
(-10, 55, -216), [2, 3, 0], 3.13.ak_cd_aii 
(-10, 55, -214), [2, 3, 2], 3.13.ak_cd_aig 
(-10, 55, -213), [2, 3, 3], 3.13.ak_cd_aif 
(-10, 56, -236), [2, 0, 0], 3.13.ak_ce_ajc 
(-10, 56, -230), [2, 0, 2], 3.13.ak_ce_aiw 
(-10, 56, -228), [2, 0, 0], 3.13.ak_ce_aiu 
(-10, 56, -226), [2, 0, 2], 3.13.ak_ce_ais 
(-10, 56, -224), [2, 0, 0], 3.13.ak_ce_aiq 
(-10, 56, -222), [2, 0, 2], 3.13.ak_ce_aio 
(-10, 57, -244), [2, 1, 0], 3.13.ak_cf_ajk 
(-10, 57, -243), [2, 1, 1], 3.13.ak_cf_ajj 
(-10, 57, -242), [2, 1, 2], 3.13.ak_cf_aji 
(-10, 57, -240), [2, 1, 0], 3.13.ak_cf_ajg 
(-10, 57, -238), [2, 1, 2], 3.13.ak_cf_aje 
(-10, 57, -237), [2, 1, 3], 3.13.ak_cf_ajd 
(-10, 57, -235), [2, 1, 1], 3.13.ak_cf_ajb 
(-10, 57, -233), [2, 1, 3], 3.13.ak_cf_aiz 
(-10, 57, -232), [2, 1, 0], 3.13.ak_cf_aiy 
(-10, 57, -230), [2, 1, 2], 3.13.ak_cf_aiw 
(-10, 57, -229), [2, 1, 3], 3.13.ak_cf_aiv 
(-10, 57, -228), [2, 1, 0], 3.13.ak_cf_aiu 
(-10, 57, -227), [2, 1, 1], 3.13.ak_cf_ait 
(-10, 57, -226), [2, 1, 2], 3.13.ak_cf_ais 
(-10, 58, -250), [2, 2, 2], 3.13.ak_cg_ajq 
(-10, 58, -248), [2, 2, 0], 3.13.ak_cg_ajo 
(-10, 58, -242), [2, 2, 2], 3.13.ak_cg_aji 
(-10, 58, -238), [2, 2, 2], 3.13.ak_cg_aje 
(-10, 58, -236), [2, 2, 0], 3.13.ak_cg_ajc 
(-10, 58, -232), [2, 2, 0], 3.13.ak_cg_aiy 
(-10, 59, -259), [2, 3, 1], 3.13.ak_ch_ajz 
(-10, 59, -258), [2, 3, 2], 3.13.ak_ch_ajy 
(-10, 59, -256), [2, 3, 0], 3.13.ak_ch_ajw 
(-10, 59, -255), [2, 3, 1], 3.13.ak_ch_ajv 
(-10, 59, -254), [2, 3, 2], 3.13.ak_ch_aju 
(-10, 59, -252), [2, 3, 0], 3.13.ak_ch_ajs 
(-10, 59, -251), [2, 3, 1], 3.13.ak_ch_ajr 
(-10, 59, -250), [2, 3, 2], 3.13.ak_ch_ajq 
(-10, 59, -249), [2, 3, 3], 3.13.ak_ch_ajp 
(-10, 59, -248), [2, 3, 0], 3.13.ak_ch_ajo 
(-10, 59, -246), [2, 3, 2], 3.13.ak_ch_ajm 
(-10, 59, -243), [2, 3, 1], 3.13.ak_ch_ajj 
(-10, 59, -242), [2, 3, 2], 3.13.ak_ch_aji 
(-10, 59, -241), [2, 3, 3], 3.13.ak_ch_ajh 
(-10, 59, -240), [2, 3, 0], 3.13.ak_ch_ajg 
(-10, 59, -239), [2, 3, 1], 3.13.ak_ch_ajf 
(-10, 59, -238), [2, 3, 2], 3.13.ak_ch_aje 
(-10, 59, -237), [2, 3, 3], 3.13.ak_ch_ajd 
(-10, 60, -266), [2, 0, 2], 3.13.ak_ci_akg 
(-10, 60, -264), [2, 0, 0], 3.13.ak_ci_ake 
(-10, 60, -262), [2, 0, 2], 3.13.ak_ci_akc 
(-10, 60, -258), [2, 0, 2], 3.13.ak_ci_ajy 
(-10, 60, -256), [2, 0, 0], 3.13.ak_ci_ajw 
(-10, 60, -254), [2, 0, 2], 3.13.ak_ci_aju 
(-10, 60, -252), [2, 0, 0], 3.13.ak_ci_ajs 
(-10, 60, -250), [2, 0, 2], 3.13.ak_ci_ajq 
(-10, 60, -246), [2, 0, 2], 3.13.ak_ci_ajm 
(-10, 60, -244), [2, 0, 0], 3.13.ak_ci_ajk 
(-10, 61, -270), [2, 1, 2], 3.13.ak_cj_akk 
(-10, 61, -269), [2, 1, 3], 3.13.ak_cj_akj 
(-10, 61, -268), [2, 1, 0], 3.13.ak_cj_aki 
(-10, 61, -266), [2, 1, 2], 3.13.ak_cj_akg 
(-10, 61, -265), [2, 1, 3], 3.13.ak_cj_akf 
(-10, 61, -264), [2, 1, 0], 3.13.ak_cj_ake 
(-10, 61, -262), [2, 1, 2], 3.13.ak_cj_akc 
(-10, 61, -261), [2, 1, 3], 3.13.ak_cj_akb 
(-10, 61, -259), [2, 1, 1], 3.13.ak_cj_ajz 
(-10, 61, -258), [2, 1, 2], 3.13.ak_cj_ajy 
(-10, 61, -256), [2, 1, 0], 3.13.ak_cj_ajw 
(-10, 61, -255), [2, 1, 1], 3.13.ak_cj_ajv 
(-10, 61, -254), [2, 1, 2], 3.13.ak_cj_aju 
(-10, 61, -253), [2, 1, 3], 3.13.ak_cj_ajt 
(-10, 61, -251), [2, 1, 1], 3.13.ak_cj_ajr 
(-10, 61, -250), [2, 1, 2], 3.13.ak_cj_ajq 
(-10, 61, -249), [2, 1, 3], 3.13.ak_cj_ajp 
