(-13, 92, -449), [3, 0, 3], 3.17.an_do_arh 
(-13, 92, -445), [3, 0, 3], 3.17.an_do_ard 
(-13, 92, -443), [3, 0, 1], 3.17.an_do_arb 
(-13, 92, -441), [3, 0, 3], 3.17.an_do_aqz 
(-13, 92, -439), [3, 0, 1], 3.17.an_do_aqx 
(-13, 92, -437), [3, 0, 3], 3.17.an_do_aqv 
(-13, 93, -465), [3, 1, 3], 3.17.an_dp_arx 
(-13, 93, -464), [3, 1, 0], 3.17.an_dp_arw 
(-13, 94, -472), [3, 2, 0], 3.17.an_dq_ase 
(-13, 94, -471), [3, 2, 1], 3.17.an_dq_asd 
(-13, 94, -469), [3, 2, 3], 3.17.an_dq_asb 
(-13, 94, -468), [3, 2, 0], 3.17.an_dq_asa 
(-13, 94, -467), [3, 2, 1], 3.17.an_dq_arz 
(-13, 94, -465), [3, 2, 3], 3.17.an_dq_arx 
(-13, 94, -463), [3, 2, 1], 3.17.an_dq_arv 
(-13, 94, -462), [3, 2, 2], 3.17.an_dq_aru 
(-13, 94, -461), [3, 2, 3], 3.17.an_dq_art 
(-13, 94, -455), [3, 2, 1], 3.17.an_dq_arn 
(-13, 94, -453), [3, 2, 3], 3.17.an_dq_arl 
(-13, 94, -451), [3, 2, 1], 3.17.an_dq_arj 
(-13, 94, -450), [3, 2, 2], 3.17.an_dq_ari 
(-13, 94, -447), [3, 2, 1], 3.17.an_dq_arf 
(-13, 95, -480), [3, 3, 0], 3.17.an_dr_asm 
(-13, 96, -486), [3, 0, 2], 3.17.an_ds_ass 
(-13, 96, -485), [3, 0, 3], 3.17.an_ds_asr 
(-13, 96, -483), [3, 0, 1], 3.17.an_ds_asp 
(-13, 96, -481), [3, 0, 3], 3.17.an_ds_asn 
(-13, 96, -479), [3, 0, 1], 3.17.an_ds_asl 
(-13, 96, -477), [3, 0, 3], 3.17.an_ds_asj 
(-13, 96, -473), [3, 0, 3], 3.17.an_ds_asf 
(-13, 96, -471), [3, 0, 1], 3.17.an_ds_asd 
(-13, 96, -469), [3, 0, 3], 3.17.an_ds_asb 
(-13, 96, -465), [3, 0, 3], 3.17.an_ds_arx 
(-13, 96, -461), [3, 0, 3], 3.17.an_ds_art 
(-13, 98, -491), [3, 2, 1], 3.17.an_du_asx 
(-13, 98, -489), [3, 2, 3], 3.17.an_du_asv 
(-13, 98, -487), [3, 2, 1], 3.17.an_du_ast 
(-13, 98, -485), [3, 2, 3], 3.17.an_du_asr 
(-13, 98, -483), [3, 2, 1], 3.17.an_du_asp 
(-13, 98, -481), [3, 2, 3], 3.17.an_du_asn 
(-13, 98, -479), [3, 2, 1], 3.17.an_du_asl 
(-13, 98, -475), [3, 2, 1], 3.17.an_du_ash 
(-13, 98, -473), [3, 2, 3], 3.17.an_du_asf 
(-13, 100, -497), [3, 0, 3], 3.17.an_dw_atd 
(-13, 100, -495), [3, 0, 1], 3.17.an_dw_atb 
(-13, 100, -489), [3, 0, 3], 3.17.an_dw_asv 
(-13, 100, -485), [3, 0, 3], 3.17.an_dw_asr 
(-13, 102, -503), [3, 2, 1], 3.17.an_dy_atj 
(-13, 102, -501), [3, 2, 3], 3.17.an_dy_ath 
(-13, 102, -499), [3, 2, 1], 3.17.an_dy_atf 
(-13, 103, -504), [3, 3, 0], 3.17.an_dz_atk 
(-13, 103, -503), [3, 3, 1], 3.17.an_dz_atj 
(-13, 104, -509), [3, 0, 3], 3.17.an_ea_atp 
(-13, 105, -513), [3, 1, 3], 3.17.an_eb_att 
(-12, 53, -169), [0, 1, 3], 3.17.am_cb_agn 
(-12, 54, -177), [0, 2, 3], 3.17.am_cc_agv 
(-12, 55, -185), [0, 3, 3], 3.17.am_cd_ahd 
(-12, 56, -193), [0, 0, 3], 3.17.am_ce_ahl 
(-12, 57, -202), [0, 1, 2], 3.17.am_cf_ahu 
(-12, 58, -209), [0, 2, 3], 3.17.am_cg_aib 
(-12, 58, -207), [0, 2, 1], 3.17.am_cg_ahz 
(-12, 59, -217), [0, 3, 3], 3.17.am_ch_aij 
(-12, 59, -215), [0, 3, 1], 3.17.am_ch_aih 
(-12, 60, -225), [0, 0, 3], 3.17.am_ci_air 
(-12, 60, -223), [0, 0, 1], 3.17.am_ci_aip 
(-12, 62, -243), [0, 2, 1], 3.17.am_ck_ajj 
(-12, 62, -241), [0, 2, 3], 3.17.am_ck_ajh 
(-12, 62, -239), [0, 2, 1], 3.17.am_ck_ajf 
(-12, 63, -245), [0, 3, 3], 3.17.am_cl_ajl 
(-12, 64, -259), [0, 0, 1], 3.17.am_cm_ajz 
(-12, 64, -257), [0, 0, 3], 3.17.am_cm_ajx 
(-12, 64, -253), [0, 0, 3], 3.17.am_cm_ajt 
(-12, 66, -275), [0, 2, 1], 3.17.am_co_akp 
(-12, 66, -273), [0, 2, 3], 3.17.am_co_akn 
(-12, 66, -271), [0, 2, 1], 3.17.am_co_akl 
(-12, 66, -269), [0, 2, 3], 3.17.am_co_akj 
(-12, 68, -291), [0, 0, 1], 3.17.am_cq_alf 
(-12, 68, -287), [0, 0, 1], 3.17.am_cq_alb 
(-12, 68, -285), [0, 0, 3], 3.17.am_cq_akz 
(-12, 68, -283), [0, 0, 1], 3.17.am_cq_akx 
(-12, 69, -293), [0, 1, 3], 3.17.am_cr_alh 
(-12, 70, -309), [0, 2, 3], 3.17.am_cs_alx 
(-12, 70, -307), [0, 2, 1], 3.17.am_cs_alv 
(-12, 70, -305), [0, 2, 3], 3.17.am_cs_alt 
(-12, 70, -303), [0, 2, 1], 3.17.am_cs_alr 
(-12, 70, -301), [0, 2, 3], 3.17.am_cs_alp 
(-12, 70, -299), [0, 2, 1], 3.17.am_cs_aln 
(-12, 70, -297), [0, 2, 3], 3.17.am_cs_all 
(-12, 71, -317), [0, 3, 3], 3.17.am_ct_amf 
(-12, 72, -325), [0, 0, 3], 3.17.am_cu_amn 
(-12, 72, -324), [0, 0, 0], 3.17.am_cu_amm 
(-12, 72, -321), [0, 0, 3], 3.17.am_cu_amj 
(-12, 72, -319), [0, 0, 1], 3.17.am_cu_amh 
(-12, 72, -317), [0, 0, 3], 3.17.am_cu_amf 
(-12, 72, -315), [0, 0, 1], 3.17.am_cu_amd 
(-12, 72, -313), [0, 0, 3], 3.17.am_cu_amb 
(-12, 72, -311), [0, 0, 1], 3.17.am_cu_alz 
(-12, 74, -342), [0, 2, 2], 3.17.am_cw_ane 
(-12, 74, -341), [0, 2, 3], 3.17.am_cw_and 
(-12, 74, -339), [0, 2, 1], 3.17.am_cw_anb 
(-12, 74, -337), [0, 2, 3], 3.17.am_cw_amz 
(-12, 74, -335), [0, 2, 1], 3.17.am_cw_amx 
(-12, 74, -333), [0, 2, 3], 3.17.am_cw_amv 
(-12, 74, -331), [0, 2, 1], 3.17.am_cw_amt 
(-12, 74, -329), [0, 2, 3], 3.17.am_cw_amr 
(-12, 74, -327), [0, 2, 1], 3.17.am_cw_amp 
(-12, 74, -325), [0, 2, 3], 3.17.am_cw_amn 
(-12, 76, -356), [0, 0, 0], 3.17.am_cy_ans 
(-12, 76, -355), [0, 0, 1], 3.17.am_cy_anr 
(-12, 76, -353), [0, 0, 3], 3.17.am_cy_anp 
(-12, 76, -351), [0, 0, 1], 3.17.am_cy_ann 
(-12, 76, -349), [0, 0, 3], 3.17.am_cy_anl 
(-12, 76, -347), [0, 0, 1], 3.17.am_cy_anj 
(-12, 76, -345), [0, 0, 3], 3.17.am_cy_anh 
(-12, 76, -343), [0, 0, 1], 3.17.am_cy_anf 
(-12, 76, -341), [0, 0, 3], 3.17.am_cy_and 
(-12, 76, -339), [0, 0, 1], 3.17.am_cy_anb 
(-12, 78, -375), [0, 2, 1], 3.17.am_da_aol 
(-12, 78, -373), [0, 2, 3], 3.17.am_da_aoj 
(-12, 78, -371), [0, 2, 1], 3.17.am_da_aoh 
(-12, 78, -369), [0, 2, 3], 3.17.am_da_aof 
(-12, 78, -367), [0, 2, 1], 3.17.am_da_aod 
(-12, 78, -365), [0, 2, 3], 3.17.am_da_aob 
(-12, 78, -363), [0, 2, 1], 3.17.am_da_anz 
(-12, 78, -361), [0, 2, 3], 3.17.am_da_anx 
(-12, 78, -359), [0, 2, 1], 3.17.am_da_anv 
(-12, 78, -355), [0, 2, 1], 3.17.am_da_anr 
(-12, 78, -353), [0, 2, 3], 3.17.am_da_anp 
(-12, 78, -351), [0, 2, 1], 3.17.am_da_ann 
(-12, 80, -389), [0, 0, 3], 3.17.am_dc_aoz 
(-12, 80, -387), [0, 0, 1], 3.17.am_dc_aox 
(-12, 80, -385), [0, 0, 3], 3.17.am_dc_aov 
(-12, 80, -383), [0, 0, 1], 3.17.am_dc_aot 
(-12, 80, -381), [0, 0, 3], 3.17.am_dc_aor 
(-12, 80, -379), [0, 0, 1], 3.17.am_dc_aop 
(-12, 80, -377), [0, 0, 3], 3.17.am_dc_aon 
(-12, 80, -375), [0, 0, 1], 3.17.am_dc_aol 
(-12, 80, -373), [0, 0, 3], 3.17.am_dc_aoj 
(-12, 80, -371), [0, 0, 1], 3.17.am_dc_aoh 
