(-11, 73, -349), [5, 9, 3], 3.16.al_cv_anl 
(-11, 73, -347), [5, 9, 5], 3.16.al_cv_anj 
(-11, 73, -345), [5, 9, 7], 3.16.al_cv_anh 
(-11, 73, -343), [5, 9, 9], 3.16.al_cv_anf 
(-11, 73, -341), [5, 9, 11], 3.16.al_cv_and 
(-11, 73, -339), [5, 9, 13], 3.16.al_cv_anb 
(-11, 73, -337), [5, 9, 15], 3.16.al_cv_amz 
(-11, 73, -335), [5, 9, 1], 3.16.al_cv_amx 
(-11, 73, -333), [5, 9, 3], 3.16.al_cv_amv 
(-11, 73, -329), [5, 9, 7], 3.16.al_cv_amr 
(-11, 73, -325), [5, 9, 11], 3.16.al_cv_amn 
(-11, 73, -323), [5, 9, 13], 3.16.al_cv_aml 
(-11, 75, -367), [5, 11, 1], 3.16.al_cx_aod 
(-11, 75, -365), [5, 11, 3], 3.16.al_cx_aob 
(-11, 75, -359), [5, 11, 9], 3.16.al_cx_anv 
(-11, 75, -357), [5, 11, 11], 3.16.al_cx_ant 
(-11, 75, -355), [5, 11, 13], 3.16.al_cx_anr 
(-11, 75, -353), [5, 11, 15], 3.16.al_cx_anp 
(-11, 75, -351), [5, 11, 1], 3.16.al_cx_ann 
(-11, 75, -349), [5, 11, 3], 3.16.al_cx_anl 
(-11, 75, -347), [5, 11, 5], 3.16.al_cx_anj 
(-11, 75, -343), [5, 11, 9], 3.16.al_cx_anf 
(-11, 75, -341), [5, 11, 11], 3.16.al_cx_and 
(-11, 75, -339), [5, 11, 13], 3.16.al_cx_anb 
(-11, 75, -335), [5, 11, 1], 3.16.al_cx_amx 
(-11, 77, -369), [5, 13, 15], 3.16.al_cz_aof 
(-11, 77, -365), [5, 13, 3], 3.16.al_cz_aob 
(-11, 77, -363), [5, 13, 5], 3.16.al_cz_anz 
(-11, 77, -361), [5, 13, 7], 3.16.al_cz_anx 
(-11, 77, -357), [5, 13, 11], 3.16.al_cz_ant 
(-11, 77, -355), [5, 13, 13], 3.16.al_cz_anr 
(-11, 77, -353), [5, 13, 15], 3.16.al_cz_anp 
(-11, 77, -351), [5, 13, 1], 3.16.al_cz_ann 
(-11, 77, -349), [5, 13, 3], 3.16.al_cz_anl 
(-11, 79, -377), [5, 15, 7], 3.16.al_db_aon 
(-11, 79, -375), [5, 15, 9], 3.16.al_db_aol 
(-11, 79, -371), [5, 15, 13], 3.16.al_db_aoh 
(-11, 79, -369), [5, 15, 15], 3.16.al_db_aof 
(-11, 79, -367), [5, 15, 1], 3.16.al_db_aod 
(-11, 79, -365), [5, 15, 3], 3.16.al_db_aob 
(-11, 79, -363), [5, 15, 5], 3.16.al_db_anz 
(-11, 79, -361), [5, 15, 7], 3.16.al_db_anx 
(-11, 79, -359), [5, 15, 9], 3.16.al_db_anv 
(-11, 81, -381), [5, 1, 3], 3.16.al_dd_aor 
(-11, 81, -377), [5, 1, 7], 3.16.al_dd_aon 
(-11, 81, -373), [5, 1, 11], 3.16.al_dd_aoj 
(-11, 81, -371), [5, 1, 13], 3.16.al_dd_aoh 
(-11, 83, -383), [5, 3, 1], 3.16.al_df_aot 
