(-13, 87, -407), [3, 3, 1], 3.17.an_dj_apr 
(-13, 87, -405), [3, 3, 3], 3.17.an_dj_app 
(-13, 87, -404), [3, 3, 0], 3.17.an_dj_apo 
(-13, 87, -403), [3, 3, 1], 3.17.an_dj_apn 
(-13, 87, -402), [3, 3, 2], 3.17.an_dj_apm 
(-13, 87, -401), [3, 3, 3], 3.17.an_dj_apl 
(-13, 88, -422), [3, 0, 2], 3.17.an_dk_aqg 
(-13, 88, -420), [3, 0, 0], 3.17.an_dk_aqe 
(-13, 88, -416), [3, 0, 0], 3.17.an_dk_aqa 
(-13, 88, -414), [3, 0, 2], 3.17.an_dk_apy 
(-13, 89, -431), [3, 1, 1], 3.17.an_dl_aqp 
(-13, 89, -430), [3, 1, 2], 3.17.an_dl_aqo 
(-13, 89, -429), [3, 1, 3], 3.17.an_dl_aqn 
(-13, 89, -428), [3, 1, 0], 3.17.an_dl_aqm 
(-13, 89, -427), [3, 1, 1], 3.17.an_dl_aql 
(-13, 89, -424), [3, 1, 0], 3.17.an_dl_aqi 
(-13, 89, -423), [3, 1, 1], 3.17.an_dl_aqh 
(-13, 89, -422), [3, 1, 2], 3.17.an_dl_aqg 
(-13, 89, -421), [3, 1, 3], 3.17.an_dl_aqf 
(-13, 89, -420), [3, 1, 0], 3.17.an_dl_aqe 
(-13, 89, -419), [3, 1, 1], 3.17.an_dl_aqd 
(-13, 89, -417), [3, 1, 3], 3.17.an_dl_aqb 
(-13, 89, -416), [3, 1, 0], 3.17.an_dl_aqa 
(-13, 89, -415), [3, 1, 1], 3.17.an_dl_apz 
(-13, 90, -440), [3, 2, 0], 3.17.an_dm_aqy 
(-13, 90, -438), [3, 2, 2], 3.17.an_dm_aqw 
(-13, 90, -436), [3, 2, 0], 3.17.an_dm_aqu 
(-13, 90, -432), [3, 2, 0], 3.17.an_dm_aqq 
(-13, 90, -430), [3, 2, 2], 3.17.an_dm_aqo 
(-13, 90, -428), [3, 2, 0], 3.17.an_dm_aqm 
(-13, 90, -426), [3, 2, 2], 3.17.an_dm_aqk 
(-13, 91, -448), [3, 3, 0], 3.17.an_dn_arg 
(-13, 91, -447), [3, 3, 1], 3.17.an_dn_arf 
(-13, 91, -446), [3, 3, 2], 3.17.an_dn_are 
(-13, 91, -445), [3, 3, 3], 3.17.an_dn_ard 
(-13, 91, -444), [3, 3, 0], 3.17.an_dn_arc 
(-13, 91, -443), [3, 3, 1], 3.17.an_dn_arb 
(-13, 91, -441), [3, 3, 3], 3.17.an_dn_aqz 
(-13, 91, -440), [3, 3, 0], 3.17.an_dn_aqy 
(-13, 91, -439), [3, 3, 1], 3.17.an_dn_aqx 
(-13, 91, -438), [3, 3, 2], 3.17.an_dn_aqw 
(-13, 91, -437), [3, 3, 3], 3.17.an_dn_aqv 
(-13, 91, -436), [3, 3, 0], 3.17.an_dn_aqu 
(-13, 91, -435), [3, 3, 1], 3.17.an_dn_aqt 
(-13, 91, -434), [3, 3, 2], 3.17.an_dn_aqs 
(-13, 91, -433), [3, 3, 3], 3.17.an_dn_aqr 
(-13, 91, -432), [3, 3, 0], 3.17.an_dn_aqq 
(-13, 91, -431), [3, 3, 1], 3.17.an_dn_aqp 
(-13, 91, -429), [3, 3, 3], 3.17.an_dn_aqn 
(-13, 92, -456), [3, 0, 0], 3.17.an_do_aro 
(-13, 92, -454), [3, 0, 2], 3.17.an_do_arm 
(-13, 92, -452), [3, 0, 0], 3.17.an_do_ark 
(-13, 92, -448), [3, 0, 0], 3.17.an_do_arg 
(-13, 92, -446), [3, 0, 2], 3.17.an_do_are 
(-13, 92, -444), [3, 0, 0], 3.17.an_do_arc 
(-13, 92, -440), [3, 0, 0], 3.17.an_do_aqy 
(-13, 92, -438), [3, 0, 2], 3.17.an_do_aqw 
(-13, 92, -434), [3, 0, 2], 3.17.an_do_aqs 
(-13, 93, -463), [3, 1, 1], 3.17.an_dp_arv 
(-13, 93, -462), [3, 1, 2], 3.17.an_dp_aru 
(-13, 93, -461), [3, 1, 3], 3.17.an_dp_art 
(-13, 93, -460), [3, 1, 0], 3.17.an_dp_ars 
(-13, 93, -457), [3, 1, 3], 3.17.an_dp_arp 
(-13, 93, -456), [3, 1, 0], 3.17.an_dp_aro 
(-13, 93, -455), [3, 1, 1], 3.17.an_dp_arn 
(-13, 93, -454), [3, 1, 2], 3.17.an_dp_arm 
(-13, 93, -453), [3, 1, 3], 3.17.an_dp_arl 
(-13, 93, -451), [3, 1, 1], 3.17.an_dp_arj 
(-13, 93, -450), [3, 1, 2], 3.17.an_dp_ari 
(-13, 93, -449), [3, 1, 3], 3.17.an_dp_arh 
(-13, 93, -448), [3, 1, 0], 3.17.an_dp_arg 
(-13, 93, -447), [3, 1, 1], 3.17.an_dp_arf 
(-13, 93, -446), [3, 1, 2], 3.17.an_dp_are 
(-13, 93, -445), [3, 1, 3], 3.17.an_dp_ard 
