(-16, 135, -717), [3, 2, 5], 3.19.aq_ff_abbp 
(-16, 136, -731), [3, 3, 10], 3.19.aq_fg_abcd 
(-16, 136, -729), [3, 3, 12], 3.19.aq_fg_abcb 
(-16, 136, -727), [3, 3, 14], 3.19.aq_fg_abbz 
(-16, 136, -725), [3, 3, 16], 3.19.aq_fg_abbx 
(-16, 136, -723), [3, 3, 18], 3.19.aq_fg_abbv 
(-16, 136, -721), [3, 3, 1], 3.19.aq_fg_abbt 
(-16, 137, -735), [3, 4, 6], 3.19.aq_fh_abch 
(-16, 137, -732), [3, 4, 9], 3.19.aq_fh_abce 
(-16, 137, -730), [3, 4, 11], 3.19.aq_fh_abcc 
(-16, 137, -729), [3, 4, 12], 3.19.aq_fh_abcb 
(-16, 138, -739), [3, 5, 2], 3.19.aq_fi_abcl 
(-16, 138, -737), [3, 5, 4], 3.19.aq_fi_abcj 
(-16, 138, -736), [3, 5, 5], 3.19.aq_fi_abci 
(-16, 138, -735), [3, 5, 6], 3.19.aq_fi_abch 
(-16, 140, -747), [3, 7, 13], 3.19.aq_fk_abct 
(-15, 94, -415), [4, 18, 3], 3.19.ap_dq_apz 
(-15, 96, -432), [4, 1, 5], 3.19.ap_ds_aqq 
(-15, 98, -449), [4, 3, 7], 3.19.ap_du_arh 
(-15, 100, -467), [4, 5, 8], 3.19.ap_dw_arz 
(-15, 101, -476), [4, 6, 18], 3.19.ap_dx_asi 
(-15, 102, -483), [4, 7, 11], 3.19.ap_dy_asp 
(-15, 104, -501), [4, 9, 12], 3.19.ap_ea_ath 
(-15, 104, -499), [4, 9, 14], 3.19.ap_ea_atf 
(-15, 105, -511), [4, 10, 2], 3.19.ap_eb_atr 
(-15, 105, -509), [4, 10, 4], 3.19.ap_eb_atp 
(-15, 106, -519), [4, 11, 13], 3.19.ap_ec_atz 
(-15, 106, -518), [4, 11, 14], 3.19.ap_ec_aty 
(-15, 106, -517), [4, 11, 15], 3.19.ap_ec_atx 
(-15, 106, -516), [4, 11, 16], 3.19.ap_ec_atw 
(-15, 106, -515), [4, 11, 17], 3.19.ap_ec_atv 
(-15, 108, -537), [4, 13, 14], 3.19.ap_ee_aur 
(-15, 108, -536), [4, 13, 15], 3.19.ap_ee_auq 
(-15, 108, -533), [4, 13, 18], 3.19.ap_ee_aun 
(-15, 108, -531), [4, 13, 1], 3.19.ap_ee_aul 
(-15, 110, -553), [4, 15, 17], 3.19.ap_eg_avh 
(-15, 110, -547), [4, 15, 4], 3.19.ap_eg_avb 
(-15, 111, -563), [4, 16, 7], 3.19.ap_eh_avr 
(-15, 111, -553), [4, 16, 17], 3.19.ap_eh_avh 
(-15, 112, -572), [4, 17, 17], 3.19.ap_ei_awa 
(-15, 112, -571), [4, 17, 18], 3.19.ap_ei_avz 
(-15, 112, -569), [4, 17, 1], 3.19.ap_ei_avx 
(-15, 112, -567), [4, 17, 3], 3.19.ap_ei_avv 
(-15, 112, -565), [4, 17, 5], 3.19.ap_ei_avt 
(-15, 112, -561), [4, 17, 9], 3.19.ap_ei_avp 
(-15, 113, -576), [4, 18, 13], 3.19.ap_ej_awe 
(-15, 114, -587), [4, 0, 2], 3.19.ap_ek_awp 
(-15, 114, -585), [4, 0, 4], 3.19.ap_ek_awn 
(-15, 114, -583), [4, 0, 6], 3.19.ap_ek_awl 
(-15, 114, -581), [4, 0, 8], 3.19.ap_ek_awj 
(-15, 114, -579), [4, 0, 10], 3.19.ap_ek_awh 
(-15, 114, -576), [4, 0, 13], 3.19.ap_ek_awe 
(-15, 115, -585), [4, 1, 4], 3.19.ap_el_awn 
(-15, 116, -605), [4, 2, 3], 3.19.ap_em_axh 
(-15, 116, -603), [4, 2, 5], 3.19.ap_em_axf 
(-15, 116, -601), [4, 2, 7], 3.19.ap_em_axd 
(-15, 116, -599), [4, 2, 9], 3.19.ap_em_axb 
(-15, 116, -597), [4, 2, 11], 3.19.ap_em_awz 
(-15, 116, -595), [4, 2, 13], 3.19.ap_em_awx 
(-15, 116, -593), [4, 2, 15], 3.19.ap_em_awv 
(-15, 118, -624), [4, 4, 3], 3.19.ap_eo_aya 
(-15, 118, -623), [4, 4, 4], 3.19.ap_eo_axz 
(-15, 118, -621), [4, 4, 6], 3.19.ap_eo_axx 
(-15, 118, -619), [4, 4, 8], 3.19.ap_eo_axv 
(-15, 118, -615), [4, 4, 12], 3.19.ap_eo_axr 
(-15, 118, -613), [4, 4, 14], 3.19.ap_eo_axp 
(-15, 118, -611), [4, 4, 16], 3.19.ap_eo_axn 
(-15, 118, -609), [4, 4, 18], 3.19.ap_eo_axl 
(-15, 118, -607), [4, 4, 1], 3.19.ap_eo_axj 
(-15, 119, -632), [4, 5, 14], 3.19.ap_ep_ayi 
(-15, 119, -629), [4, 5, 17], 3.19.ap_ep_ayf 
(-15, 119, -616), [4, 5, 11], 3.19.ap_ep_axs 
(-15, 120, -641), [4, 6, 5], 3.19.ap_eq_ayr 
(-15, 120, -639), [4, 6, 7], 3.19.ap_eq_ayp 
(-15, 120, -637), [4, 6, 9], 3.19.ap_eq_ayn 
