(-13, 100, -481), [3, 0, 3], 3.16.an_dw_asn 
(-13, 100, -479), [3, 0, 1], 3.16.an_dw_asl 
(-13, 100, -477), [3, 0, 3], 3.16.an_dw_asj 
(-13, 101, -483), [3, 1, 1], 3.16.an_dx_asp 
(-13, 102, -487), [3, 2, 1], 3.16.an_dy_ast 
(-12, 55, -183), [0, 3, 1], 3.16.am_cd_ahb 
(-12, 56, -191), [0, 0, 1], 3.16.am_ce_ahj 
(-12, 57, -199), [0, 1, 1], 3.16.am_cf_ahr 
(-12, 58, -207), [0, 2, 1], 3.16.am_cg_ahz 
(-12, 59, -215), [0, 3, 1], 3.16.am_ch_aih 
(-12, 60, -221), [0, 0, 3], 3.16.am_ci_ain 
(-12, 61, -231), [0, 1, 1], 3.16.am_cj_aix 
(-12, 61, -229), [0, 1, 3], 3.16.am_cj_aiv 
(-12, 63, -247), [0, 3, 1], 3.16.am_cl_ajn 
(-12, 63, -245), [0, 3, 3], 3.16.am_cl_ajl 
(-12, 65, -263), [0, 1, 1], 3.16.am_cn_akd 
(-12, 65, -261), [0, 1, 3], 3.16.am_cn_akb 
(-12, 65, -259), [0, 1, 1], 3.16.am_cn_ajz 
(-12, 67, -279), [0, 3, 1], 3.16.am_cp_akt 
(-12, 67, -277), [0, 3, 3], 3.16.am_cp_akr 
(-12, 67, -275), [0, 3, 1], 3.16.am_cp_akp 
(-12, 67, -273), [0, 3, 3], 3.16.am_cp_akn 
(-12, 69, -295), [0, 1, 1], 3.16.am_cr_alj 
(-12, 69, -293), [0, 1, 3], 3.16.am_cr_alh 
(-12, 69, -291), [0, 1, 1], 3.16.am_cr_alf 
(-12, 69, -289), [0, 1, 3], 3.16.am_cr_ald 
(-12, 69, -287), [0, 1, 1], 3.16.am_cr_alb 
(-12, 71, -311), [0, 3, 1], 3.16.am_ct_alz 
(-12, 71, -309), [0, 3, 3], 3.16.am_ct_alx 
(-12, 71, -307), [0, 3, 1], 3.16.am_ct_alv 
(-12, 71, -305), [0, 3, 3], 3.16.am_ct_alt 
(-12, 71, -303), [0, 3, 1], 3.16.am_ct_alr 
(-12, 71, -301), [0, 3, 3], 3.16.am_ct_alp 
(-12, 73, -327), [0, 1, 1], 3.16.am_cv_amp 
(-12, 73, -325), [0, 1, 3], 3.16.am_cv_amn 
(-12, 73, -323), [0, 1, 1], 3.16.am_cv_aml 
(-12, 73, -321), [0, 1, 3], 3.16.am_cv_amj 
(-12, 73, -319), [0, 1, 1], 3.16.am_cv_amh 
(-12, 73, -317), [0, 1, 3], 3.16.am_cv_amf 
(-12, 73, -315), [0, 1, 1], 3.16.am_cv_amd 
(-12, 74, -335), [0, 2, 1], 3.16.am_cw_amx 
(-12, 75, -343), [0, 3, 1], 3.16.am_cx_anf 
(-12, 75, -341), [0, 3, 3], 3.16.am_cx_and 
(-12, 75, -339), [0, 3, 1], 3.16.am_cx_anb 
(-12, 75, -337), [0, 3, 3], 3.16.am_cx_amz 
(-12, 75, -335), [0, 3, 1], 3.16.am_cx_amx 
(-12, 75, -333), [0, 3, 3], 3.16.am_cx_amv 
(-12, 75, -331), [0, 3, 1], 3.16.am_cx_amt 
(-12, 75, -329), [0, 3, 3], 3.16.am_cx_amr 
(-12, 75, -327), [0, 3, 1], 3.16.am_cx_amp 
(-12, 77, -359), [0, 1, 1], 3.16.am_cz_anv 
(-12, 77, -357), [0, 1, 3], 3.16.am_cz_ant 
(-12, 77, -355), [0, 1, 1], 3.16.am_cz_anr 
(-12, 77, -353), [0, 1, 3], 3.16.am_cz_anp 
(-12, 77, -351), [0, 1, 1], 3.16.am_cz_ann 
(-12, 77, -349), [0, 1, 3], 3.16.am_cz_anl 
(-12, 77, -347), [0, 1, 1], 3.16.am_cz_anj 
(-12, 77, -345), [0, 1, 3], 3.16.am_cz_anh 
(-12, 77, -343), [0, 1, 1], 3.16.am_cz_anf 
(-12, 77, -341), [0, 1, 3], 3.16.am_cz_and 
(-12, 78, -347), [0, 2, 1], 3.16.am_da_anj 
(-12, 79, -375), [0, 3, 1], 3.16.am_db_aol 
(-12, 79, -373), [0, 3, 3], 3.16.am_db_aoj 
(-12, 79, -371), [0, 3, 1], 3.16.am_db_aoh 
(-12, 79, -369), [0, 3, 3], 3.16.am_db_aof 
(-12, 79, -367), [0, 3, 1], 3.16.am_db_aod 
(-12, 79, -365), [0, 3, 3], 3.16.am_db_aob 
(-12, 79, -363), [0, 3, 1], 3.16.am_db_anz 
(-12, 79, -361), [0, 3, 3], 3.16.am_db_anx 
(-12, 79, -359), [0, 3, 1], 3.16.am_db_anv 
(-12, 79, -357), [0, 3, 3], 3.16.am_db_ant 
(-12, 79, -355), [0, 3, 1], 3.16.am_db_anr 
(-12, 81, -391), [0, 1, 1], 3.16.am_dd_apb 
(-12, 81, -389), [0, 1, 3], 3.16.am_dd_aoz 
(-12, 81, -387), [0, 1, 1], 3.16.am_dd_aox 
(-12, 81, -385), [0, 1, 3], 3.16.am_dd_aov 
(-12, 81, -383), [0, 1, 1], 3.16.am_dd_aot 
(-12, 81, -381), [0, 1, 3], 3.16.am_dd_aor 
(-12, 81, -379), [0, 1, 1], 3.16.am_dd_aop 
(-12, 81, -377), [0, 1, 3], 3.16.am_dd_aon 
(-12, 81, -375), [0, 1, 1], 3.16.am_dd_aol 
(-12, 81, -373), [0, 1, 3], 3.16.am_dd_aoj 
(-12, 81, -371), [0, 1, 1], 3.16.am_dd_aoh 
(-12, 81, -369), [0, 1, 3], 3.16.am_dd_aof 
(-12, 81, -367), [0, 1, 1], 3.16.am_dd_aod 
(-12, 83, -407), [0, 3, 1], 3.16.am_df_apr 
(-12, 83, -405), [0, 3, 3], 3.16.am_df_app 
(-12, 83, -403), [0, 3, 1], 3.16.am_df_apn 
(-12, 83, -401), [0, 3, 3], 3.16.am_df_apl 
(-12, 83, -399), [0, 3, 1], 3.16.am_df_apj 
(-12, 83, -397), [0, 3, 3], 3.16.am_df_aph 
(-12, 83, -395), [0, 3, 1], 3.16.am_df_apf 
(-12, 83, -393), [0, 3, 3], 3.16.am_df_apd 
(-12, 83, -391), [0, 3, 1], 3.16.am_df_apb 
(-12, 83, -389), [0, 3, 3], 3.16.am_df_aoz 
(-12, 83, -387), [0, 3, 1], 3.16.am_df_aox 
(-12, 83, -385), [0, 3, 3], 3.16.am_df_aov 
(-12, 83, -383), [0, 3, 1], 3.16.am_df_aot 
(-12, 83, -381), [0, 3, 3], 3.16.am_df_aor 
(-12, 83, -379), [0, 3, 1], 3.16.am_df_aop 
(-12, 84, -413), [0, 0, 3], 3.16.am_dg_apx 
(-12, 84, -385), [0, 0, 3], 3.16.am_dg_aov 
(-12, 85, -417), [0, 1, 3], 3.16.am_dh_aqb 
(-12, 85, -415), [0, 1, 1], 3.16.am_dh_apz 
(-12, 85, -413), [0, 1, 3], 3.16.am_dh_apx 
(-12, 85, -411), [0, 1, 1], 3.16.am_dh_apv 
(-12, 85, -409), [0, 1, 3], 3.16.am_dh_apt 
(-12, 85, -407), [0, 1, 1], 3.16.am_dh_apr 
(-12, 85, -405), [0, 1, 3], 3.16.am_dh_app 
(-12, 85, -403), [0, 1, 1], 3.16.am_dh_apn 
(-12, 85, -401), [0, 1, 3], 3.16.am_dh_apl 
(-12, 85, -399), [0, 1, 1], 3.16.am_dh_apj 
(-12, 85, -397), [0, 1, 3], 3.16.am_dh_aph 
(-12, 85, -395), [0, 1, 1], 3.16.am_dh_apf 
(-12, 85, -393), [0, 1, 3], 3.16.am_dh_apd 
(-12, 85, -391), [0, 1, 1], 3.16.am_dh_apb 
(-12, 86, -415), [0, 2, 1], 3.16.am_di_apz 
(-12, 87, -421), [0, 3, 3], 3.16.am_dj_aqf 
(-12, 87, -419), [0, 3, 1], 3.16.am_dj_aqd 
(-12, 87, -417), [0, 3, 3], 3.16.am_dj_aqb 
(-12, 87, -415), [0, 3, 1], 3.16.am_dj_apz 
(-12, 87, -413), [0, 3, 3], 3.16.am_dj_apx 
(-12, 87, -411), [0, 3, 1], 3.16.am_dj_apv 
(-12, 87, -409), [0, 3, 3], 3.16.am_dj_apt 
