(-6, 25, -94), [2, 1, 2], 3.9.ag_z_adq 
(-6, 25, -92), [2, 1, 0], 3.9.ag_z_ado 
(-6, 25, -91), [2, 1, 1], 3.9.ag_z_adn 
(-6, 25, -89), [2, 1, 3], 3.9.ag_z_adl 
(-6, 25, -86), [2, 1, 2], 3.9.ag_z_adi 
(-6, 25, -85), [2, 1, 3], 3.9.ag_z_adh 
(-6, 25, -83), [2, 1, 1], 3.9.ag_z_adf 
(-6, 25, -82), [2, 1, 2], 3.9.ag_z_ade 
(-6, 25, -79), [2, 1, 1], 3.9.ag_z_adb 
(-6, 25, -77), [2, 1, 3], 3.9.ag_z_acz 
(-6, 25, -76), [2, 1, 0], 3.9.ag_z_acy 
(-6, 25, -74), [2, 1, 2], 3.9.ag_z_acw 
(-6, 25, -71), [2, 1, 1], 3.9.ag_z_act 
(-6, 25, -70), [2, 1, 2], 3.9.ag_z_acs 
(-6, 26, -100), [2, 2, 0], 3.9.ag_ba_adw 
(-6, 26, -98), [2, 2, 2], 3.9.ag_ba_adu 
(-6, 26, -94), [2, 2, 2], 3.9.ag_ba_adq 
(-6, 26, -92), [2, 2, 0], 3.9.ag_ba_ado 
(-6, 26, -88), [2, 2, 0], 3.9.ag_ba_adk 
(-6, 26, -86), [2, 2, 2], 3.9.ag_ba_adi 
(-6, 26, -82), [2, 2, 2], 3.9.ag_ba_ade 
(-6, 26, -80), [2, 2, 0], 3.9.ag_ba_adc 
(-6, 26, -76), [2, 2, 0], 3.9.ag_ba_acy 
(-6, 26, -74), [2, 2, 2], 3.9.ag_ba_acw 
(-6, 27, -107), [2, 3, 1], 3.9.ag_bb_aed 
(-6, 27, -104), [2, 3, 0], 3.9.ag_bb_aea 
(-6, 27, -100), [2, 3, 0], 3.9.ag_bb_adw 
(-6, 27, -98), [2, 3, 2], 3.9.ag_bb_adu 
(-6, 27, -97), [2, 3, 3], 3.9.ag_bb_adt 
(-6, 27, -95), [2, 3, 1], 3.9.ag_bb_adr 
(-6, 27, -94), [2, 3, 2], 3.9.ag_bb_adq 
(-6, 27, -91), [2, 3, 1], 3.9.ag_bb_adn 
(-6, 27, -89), [2, 3, 3], 3.9.ag_bb_adl 
(-6, 27, -88), [2, 3, 0], 3.9.ag_bb_adk 
(-6, 27, -86), [2, 3, 2], 3.9.ag_bb_adi 
(-6, 27, -85), [2, 3, 3], 3.9.ag_bb_adh 
(-6, 27, -82), [2, 3, 2], 3.9.ag_bb_ade 
(-6, 27, -80), [2, 3, 0], 3.9.ag_bb_adc 
(-6, 27, -79), [2, 3, 1], 3.9.ag_bb_adb 
(-6, 27, -77), [2, 3, 3], 3.9.ag_bb_acz 
(-6, 28, -106), [2, 0, 2], 3.9.ag_bc_aec 
(-6, 28, -98), [2, 0, 2], 3.9.ag_bc_adu 
(-6, 28, -92), [2, 0, 0], 3.9.ag_bc_ado 
(-6, 28, -86), [2, 0, 2], 3.9.ag_bc_adi 
(-6, 28, -82), [2, 0, 2], 3.9.ag_bc_ade 
(-6, 29, -106), [2, 1, 2], 3.9.ag_bd_aec 
(-6, 29, -104), [2, 1, 0], 3.9.ag_bd_aea 
(-6, 29, -101), [2, 1, 3], 3.9.ag_bd_adx 
(-6, 29, -100), [2, 1, 0], 3.9.ag_bd_adw 
(-6, 29, -98), [2, 1, 2], 3.9.ag_bd_adu 
