(0, 2, -11), [0, 2, 1], 3.5.a_c_al 
(0, 2, -9), [0, 2, 3], 3.5.a_c_aj 
(0, 2, -7), [0, 2, 1], 3.5.a_c_ah 
(0, 2, -3), [0, 2, 1], 3.5.a_c_ad 
(0, 2, -1), [0, 2, 3], 3.5.a_c_ab 
(0, 2, 1), [0, 2, 1], 3.5.a_c_b 
(0, 2, 3), [0, 2, 3], 3.5.a_c_d 
(0, 2, 7), [0, 2, 3], 3.5.a_c_h 
(0, 2, 9), [0, 2, 1], 3.5.a_c_j 
(0, 2, 11), [0, 2, 3], 3.5.a_c_l 
(0, 2, 13), [0, 2, 1], 3.5.a_c_n 
(0, 2, 17), [0, 2, 1], 3.5.a_c_r 
(0, 3, -13), [0, 3, 3], 3.5.a_d_an 
(0, 3, 13), [0, 3, 1], 3.5.a_d_n 
(0, 4, -13), [0, 0, 3], 3.5.a_e_an 
(0, 4, -11), [0, 0, 1], 3.5.a_e_al 
(0, 4, -9), [0, 0, 3], 3.5.a_e_aj 
(0, 4, -8), [0, 0, 0], 3.5.a_e_ai 
(0, 4, -7), [0, 0, 1], 3.5.a_e_ah 
(0, 4, -3), [0, 0, 1], 3.5.a_e_ad 
(0, 4, -1), [0, 0, 3], 3.5.a_e_ab 
(0, 4, 1), [0, 0, 1], 3.5.a_e_b 
(0, 4, 3), [0, 0, 3], 3.5.a_e_d 
(0, 4, 7), [0, 0, 3], 3.5.a_e_h 
(0, 4, 8), [0, 0, 0], 3.5.a_e_i 
(0, 4, 9), [0, 0, 1], 3.5.a_e_j 
(0, 4, 11), [0, 0, 3], 3.5.a_e_l 
(0, 4, 13), [0, 0, 1], 3.5.a_e_n 
(0, 6, -9), [0, 2, 3], 3.5.a_g_aj 
(0, 6, -7), [0, 2, 1], 3.5.a_g_ah 
(0, 6, -3), [0, 2, 1], 3.5.a_g_ad 
(0, 6, -1), [0, 2, 3], 3.5.a_g_ab 
(0, 6, 1), [0, 2, 1], 3.5.a_g_b 
(0, 6, 3), [0, 2, 3], 3.5.a_g_d 
(0, 6, 7), [0, 2, 3], 3.5.a_g_h 
(0, 6, 9), [0, 2, 1], 3.5.a_g_j 
(0, 8, -7), [0, 0, 1], 3.5.a_i_ah 
(0, 8, -3), [0, 0, 1], 3.5.a_i_ad 
(0, 8, -1), [0, 0, 3], 3.5.a_i_ab 
(0, 8, 1), [0, 0, 1], 3.5.a_i_b 
(0, 8, 3), [0, 0, 3], 3.5.a_i_d 
(0, 8, 7), [0, 0, 3], 3.5.a_i_h 
(0, 10, -3), [0, 2, 1], 3.5.a_k_ad 
(0, 10, -1), [0, 2, 3], 3.5.a_k_ab 
(0, 10, 1), [0, 2, 1], 3.5.a_k_b 
(0, 10, 3), [0, 2, 3], 3.5.a_k_d 
(0, 12, -1), [0, 0, 3], 3.5.a_m_ab 
(0, 12, 1), [0, 0, 1], 3.5.a_m_b 
(1, -4, -14), [1, 0, 2], 3.5.b_ae_ao 
(1, -4, -13), [1, 0, 3], 3.5.b_ae_an 
(1, -4, -11), [1, 0, 1], 3.5.b_ae_al 
(1, -4, -7), [1, 0, 1], 3.5.b_ae_ah 
(1, -4, -6), [1, 0, 2], 3.5.b_ae_ag 
(1, -3, -16), [1, 1, 0], 3.5.b_ad_aq 
(1, -3, -9), [1, 1, 3], 3.5.b_ad_aj 
(1, -2, -22), [1, 2, 2], 3.5.b_ac_aw 
(1, -2, -21), [1, 2, 3], 3.5.b_ac_av 
(1, -2, -19), [1, 2, 1], 3.5.b_ac_at 
(1, -2, -18), [1, 2, 2], 3.5.b_ac_as 
(1, -2, -17), [1, 2, 3], 3.5.b_ac_ar 
(1, -2, -13), [1, 2, 3], 3.5.b_ac_an 
(1, -2, -11), [1, 2, 1], 3.5.b_ac_al 
(1, -2, -9), [1, 2, 3], 3.5.b_ac_aj 
(1, -2, -3), [1, 2, 1], 3.5.b_ac_ad 
(1, -2, -1), [1, 2, 3], 3.5.b_ac_ab 
(1, -2, 1), [1, 2, 1], 3.5.b_ac_b 
(1, -2, 2), [1, 2, 2], 3.5.b_ac_c 
(1, -2, 3), [1, 2, 3], 3.5.b_ac_d 
(1, -1, -12), [1, 3, 0], 3.5.b_ab_am 
(1, 0, -13), [1, 0, 3], 3.5.b_a_an 
(1, 0, -11), [1, 0, 1], 3.5.b_a_al 
(1, 0, -9), [1, 0, 3], 3.5.b_a_aj 
(1, 0, -7), [1, 0, 1], 3.5.b_a_ah 
(1, 0, -3), [1, 0, 1], 3.5.b_a_ad 
(1, 0, -1), [1, 0, 3], 3.5.b_a_ab 
(1, 0, 1), [1, 0, 1], 3.5.b_a_b 
(1, 0, 3), [1, 0, 3], 3.5.b_a_d 
(1, 0, 7), [1, 0, 3], 3.5.b_a_h 
(1, 0, 9), [1, 0, 1], 3.5.b_a_j 
(1, 0, 11), [1, 0, 3], 3.5.b_a_l 
(1, 0, 12), [1, 0, 0], 3.5.b_a_m 
(1, 1, -12), [1, 1, 0], 3.5.b_b_am 
(1, 2, -13), [1, 2, 3], 3.5.b_c_an 
(1, 2, -9), [1, 2, 3], 3.5.b_c_aj 
(1, 2, -7), [1, 2, 1], 3.5.b_c_ah 
(1, 2, -1), [1, 2, 3], 3.5.b_c_ab 
