(-4, 2, -17), [0, 2, 3], 3.17.ac_ai_fg 
(-6, 4, 0), [2, 0, 0], 3.17.ac_ah_fg 
(-3, 1, -17), [1, 1, 3], 3.17.ac_ad_dh 
(-7, 5, 17), [1, 1, 1], 3.17.ac_ab_bz 
(0, -2, -16), [0, 2, 0], 3.17.ac_b_acq 
(-1, -1, -17), [3, 3, 3], 3.17.ac_b_ar 
(0, -2, -15), [0, 2, 1], 3.17.ac_c_acq 
(-5, 3, 0), [3, 3, 0], 3.17.ac_c_dy 
(0, -2, -13), [0, 2, 3], 3.17.ac_e_acq 
(0, -2, -12), [0, 2, 0], 3.17.ac_f_acq 
(7, -9, 51), [3, 3, 3], 3.17.ac_f_bz 
(0, -2, -11), [0, 2, 1], 3.17.ac_g_acq 
(0, -2, -10), [0, 2, 2], 3.17.ac_h_acq 
(0, -2, -9), [0, 2, 3], 3.17.ac_i_acq 
(2, -4, 0), [2, 0, 0], 3.17.ac_j_afg 
(0, -2, -8), [0, 2, 0], 3.17.ac_j_acq 
(-4, 2, 0), [0, 2, 0], 3.17.ac_j_cq 
(4, -6, 17), [0, 2, 1], 3.17.ac_k_afg 
(0, -2, -7), [0, 2, 1], 3.17.ac_k_acq 
(-6, 4, 17), [2, 0, 1], 3.17.ac_k_bi 
(0, -2, -6), [0, 2, 2], 3.17.ac_l_acq 
(0, -2, -5), [0, 2, 3], 3.17.ac_m_acq 
(0, -2, -4), [0, 2, 0], 3.17.ac_n_acq 
(1, -3, 0), [1, 1, 0], 3.17.ac_o_ady 
(0, -2, -3), [0, 2, 1], 3.17.ac_o_acq 
(-3, 1, 0), [1, 1, 0], 3.17.ac_o_bi 
(0, -2, -2), [0, 2, 2], 3.17.ac_p_acq 
(0, -2, 1), [0, 2, 1], 3.17.ac_s_acq 
(-1, -1, 0), [3, 3, 0], 3.17.ac_s_abi 
(3, -5, 17), [3, 3, 1], 3.17.ac_t_aep 
(0, -2, 2), [0, 2, 2], 3.17.ac_t_acq 
(-5, 3, 17), [3, 3, 1], 3.17.ac_t_r 
(0, -2, 3), [0, 2, 3], 3.17.ac_u_acq 
(0, -2, 4), [0, 2, 0], 3.17.ac_v_acq 
(0, -2, 5), [0, 2, 1], 3.17.ac_w_acq 
(0, -2, 6), [0, 2, 2], 3.17.ac_x_acq 
(0, -2, 7), [0, 2, 3], 3.17.ac_y_acq 
(0, -2, 8), [0, 2, 0], 3.17.ac_z_acq 
(2, -4, 17), [2, 0, 1], 3.17.ac_ba_ady 
(0, -2, 9), [0, 2, 1], 3.17.ac_ba_acq 
(-4, 2, 17), [0, 2, 1], 3.17.ac_ba_a 
(0, -2, 11), [0, 2, 3], 3.17.ac_bc_acq 
(0, -2, 12), [0, 2, 0], 3.17.ac_bd_acq 
(0, -2, 13), [0, 2, 1], 3.17.ac_be_acq 
(1, -3, 17), [1, 1, 1], 3.17.ac_bf_adh 
(0, -2, 14), [0, 2, 2], 3.17.ac_bf_acq 
(-3, 1, 17), [1, 1, 1], 3.17.ac_bf_ar 
(0, -2, 15), [0, 2, 3], 3.17.ac_bg_acq 
(0, -2, 16), [0, 2, 0], 3.17.ac_bh_acq 
(0, -2, 18), [0, 2, 2], 3.17.ac_bj_acq 
(-1, -1, 17), [3, 3, 1], 3.17.ac_bj_abz 
(0, -2, 20), [0, 2, 0], 3.17.ac_bl_acq 
(0, -2, 21), [0, 2, 1], 3.17.ac_bm_acq 
(0, -2, 22), [0, 2, 2], 3.17.ac_bn_acq 
(0, -2, 23), [0, 2, 3], 3.17.ac_bo_acq 
(0, -2, 24), [0, 2, 0], 3.17.ac_bp_acq 
(0, -2, 25), [0, 2, 1], 3.17.ac_bq_acq 
(0, -2, 27), [0, 2, 3], 3.17.ac_bs_acq 
(0, -2, 28), [0, 2, 0], 3.17.ac_bt_acq 
(0, -2, 29), [0, 2, 1], 3.17.ac_bu_acq 
(0, -2, 30), [0, 2, 2], 3.17.ac_bv_acq 
(0, -2, 32), [0, 2, 0], 3.17.ac_bx_acq 
(0, -1, -25), [0, 3, 3], 3.17.ab_ai_abi 
(0, -1, -24), [0, 3, 0], 3.17.ab_ah_abi 
(0, -1, -23), [0, 3, 1], 3.17.ab_ag_abi 
(0, -1, -21), [0, 3, 3], 3.17.ab_ae_abi 
(8, -9, 51), [0, 3, 3], 3.17.ab_ae_dy 
(0, -1, -20), [0, 3, 0], 3.17.ab_ad_abi 
(0, -1, -19), [0, 3, 1], 3.17.ab_ac_abi 
(-2, 1, -17), [2, 1, 3], 3.17.ab_ac_cq 
(0, -1, -18), [0, 3, 2], 3.17.ab_ab_abi 
(0, -1, -16), [0, 3, 0], 3.17.ab_b_abi 
(0, -1, -15), [0, 3, 1], 3.17.ab_c_abi 
(0, -1, -14), [0, 3, 2], 3.17.ab_d_abi 
(0, -1, -13), [0, 3, 3], 3.17.ab_e_abi 
(-6, 5, 17), [2, 1, 1], 3.17.ab_e_cq 
(3, -4, 0), [3, 0, 0], 3.17.ab_f_afg 
(0, -1, -12), [0, 3, 0], 3.17.ab_f_abi 
(-4, 3, 0), [0, 3, 0], 3.17.ab_f_dy 
(0, -1, -11), [0, 3, 1], 3.17.ab_g_abi 
(0, -1, -10), [0, 3, 2], 3.17.ab_h_abi 
(0, -1, -9), [0, 3, 3], 3.17.ab_i_abi 
(0, -1, -7), [0, 3, 1], 3.17.ab_k_abi 
(2, -3, 0), [2, 1, 0], 3.17.ab_l_ady 
(0, -1, -6), [0, 3, 2], 3.17.ab_l_abi 
(-3, 2, 0), [1, 2, 0], 3.17.ab_l_cq 
(0, -1, -5), [0, 3, 3], 3.17.ab_m_abi 
(0, -1, -4), [0, 3, 0], 3.17.ab_n_abi 
(4, -5, 17), [0, 3, 1], 3.17.ab_o_ady 
(0, -1, -3), [0, 3, 1], 3.17.ab_o_abi 
(1, -2, 0), [1, 2, 0], 3.17.ab_p_acq 
(0, -1, -2), [0, 3, 2], 3.17.ab_p_abi 
(-2, 1, 0), [2, 1, 0], 3.17.ab_p_bi 
(0, -1, -1), [0, 3, 3], 3.17.ab_q_abi 
(0, -1, 1), [0, 3, 1], 3.17.ab_s_abi 
(0, -1, 2), [0, 3, 2], 3.17.ab_t_abi 
(0, -1, 3), [0, 3, 3], 3.17.ab_u_abi 
(0, -1, 5), [0, 3, 1], 3.17.ab_w_abi 
(-4, 3, 17), [0, 3, 1], 3.17.ab_w_bi 
(0, -1, 6), [0, 3, 2], 3.17.ab_x_abi 
(0, -1, 7), [0, 3, 3], 3.17.ab_y_abi 
(0, -1, 8), [0, 3, 0], 3.17.ab_z_abi 
(0, -1, 9), [0, 3, 1], 3.17.ab_ba_abi 
(0, -1, 10), [0, 3, 2], 3.17.ab_bb_abi 
(2, -3, 17), [2, 1, 1], 3.17.ab_bc_acq 
(0, -1, 11), [0, 3, 3], 3.17.ab_bc_abi 
(0, -1, 12), [0, 3, 0], 3.17.ab_bd_abi 
(0, -1, 13), [0, 3, 1], 3.17.ab_be_abi 
(0, -1, 15), [0, 3, 3], 3.17.ab_bg_abi 
(-2, 1, 17), [2, 1, 1], 3.17.ab_bg_a 
(0, -1, 16), [0, 3, 0], 3.17.ab_bh_abi 
(0, -1, 18), [0, 3, 2], 3.17.ab_bj_abi 
(0, -1, 19), [0, 3, 3], 3.17.ab_bk_abi 
(0, -1, 20), [0, 3, 0], 3.17.ab_bl_abi 
(0, -1, 21), [0, 3, 1], 3.17.ab_bm_abi 
(0, -1, 23), [0, 3, 3], 3.17.ab_bo_abi 
(0, -1, 24), [0, 3, 0], 3.17.ab_bp_abi 
(0, -1, 25), [0, 3, 1], 3.17.ab_bq_abi 
(0, -1, 26), [0, 3, 2], 3.17.ab_br_abi 
