(0, -2, 12), [0, 2, 0], 3.19.ac_bf_acy 
(0, -2, 13), [0, 2, 1], 3.19.ac_bg_acy 
(0, -2, 15), [0, 2, 3], 3.19.ac_bi_acy 
(1, -3, 19), [1, 1, 3], 3.19.ac_bj_adr 
(0, -2, 16), [0, 2, 0], 3.19.ac_bj_acy 
(-3, 1, 19), [1, 1, 3], 3.19.ac_bj_at 
(0, -2, 17), [0, 2, 1], 3.19.ac_bk_acy 
(0, -2, 18), [0, 2, 2], 3.19.ac_bl_acy 
(0, -2, 20), [0, 2, 0], 3.19.ac_bn_acy 
(-1, -1, 19), [3, 3, 3], 3.19.ac_bn_acf 
(0, -2, 21), [0, 2, 1], 3.19.ac_bo_acy 
(0, -2, 22), [0, 2, 2], 3.19.ac_bp_acy 
(0, -2, 24), [0, 2, 0], 3.19.ac_br_acy 
(0, -2, 25), [0, 2, 1], 3.19.ac_bs_acy 
(0, -2, 26), [0, 2, 2], 3.19.ac_bt_acy 
(0, -2, 27), [0, 2, 3], 3.19.ac_bu_acy 
(0, -2, 28), [0, 2, 0], 3.19.ac_bv_acy 
(0, -2, 29), [0, 2, 1], 3.19.ac_bw_acy 
(0, -2, 31), [0, 2, 3], 3.19.ac_by_acy 
(0, -2, 32), [0, 2, 0], 3.19.ac_bz_acy 
(0, -2, 33), [0, 2, 1], 3.19.ac_ca_acy 
(0, -2, 34), [0, 2, 2], 3.19.ac_cb_acy 
(0, -2, 36), [0, 2, 0], 3.19.ac_cd_acy 
(0, -1, -29), [0, 3, 3], 3.19.ab_ak_abm 
(0, -1, -28), [0, 3, 0], 3.19.ab_aj_abm 
(0, -1, -27), [0, 3, 1], 3.19.ab_ai_abm 
(0, -1, -26), [0, 3, 2], 3.19.ab_ah_abm 
(0, -1, -25), [0, 3, 3], 3.19.ab_ag_abm 
(0, -1, -24), [0, 3, 0], 3.19.ab_af_abm 
(0, -1, -23), [0, 3, 1], 3.19.ab_ae_abm 
(0, -1, -22), [0, 3, 2], 3.19.ab_ad_abm 
(0, -1, -21), [0, 3, 3], 3.19.ab_ac_abm 
(-2, 1, -19), [2, 1, 1], 3.19.ab_ac_cy 
(0, -1, -20), [0, 3, 0], 3.19.ab_ab_abm 
(-5, 4, 0), [3, 0, 0], 3.19.ab_ab_fw 
(0, -1, -17), [0, 3, 3], 3.19.ab_c_abm 
(0, -1, -16), [0, 3, 0], 3.19.ab_d_abm 
(0, -1, -15), [0, 3, 1], 3.19.ab_e_abm 
(8, -9, 57), [0, 3, 1], 3.19.ab_e_ek 
(0, -1, -14), [0, 3, 2], 3.19.ab_f_abm 
(0, -1, -13), [0, 3, 3], 3.19.ab_g_abm 
(3, -4, 0), [3, 0, 0], 3.19.ab_h_afw 
(0, -1, -12), [0, 3, 0], 3.19.ab_h_abm 
(-4, 3, 0), [0, 3, 0], 3.19.ab_h_ek 
(0, -1, -11), [0, 3, 1], 3.19.ab_i_abm 
(-6, 5, 19), [2, 1, 3], 3.19.ab_i_cy 
(0, -1, -10), [0, 3, 2], 3.19.ab_j_abm 
(0, -1, -9), [0, 3, 3], 3.19.ab_k_abm 
(0, -1, -8), [0, 3, 0], 3.19.ab_l_abm 
(0, -1, -7), [0, 3, 1], 3.19.ab_m_abm 
(2, -3, 0), [2, 1, 0], 3.19.ab_n_aek 
(0, -1, -6), [0, 3, 2], 3.19.ab_n_abm 
(-3, 2, 0), [1, 2, 0], 3.19.ab_n_cy 
(0, -1, -5), [0, 3, 3], 3.19.ab_o_abm 
