(-3, -1, 17), [6, 8, 8], 3.9.ae_bd_acr 
(-6, 3, 1), [3, 3, 1], 3.9.ad_ai_bw 
(-3, 0, -17), [6, 0, 1], 3.9.ad_ai_bz 
(6, -9, 37), [6, 0, 1], 3.9.ad_ai_ci 
(-6, 3, 2), [3, 3, 2], 3.9.ad_ah_bq 
(-3, 0, -16), [6, 0, 2], 3.9.ad_ah_bw 
(-6, 3, 4), [3, 3, 4], 3.9.ad_af_be 
(-6, 3, 5), [3, 3, 5], 3.9.ad_ae_y 
(-3, 0, -13), [6, 0, 5], 3.9.ad_ae_bn 
(-6, 3, 7), [3, 3, 7], 3.9.ad_ac_m 
(-3, 0, -11), [6, 0, 7], 3.9.ad_ac_bh 
(-3, 0, -10), [6, 0, 8], 3.9.ad_ab_be 
(-4, 1, -6), [5, 1, 3], 3.9.ad_ab_bq 
(-6, 3, 10), [3, 3, 1], 3.9.ad_b_ag 
(-3, 0, -8), [6, 0, 1], 3.9.ad_b_y 
(-6, 3, 11), [3, 3, 2], 3.9.ad_c_am 
(-4, 1, -3), [5, 1, 6], 3.9.ad_c_be 
(-3, 0, -5), [6, 0, 4], 3.9.ad_e_p 
(-4, 1, 0), [5, 1, 0], 3.9.ad_f_s 
(-6, 3, 16), [3, 3, 7], 3.9.ad_h_abq 
(-6, 3, 17), [3, 3, 8], 3.9.ad_i_abw 
(-5, 2, 9), [4, 2, 0], 3.9.ad_i_aj 
(-3, 0, -1), [6, 0, 8], 3.9.ad_i_d 
(-4, 1, 3), [5, 1, 3], 3.9.ad_i_g 
(-6, 3, 19), [3, 3, 1], 3.9.ad_k_aci 
(3, -6, 19), [3, 3, 1], 3.9.ad_k_abz 
(-3, 0, 1), [6, 0, 1], 3.9.ad_k_ad 
(1, -4, 9), [1, 5, 0], 3.9.ad_o_acl 
(-3, 0, 5), [6, 0, 5], 3.9.ad_o_ap 
(3, -6, 25), [3, 3, 7], 3.9.ad_q_abh 
(-3, 0, 7), [6, 0, 7], 3.9.ad_q_av 
(-3, 0, 8), [6, 0, 8], 3.9.ad_r_ay 
(-3, 0, 10), [6, 0, 1], 3.9.ad_t_abe 
(1, -4, 15), [1, 5, 6], 3.9.ad_u_acf 
(-1, -2, 9), [8, 7, 0], 3.9.ad_u_abt 
(-3, 0, 11), [6, 0, 2], 3.9.ad_u_abh 
(0, -3, 13), [0, 6, 4], 3.9.ad_w_acc 
(-3, 0, 13), [6, 0, 4], 3.9.ad_w_abn 
(0, -3, 16), [0, 6, 7], 3.9.ad_z_acc 
(-3, 0, 16), [6, 0, 7], 3.9.ad_z_abw 
(0, -3, 17), [0, 6, 8], 3.9.ad_ba_acc 
(0, -3, 19), [0, 6, 1], 3.9.ad_bc_acc 
(6, -8, 31), [6, 1, 4], 3.9.ac_ai_bq 
(-3, 1, -11), [6, 1, 7], 3.9.ac_af_bz 
(-6, 4, 11), [3, 4, 2], 3.9.ac_ae_g 
(-3, 1, -7), [6, 1, 2], 3.9.ac_ab_bn 
(-6, 4, 16), [3, 4, 7], 3.9.ac_b_ay 
(-3, 1, -5), [6, 1, 4], 3.9.ac_b_bh 
(-6, 4, 17), [3, 4, 8], 3.9.ac_c_abe 
(-6, 4, 19), [3, 4, 1], 3.9.ac_e_abq 
(-6, 4, 20), [3, 4, 2], 3.9.ac_f_abw 
(-3, 1, -1), [6, 1, 8], 3.9.ac_f_v 
(-3, 1, 5), [6, 1, 5], 3.9.ac_l_d 
(-3, 1, 7), [6, 1, 7], 3.9.ac_n_ad 
(0, -2, 5), [0, 7, 5], 3.9.ac_o_abk 
(-3, 1, 10), [6, 1, 1], 3.9.ac_q_am 
(-3, 1, 11), [6, 1, 2], 3.9.ac_r_ap 
(-3, 1, 14), [6, 1, 5], 3.9.ac_u_ay 
(-3, 1, 17), [6, 1, 8], 3.9.ac_x_abh 
(0, -2, 17), [0, 7, 8], 3.9.ac_ba_abk 
(-6, 5, 13), [3, 5, 4], 3.9.ab_ai_m 
(6, -7, 25), [6, 2, 7], 3.9.ab_ai_y 
(-6, 5, 14), [3, 5, 5], 3.9.ab_ah_g 
(6, -7, 26), [6, 2, 8], 3.9.ab_ah_be 
(-6, 5, 17), [3, 5, 8], 3.9.ab_ae_am 
(6, -7, 29), [6, 2, 2], 3.9.ab_ae_bw 
(-6, 5, 19), [3, 5, 1], 3.9.ab_ac_ay 
(-5, 4, 9), [4, 4, 0], 3.9.ab_ac_bb 
(-3, 2, -5), [6, 2, 4], 3.9.ab_ac_bz 
(-6, 5, 20), [3, 5, 2], 3.9.ab_ab_abe 
(-3, 2, -2), [6, 2, 7], 3.9.ab_b_bq 
(-6, 5, 23), [3, 5, 5], 3.9.ab_c_abw 
(-3, 2, -1), [6, 2, 8], 3.9.ab_c_bn 
(3, -4, 7), [3, 5, 7], 3.9.ab_e_abz 
