(-4, 2, 23), [0, 2, 3], 3.16.ac_bf_abc 
(1, -3, 20), [1, 1, 0], 3.16.ac_bh_acy 
(-1, -1, 16), [3, 3, 0], 3.16.ac_bh_abw 
(-4, 2, 25), [0, 2, 1], 3.16.ac_bh_abk 
(0, -2, 19), [0, 2, 3], 3.16.ac_bj_acm 
(-4, 2, 27), [0, 2, 3], 3.16.ac_bj_abs 
(0, -2, 21), [0, 2, 1], 3.16.ac_bl_acm 
(-4, 2, 31), [0, 2, 3], 3.16.ac_bn_aci 
(0, -2, 25), [0, 2, 1], 3.16.ac_bp_acm 
(-1, -1, 24), [3, 3, 0], 3.16.ac_bp_ace 
(-3, 1, 28), [1, 1, 0], 3.16.ac_bp_aca 
(-1, -1, 28), [3, 3, 0], 3.16.ac_bt_aci 
(0, 0, -31), [0, 0, 1], 3.16.a_ap_a 
(0, 0, -29), [0, 0, 3], 3.16.a_an_a 
(0, 0, -27), [0, 0, 1], 3.16.a_al_a 
(0, 0, -25), [0, 0, 3], 3.16.a_aj_a 
(0, 0, -23), [0, 0, 1], 3.16.a_ah_a 
(1, -1, -20), [1, 3, 0], 3.16.a_af_aca 
(7, -7, 28), [3, 1, 0], 3.16.a_af_abc 
(0, 0, -21), [0, 0, 3], 3.16.a_af_a 
(-7, 7, 28), [1, 3, 0], 3.16.a_af_bc 
(-1, 1, -20), [3, 1, 0], 3.16.a_af_ca 
(0, 0, -19), [0, 0, 1], 3.16.a_ad_a 
(1, -1, -16), [1, 3, 0], 3.16.a_ab_abw 
(-1, 1, -16), [3, 1, 0], 3.16.a_ab_bw 
(0, 0, -15), [0, 0, 1], 3.16.a_b_a 
(3, -3, -4), [3, 1, 0], 3.16.a_d_aee 
(5, -5, 12), [1, 3, 0], 3.16.a_d_adw 
(1, -1, -12), [1, 3, 0], 3.16.a_d_abs 
(-7, 7, 36), [1, 3, 0], 3.16.a_d_abc 
(0, 0, -13), [0, 0, 3], 3.16.a_d_a 
(7, -7, 36), [3, 1, 0], 3.16.a_d_bc 
(-1, 1, -12), [3, 1, 0], 3.16.a_d_bs 
(-5, 5, 12), [3, 1, 0], 3.16.a_d_dw 
(-3, 3, -4), [1, 3, 0], 3.16.a_d_ee 
(4, -4, 5), [0, 0, 1], 3.16.a_f_aee 
(0, 0, -11), [0, 0, 1], 3.16.a_f_a 
(-4, 4, 5), [0, 0, 1], 3.16.a_f_ee 
(4, -4, 7), [0, 0, 3], 3.16.a_h_adw 
(3, -3, 0), [3, 1, 0], 3.16.a_h_ads 
(5, -5, 16), [1, 3, 0], 3.16.a_h_adc 
(-7, 7, 40), [1, 3, 0], 3.16.a_h_ace 
(1, -1, -8), [1, 3, 0], 3.16.a_h_abo 
(0, 0, -9), [0, 0, 3], 3.16.a_h_a 
(-1, 1, -8), [3, 1, 0], 3.16.a_h_bo 
(7, -7, 40), [3, 1, 0], 3.16.a_h_ce 
(-5, 5, 16), [3, 1, 0], 3.16.a_h_dc 
(-3, 3, 0), [1, 3, 0], 3.16.a_h_ds 
(-4, 4, 7), [0, 0, 3], 3.16.a_h_dw 
(4, -4, 9), [0, 0, 1], 3.16.a_j_ado 
(0, 0, -7), [0, 0, 1], 3.16.a_j_a 
(-4, 4, 9), [0, 0, 1], 3.16.a_j_do 
(5, -5, 20), [1, 3, 0], 3.16.a_l_aci 
(1, -1, -4), [1, 3, 0], 3.16.a_l_abk 
(0, 0, -5), [0, 0, 3], 3.16.a_l_a 
(-1, 1, -4), [3, 1, 0], 3.16.a_l_bk 
(-5, 5, 20), [3, 1, 0], 3.16.a_l_ci 
(4, -4, 13), [0, 0, 1], 3.16.a_n_acy 
(0, 0, -3), [0, 0, 1], 3.16.a_n_a 
(-4, 4, 13), [0, 0, 1], 3.16.a_n_cy 
(4, -4, 15), [0, 0, 3], 3.16.a_p_acq 
(5, -5, 24), [1, 3, 0], 3.16.a_p_abo 
(1, -1, 0), [1, 3, 0], 3.16.a_p_abg 
(0, 0, -1), [0, 0, 3], 3.16.a_p_a 
(-1, 1, 0), [3, 1, 0], 3.16.a_p_bg 
(-5, 5, 24), [3, 1, 0], 3.16.a_p_bo 
(-4, 4, 15), [0, 0, 3], 3.16.a_p_cq 
(4, -4, 17), [0, 0, 1], 3.16.a_r_aci 
(0, 0, 1), [0, 0, 1], 3.16.a_r_a 
(-4, 4, 17), [0, 0, 1], 3.16.a_r_ci 
(4, -4, 19), [0, 0, 3], 3.16.a_t_aca 
(1, -1, 4), [1, 3, 0], 3.16.a_t_abc 
(5, -5, 28), [1, 3, 0], 3.16.a_t_au 
(0, 0, 3), [0, 0, 3], 3.16.a_t_a 
(-5, 5, 28), [3, 1, 0], 3.16.a_t_u 
(-1, 1, 4), [3, 1, 0], 3.16.a_t_bc 
(-4, 4, 19), [0, 0, 3], 3.16.a_t_ca 
(4, -4, 21), [0, 0, 1], 3.16.a_v_abs 
(0, 0, 5), [0, 0, 1], 3.16.a_v_a 
(-4, 4, 21), [0, 0, 1], 3.16.a_v_bs 
(4, -4, 23), [0, 0, 3], 3.16.a_x_abk 
(1, -1, 8), [1, 3, 0], 3.16.a_x_ay 
(-1, 1, 8), [3, 1, 0], 3.16.a_x_y 
(-4, 4, 23), [0, 0, 3], 3.16.a_x_bk 
(4, -4, 25), [0, 0, 1], 3.16.a_z_abc 
(0, 0, 9), [0, 0, 1], 3.16.a_z_a 
(-4, 4, 25), [0, 0, 1], 3.16.a_z_bc 
(3, -3, 20), [3, 1, 0], 3.16.a_bb_abk 
(0, 0, 11), [0, 0, 3], 3.16.a_bb_a 
(-3, 3, 20), [1, 3, 0], 3.16.a_bb_bk 
(4, -4, 29), [0, 0, 1], 3.16.a_bd_am 
(0, 0, 13), [0, 0, 1], 3.16.a_bd_a 
(-4, 4, 29), [0, 0, 1], 3.16.a_bd_m 
(3, -3, 24), [3, 1, 0], 3.16.a_bf_ay 
(1, -1, 16), [1, 3, 0], 3.16.a_bf_aq 
(4, -4, 31), [0, 0, 3], 3.16.a_bf_ae 
(0, 0, 15), [0, 0, 3], 3.16.a_bf_a 
(-4, 4, 31), [0, 0, 3], 3.16.a_bf_e 
(-1, 1, 16), [3, 1, 0], 3.16.a_bf_q 
(-3, 3, 24), [1, 3, 0], 3.16.a_bf_y 
(-4, 4, 33), [0, 0, 1], 3.16.a_bh_ae 
(0, 0, 17), [0, 0, 1], 3.16.a_bh_a 
(4, -4, 33), [0, 0, 1], 3.16.a_bh_e 
(0, 0, 19), [0, 0, 3], 3.16.a_bj_a 
(0, 0, 25), [0, 0, 1], 3.16.a_bp_a 
(0, 0, 27), [0, 0, 3], 3.16.a_br_a 
(4, -2, -15), [0, 2, 1], 3.16.c_ah_aeu 
(3, -1, -20), [3, 3, 0], 3.16.c_ah_ado 
(7, -5, 12), [3, 3, 0], 3.16.c_ah_acy 
(4, -2, -13), [0, 2, 3], 3.16.c_af_aem 
(4, -2, -11), [0, 2, 1], 3.16.c_ad_aee 
(3, -1, -16), [3, 3, 0], 3.16.c_ad_adc 
(7, -5, 16), [3, 3, 0], 3.16.c_ad_abw 
(-7, 9, 44), [1, 1, 0], 3.16.c_ad_au 
(1, 1, -20), [1, 1, 0], 3.16.c_ad_m 
(4, -2, -9), [0, 2, 3], 3.16.c_ab_adw 
(5, -3, 0), [1, 1, 0], 3.16.c_b_ads 
(4, -2, -7), [0, 2, 1], 3.16.c_b_ado 
(3, -1, -12), [3, 3, 0], 3.16.c_b_acq 
(-7, 9, 48), [1, 1, 0], 3.16.c_b_abw 
(7, -5, 20), [3, 3, 0], 3.16.c_b_au 
(1, 1, -16), [1, 1, 0], 3.16.c_b_q 
(0, 2, -15), [0, 2, 1], 3.16.c_b_cm 
(4, -2, -5), [0, 2, 3], 3.16.c_d_adg 
(0, 2, -13), [0, 2, 3], 3.16.c_d_cm 
(3, -1, -8), [3, 3, 0], 3.16.c_f_ace 
(7, -5, 24), [3, 3, 0], 3.16.c_f_i 
(1, 1, -12), [1, 1, 0], 3.16.c_f_u 
(0, 2, -11), [0, 2, 1], 3.16.c_f_cm 
(4, -2, -1), [0, 2, 3], 3.16.c_h_acq 
(0, 2, -9), [0, 2, 3], 3.16.c_h_cm 
(4, -2, 1), [0, 2, 1], 3.16.c_j_aci 
(3, -1, -4), [3, 3, 0], 3.16.c_j_abs 
(1, 1, -8), [1, 1, 0], 3.16.c_j_y 
(7, -5, 28), [3, 3, 0], 3.16.c_j_bk 
(0, 2, -7), [0, 2, 1], 3.16.c_j_cm 
(-5, 7, 28), [3, 3, 0], 3.16.c_j_dg 
(-1, 3, -4), [3, 3, 0], 3.16.c_j_dw 
(-4, 6, 17), [0, 2, 1], 3.16.c_j_eu 
(0, 2, -5), [0, 2, 3], 3.16.c_l_cm 
(-4, 6, 19), [0, 2, 3], 3.16.c_l_em 
(5, -3, 12), [1, 1, 0], 3.16.c_n_abk 
(3, -1, 0), [3, 3, 0], 3.16.c_n_abg 
(1, 1, -4), [1, 1, 0], 3.16.c_n_bc 
(-1, 3, 0), [3, 3, 0], 3.16.c_n_ds 
(-4, 6, 21), [0, 2, 1], 3.16.c_n_ee 
(0, 2, -1), [0, 2, 3], 3.16.c_p_cm 
