(0, -6, 36), [0, 2, 0], 3.23.ag_ch_akq 
(0, -6, 37), [0, 2, 1], 3.23.ag_ci_akq 
(0, -6, 38), [0, 2, 2], 3.23.ag_cj_akq 
(0, -6, 40), [0, 2, 0], 3.23.ag_cl_akq 
(0, -6, 41), [0, 2, 1], 3.23.ag_cm_akq 
(0, -6, 42), [0, 2, 2], 3.23.ag_cn_akq 
(0, -6, 43), [0, 2, 3], 3.23.ag_co_akq 
(0, -6, 44), [0, 2, 0], 3.23.ag_cp_akq 
(0, -6, 48), [0, 2, 0], 3.23.ag_ct_akq 
(0, -6, 49), [0, 2, 1], 3.23.ag_cu_akq 
(0, -6, 50), [0, 2, 2], 3.23.ag_cv_akq 
(0, -6, 52), [0, 2, 0], 3.23.ag_cx_akq 
(0, -6, 53), [0, 2, 1], 3.23.ag_cy_akq 
(-9, 4, 0), [3, 0, 0], 3.23.af_an_hc 
(9, -14, 92), [1, 2, 0], 3.23.af_al_hc 
(-6, 1, -23), [2, 1, 1], 3.23.af_ag_hc 
(-8, 3, 0), [0, 3, 0], 3.23.af_ab_fi 
(-4, -1, -23), [0, 3, 1], 3.23.af_e_bu 
(-7, 2, 0), [1, 2, 0], 3.23.af_j_do 
(-6, 1, 0), [2, 1, 0], 3.23.af_r_bu 
(-8, 3, 23), [0, 3, 3], 3.23.af_w_abu 
(0, -5, 2), [0, 3, 2], 3.23.af_z_aiw 
(0, -5, 3), [0, 3, 3], 3.23.af_ba_aiw 
(6, -11, 69), [2, 1, 1], 3.23.af_ba_ado 
(0, -5, 4), [0, 3, 0], 3.23.af_bb_aiw 
(-1, -4, 0), [3, 0, 0], 3.23.af_bb_ahc 
(-4, -1, 0), [0, 3, 0], 3.23.af_bb_abu 
(0, -5, 5), [0, 3, 1], 3.23.af_bc_aiw 
(0, -5, 6), [0, 3, 2], 3.23.af_bd_aiw 
(-2, -3, 0), [2, 1, 0], 3.23.af_bd_afi 
(-3, -2, 0), [1, 2, 0], 3.23.af_bd_ado 
(0, -5, 7), [0, 3, 3], 3.23.af_be_aiw 
(0, -5, 8), [0, 3, 0], 3.23.af_bf_aiw 
(2, -7, 23), [2, 1, 3], 3.23.af_bg_akq 
(0, -5, 9), [0, 3, 1], 3.23.af_bg_aiw 
(0, -5, 11), [0, 3, 3], 3.23.af_bi_aiw 
(0, -5, 12), [0, 3, 0], 3.23.af_bj_aiw 
(0, -5, 13), [0, 3, 1], 3.23.af_bk_aiw 
(0, -5, 14), [0, 3, 2], 3.23.af_bl_aiw 
(0, -5, 15), [0, 3, 3], 3.23.af_bm_aiw 
(0, -5, 16), [0, 3, 0], 3.23.af_bn_aiw 
(0, -5, 17), [0, 3, 1], 3.23.af_bo_aiw 
(-6, 1, 23), [2, 1, 3], 3.23.af_bo_ado 
(0, -5, 18), [0, 3, 2], 3.23.af_bp_aiw 
(0, -5, 19), [0, 3, 3], 3.23.af_bq_aiw 
(0, -5, 20), [0, 3, 0], 3.23.af_br_aiw 
(0, -5, 21), [0, 3, 1], 3.23.af_bs_aiw 
(0, -5, 24), [0, 3, 0], 3.23.af_bv_aiw 
(0, -5, 25), [0, 3, 1], 3.23.af_bw_aiw 
(0, -5, 26), [0, 3, 2], 3.23.af_bx_aiw 
(0, -5, 27), [0, 3, 3], 3.23.af_by_aiw 
(-4, -1, 23), [0, 3, 3], 3.23.af_by_afi 
(0, -5, 28), [0, 3, 0], 3.23.af_bz_aiw 
(0, -5, 29), [0, 3, 1], 3.23.af_ca_aiw 
(-2, -3, 23), [2, 1, 3], 3.23.af_ca_ahc 
(0, -5, 30), [0, 3, 2], 3.23.af_cb_aiw 
(0, -5, 31), [0, 3, 3], 3.23.af_cc_aiw 
(0, -5, 33), [0, 3, 1], 3.23.af_ce_aiw 
(0, -5, 34), [0, 3, 2], 3.23.af_cf_aiw 
(0, -5, 35), [0, 3, 3], 3.23.af_cg_aiw 
(0, -5, 36), [0, 3, 0], 3.23.af_ch_aiw 
(0, -5, 37), [0, 3, 1], 3.23.af_ci_aiw 
(0, -5, 38), [0, 3, 2], 3.23.af_cj_aiw 
(0, -5, 39), [0, 3, 3], 3.23.af_ck_aiw 
(0, -5, 41), [0, 3, 1], 3.23.af_cm_aiw 
(0, -5, 42), [0, 3, 2], 3.23.af_cn_aiw 
(0, -5, 51), [0, 3, 3], 3.23.af_cw_aiw 
(-6, 2, -23), [2, 2, 1], 3.23.ae_am_iw 
(-8, 4, 0), [0, 0, 0], 3.23.ae_aj_hc 
(-5, 1, -23), [3, 1, 1], 3.23.ae_af_gf 
(-9, 5, 23), [3, 1, 3], 3.23.ae_b_x 
(-7, 3, 0), [1, 3, 0], 3.23.ae_c_fi 
(-3, -1, -23), [1, 3, 1], 3.23.ae_d_x 
(-2, -2, -23), [2, 2, 1], 3.23.ae_e_abu 
(-6, 2, 0), [2, 2, 0], 3.23.ae_l_do 
(-8, 4, 23), [0, 0, 3], 3.23.ae_o_a 
(7, -11, 69), [3, 1, 1], 3.23.ae_p_ax 
(0, -4, -7), [0, 0, 1], 3.23.ae_q_ahc 
