(3, -2, -4), [3, 2, 0], 3.9.b_ab_abw 
(0, 1, -10), [0, 1, 2], 3.9.b_ab_s 
(2, -1, -6), [2, 3, 2], 3.9.b_b_abe 
(0, 1, -8), [0, 1, 0], 3.9.b_b_s 
(0, 1, -7), [0, 1, 1], 3.9.b_c_s 
(2, -1, -3), [2, 3, 1], 3.9.b_e_ay 
(0, 1, -5), [0, 1, 3], 3.9.b_e_s 
(-4, 5, 15), [0, 1, 3], 3.9.b_e_be 
(0, 1, -4), [0, 1, 0], 3.9.b_f_s 
(2, -1, 0), [2, 3, 0], 3.9.b_h_as 
(-1, 2, 0), [3, 2, 0], 3.9.b_h_bk 
(-3, 4, 10), [1, 0, 2], 3.9.b_h_bq 
(0, 1, -1), [0, 1, 3], 3.9.b_i_s 
(-4, 5, 21), [0, 1, 1], 3.9.b_k_g 
(0, 1, 1), [0, 1, 1], 3.9.b_k_s 
(3, -2, 8), [3, 2, 0], 3.9.b_l_am 
(0, 1, 2), [0, 1, 2], 3.9.b_l_s 
(-3, 4, 14), [1, 0, 2], 3.9.b_l_be 
(0, 1, 4), [0, 1, 0], 3.9.b_n_s 
(-3, 4, 16), [1, 0, 0], 3.9.b_n_y 
(-1, 2, 6), [3, 2, 2], 3.9.b_n_be 
(0, 1, 5), [0, 1, 1], 3.9.b_o_s 
(0, 1, 7), [0, 1, 3], 3.9.b_q_s 
(3, -2, 14), [3, 2, 2], 3.9.b_r_g 
(-3, 4, 20), [1, 0, 0], 3.9.b_r_m 
(0, 1, 8), [0, 1, 0], 3.9.b_r_s 
(3, -2, 16), [3, 2, 0], 3.9.b_t_m 
(0, 1, 10), [0, 1, 2], 3.9.b_t_s 
(0, 1, 13), [0, 1, 1], 3.9.b_w_s 
(0, 1, 14), [0, 1, 2], 3.9.b_x_s 
(6, -4, 7), [2, 0, 3], 3.9.c_ai_abe 
(-6, 8, 32), [2, 0, 0], 3.9.c_ah_abw 
(6, -4, 8), [2, 0, 0], 3.9.c_ah_ay 
(6, -4, 10), [2, 0, 2], 3.9.c_af_am 
(3, -1, -10), [3, 3, 2], 3.9.c_ae_abw 
(3, -1, -8), [3, 3, 0], 3.9.c_ac_abq 
(6, -4, 14), [2, 0, 2], 3.9.c_ab_m 
(4, -2, 0), [0, 2, 0], 3.9.c_b_abk 
(-5, 7, 27), [3, 3, 3], 3.9.c_b_aj 
(1, 1, -9), [1, 1, 3], 3.9.c_b_j 
(3, -1, -4), [3, 3, 0], 3.9.c_c_abe 
(1, 1, -6), [1, 1, 2], 3.9.c_e_m 
(0, 2, -5), [0, 2, 3], 3.9.c_e_bk 
(0, 2, -4), [0, 2, 0], 3.9.c_f_bk 
(3, -1, 1), [3, 3, 1], 3.9.c_h_ap 
(4, -2, 6), [0, 2, 2], 3.9.c_h_am 
(1, 1, -3), [1, 1, 1], 3.9.c_h_p 
(0, 2, -2), [0, 2, 2], 3.9.c_h_bk 
(-3, 5, 13), [1, 1, 1], 3.9.c_h_bz 
(3, -1, 2), [3, 3, 2], 3.9.c_i_am 
(0, 2, -1), [0, 2, 3], 3.9.c_i_bk 
(-3, 5, 14), [1, 1, 2], 3.9.c_i_bw 
(3, -1, 4), [3, 3, 0], 3.9.c_k_ag 
(4, -2, 9), [0, 2, 1], 3.9.c_k_a 
(1, 1, 0), [1, 1, 0], 3.9.c_k_s 
(0, 2, 1), [0, 2, 1], 3.9.c_k_bk 
(-3, 5, 16), [1, 1, 0], 3.9.c_k_bq 
(-2, 4, 9), [2, 0, 1], 3.9.c_k_cc 
(0, 2, 2), [0, 2, 2], 3.9.c_l_bk 
(-3, 5, 17), [1, 1, 1], 3.9.c_l_bn 
(4, -2, 12), [0, 2, 0], 3.9.c_n_m 
(1, 1, 3), [1, 1, 3], 3.9.c_n_v 
(-3, 5, 19), [1, 1, 3], 3.9.c_n_bh 
(0, 2, 4), [0, 2, 0], 3.9.c_n_bk 
(3, -1, 8), [3, 3, 0], 3.9.c_o_g 
(-3, 5, 20), [1, 1, 0], 3.9.c_o_be 
(0, 2, 7), [0, 2, 3], 3.9.c_q_bk 
(-2, 4, 15), [2, 0, 3], 3.9.c_q_bq 
(-3, 5, 23), [1, 1, 3], 3.9.c_r_v 
(0, 2, 8), [0, 2, 0], 3.9.c_r_bk 
(3, -1, 13), [3, 3, 1], 3.9.c_t_v 
(1, 1, 9), [1, 1, 1], 3.9.c_t_bb 
(0, 2, 11), [0, 2, 3], 3.9.c_u_bk 
(0, 2, 13), [0, 2, 1], 3.9.c_w_bk 
(0, 2, 14), [0, 2, 2], 3.9.c_x_bk 
(0, 2, 16), [0, 2, 0], 3.9.c_z_bk 
(3, 0, -14), [3, 0, 2], 3.9.d_af_abq 
(4, -1, -9), [0, 3, 3], 3.9.d_ae_acc 
(5, -2, 0), [1, 2, 0], 3.9.d_ab_abk 
(2, 1, -9), [2, 1, 3], 3.9.d_c_a 
(6, -3, 13), [2, 1, 1], 3.9.d_e_y 
(3, 0, -4), [3, 0, 0], 3.9.d_f_am 
(5, -2, 6), [1, 2, 2], 3.9.d_f_ag 
(2, 1, -6), [2, 1, 2], 3.9.d_f_g 
(3, 0, -2), [3, 0, 2], 3.9.d_h_ag 
(2, 1, -3), [2, 1, 1], 3.9.d_i_m 
(-4, 7, 27), [0, 3, 3], 3.9.d_i_s 
(0, 3, 1), [0, 3, 1], 3.9.d_k_cc 
(2, 1, 0), [2, 1, 0], 3.9.d_l_s 
(5, -2, 12), [1, 2, 0], 3.9.d_l_y 
(1, 2, 0), [1, 2, 0], 3.9.d_l_bk 
(-3, 6, 20), [1, 2, 0], 3.9.d_l_bw 
(0, 3, 2), [0, 3, 2], 3.9.d_l_cc 
(3, 0, 4), [3, 0, 0], 3.9.d_n_m 
(-3, 6, 22), [1, 2, 2], 3.9.d_n_bq 
(0, 3, 4), [0, 3, 0], 3.9.d_n_cc 
(4, -1, 9), [0, 3, 1], 3.9.d_o_s 
(2, 1, 3), [2, 1, 3], 3.9.d_o_y 
(0, 3, 5), [0, 3, 1], 3.9.d_o_cc 
(-2, 5, 15), [2, 1, 3], 3.9.d_o_ci 
(0, 3, 7), [0, 3, 3], 3.9.d_q_cc 
(1, 2, 6), [1, 2, 2], 3.9.d_r_bq 
(0, 3, 10), [0, 3, 2], 3.9.d_t_cc 
(2, 1, 9), [2, 1, 1], 3.9.d_u_bk 
(-2, 5, 21), [2, 1, 1], 3.9.d_u_bw 
(0, 3, 11), [0, 3, 3], 3.9.d_u_cc 
(1, 2, 12), [1, 2, 0], 3.9.d_x_bw 
(5, -1, -6), [1, 3, 2], 3.9.e_ac_abw 
(6, -2, 2), [2, 2, 2], 3.9.e_ab_ay 
(3, 1, -11), [3, 1, 1], 3.9.e_b_ap 
(5, -1, 0), [1, 3, 0], 3.9.e_e_as 
(3, 1, -8), [3, 1, 0], 3.9.e_e_ag 
(3, 1, -7), [3, 1, 1], 3.9.e_f_ad 
(5, -1, 3), [1, 3, 3], 3.9.e_h_ad 
(3, 1, -5), [3, 1, 3], 3.9.e_h_d 
(3, 1, -4), [3, 1, 0], 3.9.e_i_g 
(3, 1, 1), [3, 1, 1], 3.9.e_n_v 
(5, -1, 9), [1, 3, 1], 3.9.e_n_bb 
(2, 2, 0), [2, 2, 0], 3.9.e_n_bk 
