(-8, -1, 11), [0, 3, 3], 3.16.aj_bj_aeq 
(-8, -1, 13), [0, 3, 1], 3.16.aj_bl_afg 
(4, -13, 73), [0, 3, 1], 3.16.aj_bl_aeu 
(-8, -1, 15), [0, 3, 3], 3.16.aj_bn_afw 
(-8, -1, 17), [0, 3, 1], 3.16.aj_bp_agm 
(-8, -1, 19), [0, 3, 3], 3.16.aj_br_ahc 
(-8, -1, 21), [0, 3, 1], 3.16.aj_bt_ahs 
(-4, -5, 9), [0, 3, 1], 3.16.aj_bt_aho 
(-8, -1, 23), [0, 3, 3], 3.16.aj_bv_aii 
(-4, -5, 11), [0, 3, 3], 3.16.aj_bv_ahw 
(-8, -1, 25), [0, 3, 1], 3.16.aj_bx_aiy 
(-4, -5, 13), [0, 3, 1], 3.16.aj_bx_aie 
(-8, -1, 27), [0, 3, 3], 3.16.aj_bz_ajo 
(-4, -5, 15), [0, 3, 3], 3.16.aj_bz_aim 
(-8, -1, 29), [0, 3, 1], 3.16.aj_cb_ake 
(-4, -5, 17), [0, 3, 1], 3.16.aj_cb_aiu 
(-8, -1, 31), [0, 3, 3], 3.16.aj_cd_aku 
(-4, -5, 19), [0, 3, 3], 3.16.aj_cd_ajc 
(0, -9, 41), [0, 3, 1], 3.16.aj_cf_alc 
(-4, -5, 21), [0, 3, 1], 3.16.aj_cf_ajk 
(0, -9, 43), [0, 3, 3], 3.16.aj_ch_alc 
(-4, -5, 23), [0, 3, 3], 3.16.aj_ch_ajs 
(0, -9, 45), [0, 3, 1], 3.16.aj_cj_alc 
(-4, -5, 25), [0, 3, 1], 3.16.aj_cj_aka 
(0, -9, 47), [0, 3, 3], 3.16.aj_cl_alc 
(-4, -5, 27), [0, 3, 3], 3.16.aj_cl_aki 
(0, -9, 49), [0, 3, 1], 3.16.aj_cn_alc 
(-4, -5, 29), [0, 3, 1], 3.16.aj_cn_akq 
(0, -9, 51), [0, 3, 3], 3.16.aj_cp_alc 
(-4, -5, 31), [0, 3, 3], 3.16.aj_cp_aky 
(-4, -5, 33), [0, 3, 1], 3.16.aj_cr_alg 
(-4, -5, 35), [0, 3, 3], 3.16.aj_ct_alo 
(-4, -5, 37), [0, 3, 1], 3.16.aj_cv_alw 
(-8, 0, -31), [0, 0, 1], 3.16.ai_ap_jo 
(-8, 0, -29), [0, 0, 3], 3.16.ai_an_iy 
(-8, 0, -27), [0, 0, 1], 3.16.ai_al_ii 
(-8, 0, -25), [0, 0, 3], 3.16.ai_aj_hs 
(-8, 0, -23), [0, 0, 1], 3.16.ai_ah_hc 
(-8, 0, -21), [0, 0, 3], 3.16.ai_af_gm 
(-8, 0, -19), [0, 0, 1], 3.16.ai_ad_fw 
(-8, 0, -15), [0, 0, 1], 3.16.ai_b_eq 
(-8, 0, -13), [0, 0, 3], 3.16.ai_d_ea 
(-8, 0, -11), [0, 0, 1], 3.16.ai_f_dk 
(-8, 0, -9), [0, 0, 3], 3.16.ai_h_cu 
(-8, 0, -5), [0, 0, 3], 3.16.ai_l_bo 
(-7, -1, -12), [1, 3, 0], 3.16.ai_l_ca 
(-8, 0, -3), [0, 0, 1], 3.16.ai_n_y 
(-8, 0, -1), [0, 0, 3], 3.16.ai_p_i 
(-7, -1, -8), [1, 3, 0], 3.16.ai_p_y 
(-8, 0, 1), [0, 0, 1], 3.16.ai_r_ai 
(-8, 0, 3), [0, 0, 3], 3.16.ai_t_ay 
(-7, -1, -4), [1, 3, 0], 3.16.ai_t_ae 
(-8, 0, 5), [0, 0, 1], 3.16.ai_v_abo 
(-8, 0, 9), [0, 0, 1], 3.16.ai_z_acu 
(-8, 0, 11), [0, 0, 3], 3.16.ai_bb_adk 
(-8, 0, 13), [0, 0, 1], 3.16.ai_bd_aea 
(-8, 0, 15), [0, 0, 3], 3.16.ai_bf_aeq 
(-8, 0, 19), [0, 0, 3], 3.16.ai_bj_afw 
(-8, 0, 21), [0, 0, 1], 3.16.ai_bl_agm 
(-8, 0, 25), [0, 0, 1], 3.16.ai_bp_ahs 
(-8, 0, 27), [0, 0, 3], 3.16.ai_br_aii 
(-8, 0, 29), [0, 0, 1], 3.16.ai_bt_aiy 
(0, -8, 33), [0, 0, 1], 3.16.ai_bx_ajw 
(0, -8, 35), [0, 0, 3], 3.16.ai_bz_ajw 
(-5, -3, 20), [3, 1, 0], 3.16.ai_bz_aho 
(0, -8, 37), [0, 0, 1], 3.16.ai_cb_ajw 
(-4, -4, 21), [0, 0, 1], 3.16.ai_cb_aie 
(-4, -4, 23), [0, 0, 3], 3.16.ai_cd_aim 
(-5, -3, 24), [3, 1, 0], 3.16.ai_cd_aii 
(-1, -7, 36), [3, 1, 0], 3.16.ai_ch_aka 
(-4, -4, 29), [0, 0, 1], 3.16.ai_cj_ajk 
(-1, -7, 40), [3, 1, 0], 3.16.ai_cl_ake 
(-4, -4, 31), [0, 0, 3], 3.16.ai_cl_ajs 
(-4, -4, 33), [0, 0, 1], 3.16.ai_cn_aka 
(-8, 1, -23), [0, 1, 1], 3.16.ah_ap_ii 
(-8, 1, -21), [0, 1, 3], 3.16.ah_an_hs 
(-8, 1, -19), [0, 1, 1], 3.16.ah_al_hc 
(-8, 1, -17), [0, 1, 3], 3.16.ah_aj_gm 
(-8, 1, -15), [0, 1, 1], 3.16.ah_ah_fw 
(-8, 1, -13), [0, 1, 3], 3.16.ah_af_fg 
(-8, 1, -11), [0, 1, 1], 3.16.ah_ad_eq 
(-8, 1, -9), [0, 1, 3], 3.16.ah_ab_ea 
(-8, 1, -7), [0, 1, 1], 3.16.ah_b_dk 
(-8, 1, -5), [0, 1, 3], 3.16.ah_d_cu 
(-8, 1, -3), [0, 1, 1], 3.16.ah_f_ce 
(-8, 1, -1), [0, 1, 3], 3.16.ah_h_bo 
(-8, 1, 1), [0, 1, 1], 3.16.ah_j_y 
(-8, 1, 3), [0, 1, 3], 3.16.ah_l_i 
(-8, 1, 5), [0, 1, 1], 3.16.ah_n_ai 
(-8, 1, 7), [0, 1, 3], 3.16.ah_p_ay 
(-8, 1, 9), [0, 1, 1], 3.16.ah_r_abo 
(-8, 1, 11), [0, 1, 3], 3.16.ah_t_ace 
