(-2, 2, 0), [11, 2, 0], 3.13.a_j_ca 
(4, -4, 13), [4, 9, 0], 3.13.a_k_aca 
(0, 0, -3), [0, 0, 10], 3.13.a_k_a 
(-4, 4, 13), [9, 4, 0], 3.13.a_k_ca 
(0, 0, -2), [0, 0, 11], 3.13.a_l_a 
(1, -1, 0), [1, 12, 0], 3.13.a_m_aba 
(-1, 1, 0), [12, 1, 0], 3.13.a_m_ba 
(0, 0, 2), [0, 0, 2], 3.13.a_p_a 
(0, 0, 3), [0, 0, 3], 3.13.a_q_a 
(3, -3, 13), [3, 10, 0], 3.13.a_r_abn 
(0, 0, 4), [0, 0, 4], 3.13.a_r_a 
(-3, 3, 13), [10, 3, 0], 3.13.a_r_bn 
(0, 0, 5), [0, 0, 5], 3.13.a_s_a 
(0, 0, 6), [0, 0, 6], 3.13.a_t_a 
(0, 0, 7), [0, 0, 7], 3.13.a_u_a 
(0, 0, 8), [0, 0, 8], 3.13.a_v_a 
(2, -2, 13), [2, 11, 0], 3.13.a_w_aba 
(0, 0, 9), [0, 0, 9], 3.13.a_w_a 
(-2, 2, 13), [11, 2, 0], 3.13.a_w_ba 
(0, 0, 11), [0, 0, 11], 3.13.a_y_a 
(1, -1, 13), [1, 12, 0], 3.13.a_z_an 
(0, 0, 12), [0, 0, 12], 3.13.a_z_a 
(-1, 1, 13), [12, 1, 0], 3.13.a_z_n 
(0, 0, 14), [0, 0, 1], 3.13.a_bb_a 
(0, 0, 15), [0, 0, 2], 3.13.a_bc_a 
(0, 0, 16), [0, 0, 3], 3.13.a_bd_a 
(0, 0, 18), [0, 0, 5], 3.13.a_bf_a 
(0, 0, 19), [0, 0, 6], 3.13.a_bg_a 
(0, 0, 20), [0, 0, 7], 3.13.a_bh_a 
(0, 0, 21), [0, 0, 8], 3.13.a_bi_a 
(0, 1, -18), [0, 1, 8], 3.13.b_af_ba 
(6, -5, 13), [6, 8, 0], 3.13.b_ae_aca 
(0, 1, -17), [0, 1, 9], 3.13.b_ae_ba 
(2, -1, -13), [2, 12, 0], 3.13.b_ac_aca 
(0, 1, -15), [0, 1, 11], 3.13.b_ac_ba 
(0, 1, -14), [0, 1, 12], 3.13.b_ab_ba 
(0, 1, -12), [0, 1, 1], 3.13.b_b_ba 
(0, 1, -11), [0, 1, 2], 3.13.b_c_ba 
(0, 1, -10), [0, 1, 3], 3.13.b_d_ba 
(0, 1, -9), [0, 1, 4], 3.13.b_e_ba 
(0, 1, -8), [0, 1, 5], 3.13.b_f_ba 
(0, 1, -7), [0, 1, 6], 3.13.b_g_ba 
(-4, 5, 13), [9, 5, 0], 3.13.b_g_da 
(3, -2, 0), [3, 11, 0], 3.13.b_h_aca 
(0, 1, -6), [0, 1, 7], 3.13.b_h_ba 
(-2, 3, 0), [11, 3, 0], 3.13.b_h_da 
(0, 1, -5), [0, 1, 8], 3.13.b_i_ba 
(0, 1, -3), [0, 1, 10], 3.13.b_k_ba 
(2, -1, 0), [2, 12, 0], 3.13.b_l_aba 
(0, 1, -2), [0, 1, 11], 3.13.b_l_ba 
(-1, 2, 0), [12, 2, 0], 3.13.b_l_ca 
(0, 1, -1), [0, 1, 12], 3.13.b_m_ba 
(4, -3, 13), [4, 10, 0], 3.13.b_o_aba 
(0, 1, 1), [0, 1, 1], 3.13.b_o_ba 
(0, 1, 2), [0, 1, 2], 3.13.b_p_ba 
(0, 1, 3), [0, 1, 3], 3.13.b_q_ba 
(0, 1, 4), [0, 1, 4], 3.13.b_r_ba 
(0, 1, 5), [0, 1, 5], 3.13.b_s_ba 
(0, 1, 7), [0, 1, 7], 3.13.b_u_ba 
(0, 1, 8), [0, 1, 8], 3.13.b_v_ba 
(0, 1, 9), [0, 1, 9], 3.13.b_w_ba 
(0, 1, 10), [0, 1, 10], 3.13.b_x_ba 
(2, -1, 13), [2, 12, 0], 3.13.b_y_a 
(0, 1, 11), [0, 1, 11], 3.13.b_y_ba 
(0, 1, 12), [0, 1, 12], 3.13.b_z_ba 
(0, 1, 15), [0, 1, 2], 3.13.b_bc_ba 
(0, 1, 16), [0, 1, 3], 3.13.b_bd_ba 
(0, 1, 17), [0, 1, 4], 3.13.b_be_ba 
(0, 1, 18), [0, 1, 5], 3.13.b_bf_ba 
(0, 1, 19), [0, 1, 6], 3.13.b_bg_ba 
(0, 1, 21), [0, 1, 8], 3.13.b_bi_ba 
(0, 1, 22), [0, 1, 9], 3.13.b_bj_ba 
(7, -5, 13), [7, 8, 0], 3.13.c_aj_abn 
(3, -1, -13), [3, 12, 0], 3.13.c_ad_acn 
(5, -3, 0), [5, 10, 0], 3.13.c_ac_ada 
(1, 1, -13), [1, 1, 0], 3.13.c_b_n 
(6, -4, 13), [6, 9, 0], 3.13.c_c_aba 
(0, 2, -11), [0, 2, 2], 3.13.c_c_ca 
(0, 2, -10), [0, 2, 3], 3.13.c_d_ca 
(-6, 8, 39), [7, 8, 0], 3.13.c_e_aba 
(4, -2, 0), [4, 11, 0], 3.13.c_f_aca 
(0, 2, -8), [0, 2, 5], 3.13.c_f_ca 
(0, 2, -7), [0, 2, 6], 3.13.c_g_ca 
(0, 2, -6), [0, 2, 7], 3.13.c_h_ca 
(0, 2, -5), [0, 2, 8], 3.13.c_i_ca 
(0, 2, -4), [0, 2, 9], 3.13.c_j_ca 
(3, -1, 0), [3, 12, 0], 3.13.c_k_aba 
(0, 2, -3), [0, 2, 10], 3.13.c_k_ca 
(-1, 3, 0), [12, 3, 0], 3.13.c_k_da 
(5, -3, 13), [5, 10, 0], 3.13.c_l_an 
(0, 2, -2), [0, 2, 11], 3.13.c_l_ca 
(-3, 5, 13), [10, 5, 0], 3.13.c_l_dn 
(0, 2, -1), [0, 2, 12], 3.13.c_m_ca 
(1, 1, 0), [1, 1, 0], 3.13.c_o_ba 
(0, 2, 1), [0, 2, 1], 3.13.c_o_ca 
(0, 2, 3), [0, 2, 3], 3.13.c_q_ca 
(0, 2, 4), [0, 2, 4], 3.13.c_r_ca 
(4, -2, 13), [4, 11, 0], 3.13.c_s_a 
(0, 2, 5), [0, 2, 5], 3.13.c_s_ca 
(0, 2, 6), [0, 2, 6], 3.13.c_t_ca 
(0, 2, 7), [0, 2, 7], 3.13.c_u_ca 
(0, 2, 8), [0, 2, 8], 3.13.c_v_ca 
(0, 2, 9), [0, 2, 9], 3.13.c_w_ca 
(0, 2, 10), [0, 2, 10], 3.13.c_x_ca 
(-1, 3, 13), [12, 3, 0], 3.13.c_x_cn 
(0, 2, 12), [0, 2, 12], 3.13.c_z_ca 
(1, 1, 13), [1, 1, 0], 3.13.c_bb_bn 
(0, 2, 14), [0, 2, 1], 3.13.c_bb_ca 
(0, 2, 15), [0, 2, 2], 3.13.c_bc_ca 
(0, 2, 16), [0, 2, 3], 3.13.c_bd_ca 
(0, 2, 17), [0, 2, 4], 3.13.c_be_ca 
(0, 2, 19), [0, 2, 6], 3.13.c_bg_ca 
(0, 2, 20), [0, 2, 7], 3.13.c_bh_ca 
(0, 2, 21), [0, 2, 8], 3.13.c_bi_ca 
(0, 2, 22), [0, 2, 9], 3.13.c_bj_ca 
(0, 2, 24), [0, 2, 11], 3.13.c_bl_ca 
(6, -3, 0), [6, 10, 0], 3.13.d_af_ada 
(4, -1, -13), [4, 12, 0], 3.13.d_ae_ada 
(-6, 9, 39), [7, 9, 0], 3.13.d_ac_a 
