(4, 1, 11), [0, 1, 3], 3.8.f_x_ci 
(0, 5, 15), [0, 1, 3], 3.8.f_x_dc 
(4, 1, 13), [0, 1, 1], 3.8.f_z_cq 
(0, 5, 17), [0, 1, 1], 3.8.f_z_dc 
(4, 1, 15), [0, 1, 3], 3.8.f_bb_cy 
(0, 5, 19), [0, 1, 3], 3.8.f_bb_dc 
(0, 5, 21), [0, 1, 1], 3.8.f_bd_dc 
(5, 1, -8), [1, 1, 0], 3.8.g_f_ay 
(5, 1, 0), [1, 1, 0], 3.8.g_n_q 
(4, 2, 3), [0, 2, 3], 3.8.g_t_bs 
(4, 2, 5), [0, 2, 1], 3.8.g_v_ca 
(4, 2, 7), [0, 2, 3], 3.8.g_x_ci 
(4, 2, 9), [0, 2, 1], 3.8.g_z_cq 
(4, 2, 11), [0, 2, 3], 3.8.g_bb_cy 
(0, 6, 19), [0, 2, 3], 3.8.g_bb_ds 
(4, 3, 1), [0, 3, 1], 3.8.h_v_ca 
(4, 3, 3), [0, 3, 3], 3.8.h_x_ci 
(4, 3, 5), [0, 3, 1], 3.8.h_z_cq 
(4, 3, 7), [0, 3, 3], 3.8.h_bb_cy 
(4, 3, 9), [0, 3, 1], 3.8.h_bd_dg 
(4, 3, 11), [0, 3, 3], 3.8.h_bf_do 
(4, 3, 13), [0, 3, 1], 3.8.h_bh_dw 
(0, 7, 25), [0, 3, 1], 3.8.h_bh_ei 
(4, 3, 15), [0, 3, 3], 3.8.h_bj_ee 
(0, 7, 27), [0, 3, 3], 3.8.h_bj_ei 
(4, 3, 17), [0, 3, 1], 3.8.h_bl_em 
(5, 3, 4), [1, 3, 0], 3.8.i_bb_cq 
(5, 3, 8), [1, 3, 0], 3.8.i_bf_dk 
(4, 4, 7), [0, 0, 3], 3.8.i_bf_do 
(4, 4, 13), [0, 0, 1], 3.8.i_bl_em 
(4, 4, 15), [0, 0, 3], 3.8.i_bn_eu 
(1, 7, 24), [1, 3, 0], 3.8.i_bn_fg 
(4, 4, 17), [0, 0, 1], 3.8.i_bp_fc 
(4, 5, 13), [0, 1, 1], 3.8.j_bp_fc 
(4, 5, 15), [0, 1, 3], 3.8.j_br_fk 
(0, 9, 35), [0, 1, 3], 3.8.j_br_fo 
(4, 5, 17), [0, 1, 1], 3.8.j_bt_fs 
(4, 5, 19), [0, 1, 3], 3.8.j_bv_ga 
(4, 5, 21), [0, 1, 1], 3.8.j_bx_gi 
(4, 6, 19), [0, 2, 3], 3.8.k_bz_gq 
(3, 7, 24), [3, 3, 0], 3.8.k_cb_hc 
(4, 6, 23), [0, 2, 3], 3.8.k_cd_hg 
(4, 7, 25), [0, 3, 1], 3.8.l_cj_ie 
(4, 7, 27), [0, 3, 3], 3.8.l_cl_im 
(5, 7, 24), [1, 3, 0], 3.8.m_cp_iy 
(4, 9, 35), [0, 1, 3], 3.8.n_db_ky 
