(0, 0, -18), [0, 0, 2], 3.11.a_ah_a 
(0, 0, -17), [0, 0, 3], 3.11.a_ag_a 
(0, 0, -16), [0, 0, 0], 3.11.a_af_a 
(0, 0, -15), [0, 0, 1], 3.11.a_ae_a 
(0, 0, -13), [0, 0, 3], 3.11.a_ac_a 
(1, -1, -11), [1, 3, 1], 3.11.a_ab_abh 
(0, 0, -12), [0, 0, 0], 3.11.a_ab_a 
(-1, 1, -11), [3, 1, 1], 3.11.a_ab_bh 
(0, 0, -10), [0, 0, 2], 3.11.a_b_a 
(3, -3, 0), [3, 1, 0], 3.11.a_c_aco 
(0, 0, -9), [0, 0, 3], 3.11.a_c_a 
(-3, 3, 0), [1, 3, 0], 3.11.a_c_co 
(0, 0, -8), [0, 0, 0], 3.11.a_d_a 
(0, 0, -7), [0, 0, 1], 3.11.a_e_a 
(0, 0, -6), [0, 0, 2], 3.11.a_f_a 
(4, -4, 11), [0, 0, 3], 3.11.a_g_abs 
(0, 0, -5), [0, 0, 3], 3.11.a_g_a 
(-4, 4, 11), [0, 0, 3], 3.11.a_g_bs 
(2, -2, 0), [2, 2, 0], 3.11.a_h_abs 
(0, 0, -4), [0, 0, 0], 3.11.a_h_a 
(-2, 2, 0), [2, 2, 0], 3.11.a_h_bs 
(0, 0, -2), [0, 0, 2], 3.11.a_j_a 
(1, -1, 0), [1, 3, 0], 3.11.a_k_aw 
(0, 0, -1), [0, 0, 3], 3.11.a_k_a 
(-1, 1, 0), [3, 1, 0], 3.11.a_k_w 
(0, 0, 1), [0, 0, 1], 3.11.a_m_a 
(3, -3, 11), [3, 1, 3], 3.11.a_n_abh 
(0, 0, 2), [0, 0, 2], 3.11.a_n_a 
(-3, 3, 11), [1, 3, 3], 3.11.a_n_bh 
(0, 0, 4), [0, 0, 0], 3.11.a_p_a 
(0, 0, 5), [0, 0, 1], 3.11.a_q_a 
(0, 0, 7), [0, 0, 3], 3.11.a_s_a 
(0, 0, 8), [0, 0, 0], 3.11.a_t_a 
(0, 0, 9), [0, 0, 1], 3.11.a_u_a 
(1, -1, 11), [1, 3, 3], 3.11.a_v_al 
(0, 0, 10), [0, 0, 2], 3.11.a_v_a 
(-1, 1, 11), [3, 1, 3], 3.11.a_v_l 
(0, 0, 12), [0, 0, 0], 3.11.a_x_a 
(0, 0, 14), [0, 0, 2], 3.11.a_z_a 
(0, 0, 15), [0, 0, 3], 3.11.a_ba_a 
(0, 0, 16), [0, 0, 0], 3.11.a_bb_a 
(0, 0, 17), [0, 0, 1], 3.11.a_bc_a 
(0, 0, 19), [0, 0, 3], 3.11.a_be_a 
(0, 0, 20), [0, 0, 0], 3.11.a_bf_a 
(0, 1, -15), [0, 1, 1], 3.11.b_ae_w 
(0, 1, -14), [0, 1, 2], 3.11.b_ad_w 
(2, -1, -11), [2, 3, 1], 3.11.b_ac_abs 
(0, 1, -13), [0, 1, 3], 3.11.b_ac_w 
(4, -3, 0), [0, 1, 0], 3.11.b_ab_aco 
(0, 1, -12), [0, 1, 0], 3.11.b_ab_w 
(0, 1, -10), [0, 1, 2], 3.11.b_b_w 
(-6, 7, 33), [2, 3, 1], 3.11.b_c_abs 
(0, 1, -9), [0, 1, 3], 3.11.b_c_w 
(0, 1, -7), [0, 1, 1], 3.11.b_e_w 
(3, -2, 0), [3, 2, 0], 3.11.b_f_abs 
(0, 1, -6), [0, 1, 2], 3.11.b_f_w 
(-2, 3, 0), [2, 3, 0], 3.11.b_f_co 
(0, 1, -5), [0, 1, 3], 3.11.b_g_w 
(0, 1, -4), [0, 1, 0], 3.11.b_h_w 
(0, 1, -3), [0, 1, 1], 3.11.b_i_w 
(2, -1, 0), [2, 3, 0], 3.11.b_j_aw 
(0, 1, -2), [0, 1, 2], 3.11.b_j_w 
