(-5, -6, 36), [3, 2, 0], 3.25.al_dn_asm 
(-4, -7, 40), [0, 1, 0], 3.25.al_dp_atq 
(-5, -6, 38), [3, 2, 2], 3.25.al_dp_asw 
(-8, -3, 45), [0, 1, 1], 3.25.al_dq_atq 
(-5, -6, 42), [3, 2, 2], 3.25.al_dt_atq 
(-2, -9, 55), [2, 3, 3], 3.25.al_du_avo 
(-4, -7, 45), [0, 1, 1], 3.25.al_du_auk 
(-5, -6, 44), [3, 2, 0], 3.25.al_dv_aua 
(-5, -6, 46), [3, 2, 2], 3.25.al_dx_auk 
(-2, -9, 60), [2, 3, 0], 3.25.al_dz_avy 
(-5, -6, 48), [3, 2, 0], 3.25.al_dz_auu 
(-10, 0, -46), [2, 0, 2], 3.25.ak_av_rs 
(-10, 0, -34), [2, 0, 2], 3.25.ak_aj_nc 
(-10, 0, -32), [2, 0, 0], 3.25.ak_ah_mi 
(-9, -1, -30), [3, 3, 2], 3.25.ak_e_im 
(-10, 0, -18), [2, 0, 2], 3.25.ak_h_gy 
(-9, -1, -20), [3, 3, 0], 3.25.ak_o_fa 
(-9, -1, -15), [3, 3, 1], 3.25.ak_t_dh 
(-8, -2, -20), [0, 2, 0], 3.25.ak_v_ci 
(-10, 0, -2), [2, 0, 2], 3.25.ak_x_u 
(-10, 0, -1), [2, 0, 3], 3.25.ak_y_k 
(-9, -1, -10), [3, 3, 2], 3.25.ak_y_bo 
(-8, -2, -15), [0, 2, 1], 3.25.ak_ba_u 
(-10, 0, 2), [2, 0, 2], 3.25.ak_bb_au 
(-10, 0, 4), [2, 0, 0], 3.25.ak_bd_abo 
(-9, -1, -5), [3, 3, 3], 3.25.ak_bd_af 
(-10, 0, 6), [2, 0, 2], 3.25.ak_bf_aci 
(-7, -3, -15), [1, 1, 1], 3.25.ak_bf_abt 
(-8, -2, -10), [0, 2, 2], 3.25.ak_bf_au 
(-7, -3, -10), [1, 1, 2], 3.25.ak_bk_adc 
(-10, 0, 13), [2, 0, 1], 3.25.ak_bm_afa 
(-9, -1, 5), [3, 3, 1], 3.25.ak_bn_adr 
(-7, -3, -5), [1, 1, 3], 3.25.ak_bp_ael 
(-10, 0, 18), [2, 0, 2], 3.25.ak_br_agy 
(-6, -4, -5), [2, 0, 3], 3.25.ak_bs_ago 
(-9, -1, 10), [3, 3, 2], 3.25.ak_bs_afk 
(-10, 0, 22), [2, 0, 2], 3.25.ak_bv_aim 
(-9, -1, 15), [3, 3, 3], 3.25.ak_bx_ahd 
(-10, 0, 26), [2, 0, 2], 3.25.ak_bz_aka 
(5, -15, 101), [1, 1, 1], 3.25.ak_bz_ajl 
(-7, -3, 5), [1, 1, 1], 3.25.ak_bz_ahd 
(-8, -2, 10), [0, 2, 2], 3.25.ak_bz_agy 
(-5, -5, 2), [3, 3, 2], 3.25.ak_ca_aka 
(5, -15, 102), [1, 1, 2], 3.25.ak_ca_ajg 
(-5, -5, 3), [3, 3, 3], 3.25.ak_cb_akf 
(5, -15, 103), [1, 1, 3], 3.25.ak_cb_ajb 
(-5, -5, 4), [3, 3, 0], 3.25.ak_cc_akk 
(-10, 0, 31), [2, 0, 3], 3.25.ak_ce_aly 
(-5, -5, 6), [3, 3, 2], 3.25.ak_ce_aku 
(-5, -5, 7), [3, 3, 3], 3.25.ak_cf_akz 
(-5, -5, 8), [3, 3, 0], 3.25.ak_cg_ale 
(-5, -5, 9), [3, 3, 1], 3.25.ak_ch_alj 
(-6, -4, 10), [2, 0, 2], 3.25.ak_ch_aka 
(-5, -5, 11), [3, 3, 3], 3.25.ak_cj_alt 
(-8, -2, 20), [0, 2, 0], 3.25.ak_cj_aka 
(-7, -3, 15), [1, 1, 3], 3.25.ak_cj_ajv 
(-5, -5, 12), [3, 3, 0], 3.25.ak_ck_aly 
(-5, -5, 13), [3, 3, 1], 3.25.ak_cl_amd 
(-6, -4, 15), [2, 0, 3], 3.25.ak_cm_ale 
(-5, -5, 16), [3, 3, 0], 3.25.ak_co_ams 
(-7, -3, 20), [1, 1, 0], 3.25.ak_co_ale 
(-10, 0, 42), [2, 0, 2], 3.25.ak_cp_aqe 
(-5, -5, 17), [3, 3, 1], 3.25.ak_cp_amx 
(-5, -5, 18), [3, 3, 2], 3.25.ak_cq_anc 
(-4, -6, 20), [0, 2, 0], 3.25.ak_cr_aoq 
(-9, -1, 35), [3, 3, 3], 3.25.ak_cr_aob 
(-5, -5, 19), [3, 3, 3], 3.25.ak_cr_anh 
(-6, -4, 20), [2, 0, 0], 3.25.ak_cr_ami 
(3, -13, 85), [3, 3, 1], 3.25.ak_ct_apf 
(-5, -5, 21), [3, 3, 1], 3.25.ak_ct_anr 
(-8, -2, 30), [0, 2, 2], 3.25.ak_ct_anc 
(-5, -5, 22), [3, 3, 2], 3.25.ak_cu_anw 
