(-3, -11, 70), [1, 1, 2], 3.25.ao_ey_abdg 
(-5, -9, 62), [3, 3, 2], 3.25.ao_fc_abdg 
(-5, -9, 63), [3, 3, 3], 3.25.ao_fd_abdl 
(-5, -9, 66), [3, 3, 2], 3.25.ao_fg_abea 
(-5, -9, 67), [3, 3, 3], 3.25.ao_fh_abef 
(-5, -9, 69), [3, 3, 1], 3.25.ao_fj_abep 
(-10, -3, -19), [2, 1, 1], 3.25.an_bk_bo 
(-10, -3, -18), [2, 1, 2], 3.25.an_bl_be 
(-10, -3, -17), [2, 1, 3], 3.25.an_bm_u 
(-10, -3, -16), [2, 1, 0], 3.25.an_bn_k 
(-10, -3, -14), [2, 1, 2], 3.25.an_bp_ak 
(-10, -3, -13), [2, 1, 3], 3.25.an_bq_au 
(-10, -3, -12), [2, 1, 0], 3.25.an_br_abe 
(-10, -3, -11), [2, 1, 1], 3.25.an_bs_abo 
(-10, -3, -9), [2, 1, 3], 3.25.an_bu_aci 
(-10, -3, -8), [2, 1, 0], 3.25.an_bv_acs 
(-10, -3, -7), [2, 1, 1], 3.25.an_bw_adc 
(-10, -3, -6), [2, 1, 2], 3.25.an_bx_adm 
(-10, -3, -3), [2, 1, 1], 3.25.an_ca_aeq 
(-10, -3, -1), [2, 1, 3], 3.25.an_cc_afk 
(-10, -3, 1), [2, 1, 1], 3.25.an_ce_age 
(-9, -4, -5), [3, 0, 3], 3.25.an_ce_afz 
(-10, -3, 2), [2, 1, 2], 3.25.an_cf_ago 
(-10, -3, 3), [2, 1, 3], 3.25.an_cg_agy 
(-10, -3, 4), [2, 1, 0], 3.25.an_ch_ahi 
(-10, -3, 6), [2, 1, 2], 3.25.an_cj_aic 
(-10, -3, 7), [2, 1, 3], 3.25.an_ck_aim 
(-10, -3, 8), [2, 1, 0], 3.25.an_cl_aiw 
(-10, -3, 9), [2, 1, 1], 3.25.an_cm_ajg 
(-10, -3, 11), [2, 1, 3], 3.25.an_co_aka 
(-10, -3, 13), [2, 1, 1], 3.25.an_cq_aku 
(-10, -3, 14), [2, 1, 2], 3.25.an_cr_ale 
(-10, -3, 17), [2, 1, 1], 3.25.an_cu_ami 
(-10, -3, 18), [2, 1, 2], 3.25.an_cv_ams 
(-10, -3, 19), [2, 1, 3], 3.25.an_cw_anc 
(-10, -3, 21), [2, 1, 1], 3.25.an_cy_anw 
(-9, -4, 15), [3, 0, 3], 3.25.an_cy_amx 
(-10, -3, 23), [2, 1, 3], 3.25.an_da_aoq 
(-10, -3, 24), [2, 1, 0], 3.25.an_db_apa 
(-10, -3, 26), [2, 1, 2], 3.25.an_dd_apu 
(-10, -3, 27), [2, 1, 3], 3.25.an_de_aqe 
(-10, -3, 31), [2, 1, 3], 3.25.an_di_ars 
(-10, -3, 33), [2, 1, 1], 3.25.an_dk_asm 
(-10, -3, 36), [2, 1, 0], 3.25.an_dn_atq 
(-10, -3, 37), [2, 1, 1], 3.25.an_do_aua 
(-10, -3, 38), [2, 1, 2], 3.25.an_dp_auk 
(-10, -3, 39), [2, 1, 3], 3.25.an_dq_auu 
(-10, -3, 41), [2, 1, 1], 3.25.an_ds_avo 
(-5, -8, 31), [3, 0, 3], 3.25.an_ds_avj 
(-10, -3, 42), [2, 1, 2], 3.25.an_dt_avy 
(-10, -3, 43), [2, 1, 3], 3.25.an_du_awi 
(-5, -8, 33), [3, 0, 1], 3.25.an_du_avt 
(-10, -3, 47), [2, 1, 3], 3.25.an_dy_axw 
(-5, -8, 37), [3, 0, 1], 3.25.an_dy_awn 
(-7, -6, 35), [1, 2, 3], 3.25.an_dy_auz 
(-10, -3, 48), [2, 1, 0], 3.25.an_dz_ayg 
(-10, -3, 49), [2, 1, 1], 3.25.an_ea_ayq 
(-5, -8, 39), [3, 0, 3], 3.25.an_ea_awx 
(-10, -3, 51), [2, 1, 3], 3.25.an_ec_azk 
(-7, -6, 40), [1, 2, 0], 3.25.an_ed_awi 
(-5, -8, 43), [3, 0, 3], 3.25.an_ee_axr 
(-2, -11, 65), [2, 1, 1], 3.25.an_ei_abae 
(-5, -8, 47), [3, 0, 3], 3.25.an_ei_ayl 
(-7, -6, 45), [1, 2, 1], 3.25.an_ei_axr 
(-5, -8, 49), [3, 0, 1], 3.25.an_ek_ayv 
(-5, -8, 51), [3, 0, 3], 3.25.an_em_azf 
(-2, -11, 70), [2, 1, 2], 3.25.an_en_abao 
(-5, -8, 53), [3, 0, 1], 3.25.an_eo_azp 
(-5, -8, 56), [3, 0, 0], 3.25.an_er_abae 
(-6, -7, 55), [2, 1, 3], 3.25.an_es_abae 
(-5, -8, 59), [3, 0, 3], 3.25.an_eu_abat 
(-4, -9, 65), [0, 3, 1], 3.25.an_ew_abbi 
(-5, -8, 61), [3, 0, 1], 3.25.an_ew_abbd 
(-5, -8, 63), [3, 0, 3], 3.25.an_ey_abbn 
(-5, -8, 64), [3, 0, 0], 3.25.an_ez_abbs 
(-10, -2, -29), [2, 2, 3], 3.25.am_q_hi 
(-10, -2, -28), [2, 2, 0], 3.25.am_r_gy 
(-10, -2, -27), [2, 2, 1], 3.25.am_s_go 
(-10, -2, -26), [2, 2, 2], 3.25.am_t_ge 
(-10, -2, -24), [2, 2, 0], 3.25.am_v_fk 
