(0, -4, 25), [0, 12, 9], 3.16.ae_bp_aey 
(-4, 0, 25), [12, 0, 9], 3.16.ae_bp_adw 
(-1, -3, 24), [15, 13, 8], 3.16.ae_br_aeq 
(-4, 0, 27), [12, 0, 11], 3.16.ae_br_aee 
(-7, 5, 12), [9, 5, 12], 3.16.ac_ah_cy 
(-3, 1, -20), [13, 1, 12], 3.16.ac_ah_do 
(-4, 2, -15), [12, 2, 1], 3.16.ac_ah_eu 
(-4, 2, -13), [12, 2, 3], 3.16.ac_af_em 
(-1, -1, -20), [15, 15, 12], 3.16.ac_ad_am 
(7, -9, 44), [7, 7, 12], 3.16.ac_ad_u 
(-7, 5, 16), [9, 5, 0], 3.16.ac_ad_bw 
(-3, 1, -16), [13, 1, 0], 3.16.ac_ad_dc 
(-4, 2, -11), [12, 2, 5], 3.16.ac_ad_ee 
(-4, 2, -9), [12, 2, 7], 3.16.ac_ab_dw 
(0, -2, -15), [0, 14, 1], 3.16.ac_b_acm 
(-1, -1, -16), [15, 15, 0], 3.16.ac_b_aq 
(-7, 5, 20), [9, 5, 4], 3.16.ac_b_u 
(7, -9, 48), [7, 7, 0], 3.16.ac_b_bw 
(-3, 1, -12), [13, 1, 4], 3.16.ac_b_cq 
(-4, 2, -7), [12, 2, 9], 3.16.ac_b_do 
(-5, 3, 0), [11, 3, 0], 3.16.ac_b_ds 
(0, -2, -13), [0, 14, 3], 3.16.ac_d_acm 
(-4, 2, -5), [12, 2, 11], 3.16.ac_d_dg 
(0, -2, -11), [0, 14, 5], 3.16.ac_f_acm 
(-1, -1, -12), [15, 15, 4], 3.16.ac_f_au 
(-7, 5, 24), [9, 5, 8], 3.16.ac_f_ai 
(-3, 1, -8), [13, 1, 8], 3.16.ac_f_ce 
(0, -2, -9), [0, 14, 7], 3.16.ac_h_acm 
(-4, 2, -1), [12, 2, 15], 3.16.ac_h_cq 
(4, -6, 17), [4, 10, 1], 3.16.ac_j_aeu 
(1, -3, -4), [1, 13, 12], 3.16.ac_j_adw 
(5, -7, 28), [5, 9, 12], 3.16.ac_j_adg 
(0, -2, -7), [0, 14, 9], 3.16.ac_j_acm 
(-7, 5, 28), [9, 5, 12], 3.16.ac_j_abk 
(-1, -1, -8), [15, 15, 8], 3.16.ac_j_ay 
(-3, 1, -4), [13, 1, 12], 3.16.ac_j_bs 
(-4, 2, 1), [12, 2, 1], 3.16.ac_j_ci 
(4, -6, 19), [4, 10, 3], 3.16.ac_l_aem 
(0, -2, -5), [0, 14, 11], 3.16.ac_l_acm 
(4, -6, 21), [4, 10, 5], 3.16.ac_n_aee 
(1, -3, 0), [1, 13, 0], 3.16.ac_n_ads 
(-1, -1, -4), [15, 15, 12], 3.16.ac_n_abc 
(-3, 1, 0), [13, 1, 0], 3.16.ac_n_bg 
(-5, 3, 12), [11, 3, 12], 3.16.ac_n_bk 
(4, -6, 23), [4, 10, 7], 3.16.ac_p_adw 
(0, -2, -1), [0, 14, 15], 3.16.ac_p_acm 
(3, -5, 16), [3, 11, 0], 3.16.ac_r_aei 
(0, -2, 1), [0, 14, 1], 3.16.ac_r_acm 
(5, -7, 36), [5, 9, 4], 3.16.ac_r_abs 
(-1, -1, 0), [15, 15, 0], 3.16.ac_r_abg 
(-5, 3, 16), [11, 3, 0], 3.16.ac_r_q 
(-3, 1, 4), [13, 1, 4], 3.16.ac_r_u 
(4, -6, 27), [4, 10, 11], 3.16.ac_t_adg 
(0, -2, 3), [0, 14, 3], 3.16.ac_t_acm 
(3, -5, 20), [3, 11, 4], 3.16.ac_v_adw 
(4, -6, 29), [4, 10, 13], 3.16.ac_v_acy 
(0, -2, 5), [0, 14, 5], 3.16.ac_v_acm 
(-1, -1, 4), [15, 15, 4], 3.16.ac_v_abk 
(5, -7, 40), [5, 9, 8], 3.16.ac_v_ay 
(-5, 3, 20), [11, 3, 4], 3.16.ac_v_ae 
(-3, 1, 8), [13, 1, 8], 3.16.ac_v_i 
(-4, 2, 13), [12, 2, 13], 3.16.ac_v_m 
(4, -6, 31), [4, 10, 15], 3.16.ac_x_acq 
(0, -2, 7), [0, 14, 7], 3.16.ac_x_acm 
(-4, 2, 15), [12, 2, 15], 3.16.ac_x_e 
(3, -5, 24), [3, 11, 8], 3.16.ac_z_adk 
(1, -3, 12), [1, 13, 12], 3.16.ac_z_adg 
(0, -2, 9), [0, 14, 9], 3.16.ac_z_acm 
(4, -6, 33), [4, 10, 1], 3.16.ac_z_aci 
(-1, -1, 8), [15, 15, 8], 3.16.ac_z_abo 
(-5, 3, 24), [11, 3, 8], 3.16.ac_z_ay 
(0, -2, 11), [0, 14, 11], 3.16.ac_bb_acm 
(4, -6, 35), [4, 10, 3], 3.16.ac_bb_aca 
(-4, 2, 19), [12, 2, 3], 3.16.ac_bb_am 
(1, -3, 16), [1, 13, 0], 3.16.ac_bd_adc 
(3, -5, 28), [3, 11, 12], 3.16.ac_bd_acy 
(0, -2, 13), [0, 14, 13], 3.16.ac_bd_acm 
(-4, 2, 21), [12, 2, 5], 3.16.ac_bd_au 
(-3, 1, 16), [13, 1, 0], 3.16.ac_bd_aq 
(0, -2, 15), [0, 14, 15], 3.16.ac_bf_acm 
(4, -6, 39), [4, 10, 7], 3.16.ac_bf_abk 
(-4, 2, 23), [12, 2, 7], 3.16.ac_bf_abc 
(1, -3, 20), [1, 13, 4], 3.16.ac_bh_acy 
(-1, -1, 16), [15, 15, 0], 3.16.ac_bh_abw 
(-4, 2, 25), [12, 2, 9], 3.16.ac_bh_abk 
(0, -2, 19), [0, 14, 3], 3.16.ac_bj_acm 
(-4, 2, 27), [12, 2, 11], 3.16.ac_bj_abs 
(0, -2, 21), [0, 14, 5], 3.16.ac_bl_acm 
(-4, 2, 31), [12, 2, 15], 3.16.ac_bn_aci 
(0, -2, 25), [0, 14, 9], 3.16.ac_bp_acm 
(-1, -1, 24), [15, 15, 8], 3.16.ac_bp_ace 
(-3, 1, 28), [13, 1, 12], 3.16.ac_bp_aca 
(-1, -1, 28), [15, 15, 12], 3.16.ac_bt_aci 
(0, 0, -31), [0, 0, 1], 3.16.a_ap_a 
(0, 0, -29), [0, 0, 3], 3.16.a_an_a 
