(-6, 2, 2), [11, 2, 2], 3.17.ac_bf_ado 
(-5, -1, 4), [12, 16, 4], 3.17.ac_bg_abw 
(-4, -2, 4), [13, 15, 4], 3.17.ac_bj_abk 
(-3, -3, 4), [14, 14, 4], 3.17.ac_bk_abg 
(-5, 1, 2), [12, 1, 2], 3.17.ac_bm_ada 
(-4, -1, 3), [13, 16, 3], 3.17.ac_bo_ace 
(-3, -2, 3), [14, 15, 3], 3.17.ac_bq_aby 
(-4, 1, 1), [13, 1, 1], 3.17.ac_bs_acu 
(-3, -1, 2), [14, 16, 2], 3.17.ac_bu_ack 
(-2, -2, 2), [15, 15, 2], 3.17.ac_bv_aci 
(-2, -1, 1), [15, 16, 1], 3.17.ac_by_aco 
(-8, -1, 8), [9, 16, 8], 3.17.ab_an_be 
(-7, -2, 8), [10, 15, 8], 3.17.ab_ah_da 
(-6, -3, 8), [11, 14, 8], 3.17.ab_ad_eg 
(-5, -4, 8), [12, 13, 8], 3.17.ab_ab_ew 
(-8, 1, 6), [9, 1, 6], 3.17.ab_b_ade 
(-8, 2, 5), [9, 2, 5], 3.17.ab_f_aek 
(-8, 3, 4), [9, 3, 4], 3.17.ab_h_afa 
(-6, -2, 7), [11, 15, 7], 3.17.ab_h_by 
(-4, -4, 7), [13, 13, 7], 3.17.ab_l_da 
(-6, -1, 6), [11, 16, 6], 3.17.ab_p_c 
(-7, 2, 4), [10, 2, 4], 3.17.ab_r_adm 
(-5, -2, 6), [12, 15, 6], 3.17.ab_t_ba 
(-4, -3, 6), [13, 14, 6], 3.17.ab_v_bm 
(-6, 1, 4), [11, 1, 4], 3.17.ab_z_acg 
(-6, 2, 3), [11, 2, 3], 3.17.ab_bb_acs 
(-4, -2, 5), [13, 15, 5], 3.17.ab_bd_g 
(-5, 2, 2), [12, 2, 2], 3.17.ab_bj_acc 
(-4, -1, 4), [13, 16, 4], 3.17.ab_bj_as 
(-3, -2, 4), [14, 15, 4], 3.17.ab_bl_ak 
(-4, 1, 2), [13, 1, 2], 3.17.ab_bp_abq 
(-2, -2, 3), [15, 15, 3], 3.17.ab_br_aw 
(-8, 1, 7), [9, 1, 7], 3.17.a_ag_ace 
(-7, -1, 8), [10, 16, 8], 3.17.a_ag_ce 
(-8, 2, 6), [9, 2, 6], 3.17.a_ab_ads 
(-6, -2, 8), [11, 15, 8], 3.17.a_ab_ds 
(-8, 3, 5), [9, 3, 5], 3.17.a_c_aeq 
(-5, -3, 8), [12, 14, 8], 3.17.a_c_eq 
(-8, 4, 4), [9, 4, 4], 3.17.a_d_aey 
(-4, -4, 8), [13, 13, 8], 3.17.a_d_ey 
(-7, 1, 6), [10, 1, 6], 3.17.a_i_abq 
