(-1, 5, 6), [12, 5, 6], 3.13.k_cg_iw 
(1, 2, 7), [1, 2, 7], 3.13.k_ck_ko 
(1, 3, 6), [1, 3, 6], 3.13.k_co_ks 
(2, 2, 6), [2, 2, 6], 3.13.k_cp_ky 
(1, 4, 5), [1, 4, 5], 3.13.k_cq_ku 
(2, 3, 5), [2, 3, 5], 3.13.k_cs_le 
(2, 4, 4), [2, 4, 4], 3.13.k_ct_lg 
(-2, 6, 7), [11, 6, 7], 3.13.l_cd_hu 
(-1, 6, 6), [12, 6, 6], 3.13.l_cl_jq 
(2, 2, 7), [2, 2, 7], 3.13.l_ct_mc 
(1, 4, 6), [1, 4, 6], 3.13.l_cv_ly 
(-2, 7, 7), [11, 7, 7], 3.13.m_ci_ig 
(-1, 6, 7), [12, 6, 7], 3.13.m_cq_kk 
(1, 4, 7), [1, 4, 7], 3.13.m_da_nc 
(1, 5, 6), [1, 5, 6], 3.13.m_dc_ne 
(2, 3, 7), [2, 3, 7], 3.13.m_dc_nq 
(2, 4, 6), [2, 4, 6], 3.13.m_df_nw 
(2, 5, 5), [2, 5, 5], 3.13.m_dg_ny 
(3, 3, 6), [3, 3, 6], 3.13.m_dg_oc 
(4, 4, 4), [4, 4, 4], 3.13.m_dj_om 
(2, 4, 7), [2, 4, 7], 3.13.n_dl_pe 
(1, 6, 7), [1, 6, 7], 3.13.o_dq_pq 
(2, 6, 6), [2, 6, 6], 3.13.o_dv_qu 
(3, 5, 6), [3, 5, 6], 3.13.o_dy_rm 
(4, 4, 6), [4, 4, 6], 3.13.o_dz_rs 
