(-8, -2, 7), [17, 23, 7], 3.25.ad_v_abm 
(-9, 2, 4), [16, 2, 4], 3.25.ad_bd_aio 
(-8, -1, 6), [17, 24, 6], 3.25.ad_bd_ady 
(-6, -4, 7), [19, 21, 7], 3.25.ad_bd_s 
(-7, -2, 6), [18, 23, 6], 3.25.ad_bj_aco 
(-8, 1, 4), [17, 1, 4], 3.25.ad_bn_aha 
(-6, -3, 6), [19, 22, 6], 3.25.ad_bn_abq 
(-8, 2, 3), [17, 2, 3], 3.25.ad_bp_ahq 
(-7, 2, 2), [18, 2, 2], 3.25.ad_bz_agw 
(-6, -1, 4), [19, 24, 4], 3.25.ad_cb_aew 
(-6, 1, 2), [19, 1, 2], 3.25.ad_ch_agg 
(-4, -3, 4), [21, 22, 4], 3.25.ad_ch_ady 
(-4, -2, 3), [21, 23, 3], 3.25.ad_cn_aew 
(-4, -1, 2), [21, 24, 2], 3.25.ad_cr_afm 
(-3, -2, 2), [22, 23, 2], 3.25.ad_ct_afi 
(-9, -2, 9), [16, 23, 9], 3.25.ac_ag_ck 
(-8, -3, 9), [17, 22, 9], 3.25.ac_a_em 
(-9, -1, 8), [16, 24, 8], 3.25.ac_e_abc 
(-7, -4, 9), [18, 21, 9], 3.25.ac_e_fw 
(-8, -2, 8), [17, 23, 8], 3.25.ac_l_bc 
(-7, -3, 8), [18, 22, 8], 3.25.ac_q_cq 
(-9, 1, 6), [16, 1, 6], 3.25.ac_s_afy 
(-6, -4, 8), [19, 21, 8], 3.25.ac_t_do 
(-8, -1, 7), [17, 24, 7], 3.25.ac_u_abs 
(-9, 3, 4), [16, 3, 4], 3.25.ac_y_aia 
(-7, -2, 7), [18, 23, 7], 3.25.ac_ba_ac 
(-6, -3, 7), [19, 22, 7], 3.25.ac_be_ba 
(-7, -1, 6), [18, 24, 6], 3.25.ac_bi_acg 
(-8, 2, 4), [17, 2, 4], 3.25.ac_bj_agi 
(-8, 3, 3), [17, 3, 3], 3.25.ac_bk_agq 
(-6, -2, 6), [19, 23, 6], 3.25.ac_bn_abc 
(-4, -4, 6), [21, 21, 6], 3.25.ac_br_ae 
(-7, 1, 4), [18, 1, 4], 3.25.ac_bs_aey 
(-7, 2, 3), [18, 2, 3], 3.25.ac_bu_afm 
(-6, 1, 3), [19, 1, 3], 3.25.ac_cc_aeo 
(-6, 2, 2), [19, 2, 2], 3.25.ac_cd_aeu 
(-4, -2, 4), [21, 23, 4], 3.25.ac_ch_acq 
(-3, -3, 4), [22, 22, 4], 3.25.ac_ci_acm 
(-4, -1, 3), [21, 24, 3], 3.25.ac_cm_adk 
(-3, -2, 3), [22, 23, 3], 3.25.ac_co_ade 
(-4, 1, 1), [21, 1, 1], 3.25.ac_cq_aea 
(-3, -1, 2), [22, 24, 2], 3.25.ac_cs_adq 
(-2, -2, 2), [23, 23, 2], 3.25.ac_ct_ado 
(-2, -1, 1), [23, 24, 1], 3.25.ac_cw_adu 
(-8, -2, 9), [17, 23, 9], 3.25.ab_b_dq 
(-6, -4, 9), [19, 21, 9], 3.25.ab_j_gk 
(-8, -1, 8), [17, 24, 8], 3.25.ab_l_o 
(-9, 2, 6), [16, 2, 6], 3.25.ab_p_agc 
(-7, -2, 8), [18, 23, 8], 3.25.ab_r_ck 
(-9, 4, 4), [16, 4, 4], 3.25.ab_t_ahm 
(-6, -3, 8), [19, 22, 8], 3.25.ab_v_dq 
(-8, 1, 6), [17, 1, 6], 3.25.ab_z_adu 
(-8, 3, 4), [17, 3, 4], 3.25.ab_bf_afq 
(-6, -2, 7), [19, 23, 7], 3.25.ab_bf_bi 
(-4, -4, 7), [21, 21, 7], 3.25.ab_bj_ck 
(-6, -1, 6), [19, 24, 6], 3.25.ab_bn_ao 
(-7, 2, 4), [18, 2, 4], 3.25.ab_bp_aec 
(-4, -3, 6), [21, 22, 6], 3.25.ab_bt_w 
(-6, 1, 4), [19, 1, 4], 3.25.ab_bx_acw 
(-6, 2, 3), [19, 2, 3], 3.25.ab_bz_adi 
(-4, -1, 4), [21, 24, 4], 3.25.ab_ch_abi 
(-3, -2, 4), [22, 23, 4], 3.25.ab_cj_aba 
(-4, 1, 2), [21, 1, 2], 3.25.ab_cn_acg 
(-2, -2, 3), [23, 23, 3], 3.25.ab_cp_abm 
(-9, 1, 8), [16, 1, 8], 3.25.a_c_acu 
(-8, -1, 9), [17, 24, 9], 3.25.a_c_cu 
(-9, 2, 7), [16, 2, 7], 3.25.a_i_aew 
(-7, -2, 9), [18, 23, 9], 3.25.a_i_ew 
(-9, 3, 6), [16, 3, 6], 3.25.a_m_agg 
(-6, -3, 9), [19, 22, 9], 3.25.a_m_gg 
(-8, 1, 7), [17, 1, 7], 3.25.a_s_ace 
(-7, -1, 8), [18, 24, 8], 3.25.a_s_ce 
(-8, 2, 6), [17, 2, 6], 3.25.a_x_ads 
(-6, -2, 8), [19, 23, 8], 3.25.a_x_ds 
(-8, 4, 4), [17, 4, 4], 3.25.a_bb_aey 
(-4, -4, 8), [21, 21, 8], 3.25.a_bb_ey 
(-7, 1, 6), [18, 1, 6], 3.25.a_bg_abq 
(-6, -1, 7), [19, 24, 7], 3.25.a_bg_bq 
(-7, 3, 4), [18, 3, 4], 3.25.a_bm_adg 
(-4, -3, 7), [21, 22, 7], 3.25.a_bm_dg 
(-6, 2, 4), [19, 2, 4], 3.25.a_bv_abw 
(-4, -2, 6), [21, 23, 6], 3.25.a_bv_bw 
(-6, 3, 3), [19, 3, 3], 3.25.a_bw_acc 
(-3, -3, 6), [22, 22, 6], 3.25.a_bw_cc 
(-4, 1, 3), [21, 1, 3], 3.25.a_ck_am 
(-3, -1, 4), [22, 24, 4], 3.25.a_ck_m 
(-4, 2, 2), [21, 2, 2], 3.25.a_cl_aq 
(-2, -2, 4), [23, 23, 4], 3.25.a_cl_q 
(-3, 1, 2), [22, 1, 2], 3.25.a_cq_ag 
(-2, -1, 3), [23, 24, 3], 3.25.a_cq_g 
(-2, 1, 1), [23, 1, 1], 3.25.a_cu_ac 
(-1, -1, 2), [24, 24, 2], 3.25.a_cu_c 
(-9, 2, 8), [16, 2, 8], 3.25.b_b_adq 
(-9, 4, 6), [16, 4, 6], 3.25.b_j_agk 
(-8, 1, 8), [17, 1, 8], 3.25.b_l_ao 
(-6, -2, 9), [19, 23, 9], 3.25.b_p_gc 
(-8, 2, 7), [17, 2, 7], 3.25.b_r_ack 
(-4, -4, 9), [21, 21, 9], 3.25.b_t_hm 
(-8, 3, 6), [17, 3, 6], 3.25.b_v_adq 
(-6, -1, 8), [19, 24, 8], 3.25.b_z_du 
(-7, 2, 6), [18, 2, 6], 3.25.b_bf_abi 
(-4, -3, 8), [21, 22, 8], 3.25.b_bf_fq 
(-7, 4, 4), [18, 4, 4], 3.25.b_bj_ack 
(-6, 1, 6), [19, 1, 6], 3.25.b_bn_o 
(-4, -2, 7), [21, 23, 7], 3.25.b_bp_ec 
(-6, 3, 4), [19, 3, 4], 3.25.b_bt_aw 
(-4, -1, 6), [21, 24, 6], 3.25.b_bx_cw 
(-3, -2, 6), [22, 23, 6], 3.25.b_bz_di 
(-4, 1, 4), [21, 1, 4], 3.25.b_ch_bi 
(-4, 2, 3), [21, 2, 3], 3.25.b_cj_ba 
(-2, -1, 4), [23, 24, 4], 3.25.b_cn_cg 
(-3, 2, 2), [22, 2, 2], 3.25.b_cp_bm 
(-9, 2, 9), [16, 2, 9], 3.25.c_ag_ack 
(-9, 3, 8), [16, 3, 8], 3.25.c_a_aem 
(-9, 4, 7), [16, 4, 7], 3.25.c_e_afw 
(-8, 1, 9), [17, 1, 9], 3.25.c_e_bc 
(-8, 2, 8), [17, 2, 8], 3.25.c_l_abc 
(-8, 3, 7), [17, 3, 7], 3.25.c_q_acq 
(-6, -1, 9), [19, 24, 9], 3.25.c_s_fy 
(-8, 4, 6), [17, 4, 6], 3.25.c_t_ado 
(-7, 1, 8), [18, 1, 8], 3.25.c_u_bs 
(-4, -3, 9), [21, 22, 9], 3.25.c_y_ia 
(-7, 2, 7), [18, 2, 7], 3.25.c_ba_c 
