(-6, 2, 5), [2, 2, 1], 3.13.b_h_abi 
(-6, 3, 4), [2, 3, 0], 3.13.b_j_abu 
(-4, -1, 6), [0, 3, 2], 3.13.b_n_by 
(-3, -2, 6), [1, 2, 2], 3.13.b_p_ck 
(-5, 2, 4), [3, 2, 0], 3.13.b_r_ao 
(-4, 1, 4), [0, 1, 0], 3.13.b_x_k 
(-2, -2, 5), [2, 2, 1], 3.13.b_x_bu 
(-4, 2, 3), [0, 2, 3], 3.13.b_z_c 
(-2, -1, 4), [2, 3, 0], 3.13.b_bd_bi 
(-3, 2, 2), [1, 2, 2], 3.13.b_bf_o 
(-7, 2, 7), [1, 2, 3], 3.13.c_ak_abu 
(-7, 3, 6), [1, 3, 2], 3.13.c_ag_acw 
(-7, 4, 5), [1, 0, 1], 3.13.c_ae_adk 
(-6, 1, 7), [2, 1, 3], 3.13.c_ac_k 
(-6, 2, 6), [2, 2, 2], 3.13.c_d_au 
(-6, 3, 5), [2, 3, 1], 3.13.c_g_abm 
(-6, 4, 4), [2, 0, 0], 3.13.c_h_abs 
(-4, -1, 7), [0, 3, 3], 3.13.c_i_dc 
(-5, 1, 6), [3, 1, 2], 3.13.c_k_w 
(-3, -2, 7), [1, 2, 3], 3.13.c_k_dq 
(-5, 2, 5), [3, 2, 1], 3.13.c_o_c 
(-5, 3, 4), [3, 3, 0], 3.13.c_q_ai 
(-3, -1, 6), [1, 3, 2], 3.13.c_s_cs 
(-2, -2, 6), [2, 2, 2], 3.13.c_t_cy 
(-4, 1, 5), [0, 1, 1], 3.13.c_u_bg 
(-4, 2, 4), [0, 2, 0], 3.13.c_x_u 
(-4, 3, 3), [0, 3, 3], 3.13.c_y_q 
(-2, -1, 5), [2, 3, 1], 3.13.c_ba_ck 
(-3, 1, 4), [1, 1, 0], 3.13.c_bc_bo 
(-3, 2, 3), [1, 2, 3], 3.13.c_be_bi 
(-1, -1, 4), [3, 3, 0], 3.13.c_bg_ce 
(-2, 1, 3), [2, 1, 3], 3.13.c_bi_bu 
(-2, 2, 2), [2, 2, 2], 3.13.c_bj_bs 
(-1, 1, 2), [3, 1, 2], 3.13.c_bm_by 
(-7, 4, 6), [1, 0, 2], 3.13.d_ah_adm 
(-6, 2, 7), [2, 2, 3], 3.13.d_ab_ag 
(-6, 3, 6), [2, 3, 2], 3.13.d_d_abe 
(-6, 4, 5), [2, 0, 1], 3.13.d_f_abq 
(-5, 2, 6), [3, 2, 2], 3.13.d_l_s 
(-5, 4, 4), [3, 0, 0], 3.13.d_p_ac 
(-2, -2, 7), [2, 2, 3], 3.13.d_p_ec 
(-4, 1, 6), [0, 1, 2], 3.13.d_r_cc 
(-4, 2, 5), [0, 2, 1], 3.13.d_v_bm 
(-4, 3, 4), [0, 3, 0], 3.13.d_x_be 
(-2, -1, 6), [2, 3, 2], 3.13.d_x_dm 
(-3, 2, 4), [1, 2, 0], 3.13.d_bd_cc 
(-2, 1, 4), [2, 1, 0], 3.13.d_bh_cs 
(-2, 2, 3), [2, 2, 3], 3.13.d_bj_co 
(-7, 4, 7), [1, 0, 3], 3.13.e_ak_ado 
(-7, 5, 6), [1, 1, 2], 3.13.e_ai_aec 
(-6, 3, 7), [2, 3, 3], 3.13.e_a_aw 
(-6, 4, 6), [2, 0, 2], 3.13.e_d_abo 
(-6, 5, 5), [2, 1, 1], 3.13.e_e_abu 
(-5, 2, 7), [3, 2, 3], 3.13.e_i_bi 
(-5, 3, 6), [3, 3, 2], 3.13.e_m_o 
(-5, 4, 5), [3, 0, 1], 3.13.e_o_e 
(-4, 1, 7), [0, 1, 3], 3.13.e_o_cy 
(-4, 2, 6), [0, 2, 2], 3.13.e_t_ce 
(-2, -1, 7), [2, 3, 3], 3.13.e_u_eo 
(-4, 3, 5), [0, 3, 1], 3.13.e_w_bs 
(-4, 4, 4), [0, 0, 0], 3.13.e_x_bo 
(-3, 1, 6), [1, 1, 2], 3.13.e_y_di 
(-3, 2, 5), [1, 2, 1], 3.13.e_bc_cw 
(-1, -1, 6), [3, 3, 2], 3.13.e_bc_eg 
(-3, 3, 4), [1, 3, 0], 3.13.e_be_cq 
(-2, 1, 5), [2, 1, 1], 3.13.e_bg_dq 
(-2, 2, 4), [2, 2, 0], 3.13.e_bj_dk 
(-2, 3, 3), [2, 3, 3], 3.13.e_bk_di 
(-1, 1, 4), [3, 1, 0], 3.13.e_bm_dw 
(-1, 2, 3), [3, 2, 3], 3.13.e_bo_du 
(-7, 6, 6), [1, 2, 2], 3.13.f_aj_aes 
(-6, 4, 7), [2, 0, 3], 3.13.f_b_abm 
(-6, 5, 6), [2, 1, 2], 3.13.f_d_aby 
(-5, 4, 6), [3, 0, 2], 3.13.f_n_k 
(-4, 2, 7), [0, 2, 3], 3.13.f_r_cw 
(-4, 3, 6), [0, 3, 2], 3.13.f_v_cg 
(-4, 4, 5), [0, 0, 1], 3.13.f_x_by 
(-3, 2, 6), [1, 2, 2], 3.13.f_bb_dq 
(-3, 4, 4), [1, 0, 0], 3.13.f_bf_de 
(-2, 1, 6), [2, 1, 2], 3.13.f_bf_eo 
(-2, 2, 5), [2, 2, 1], 3.13.f_bj_eg 
(-2, 3, 4), [2, 3, 0], 3.13.f_bl_ec 
(-1, 2, 4), [3, 2, 0], 3.13.f_bp_es 
(-7, 6, 7), [1, 2, 3], 3.13.g_ak_afi 
(-6, 5, 7), [2, 1, 3], 3.13.g_c_acc 
(-6, 6, 6), [2, 2, 2], 3.13.g_d_aci 
(-5, 4, 7), [3, 0, 3], 3.13.g_m_q 
(-5, 5, 6), [3, 1, 2], 3.13.g_o_g 
(-4, 3, 7), [0, 3, 3], 3.13.g_u_cu 
(-4, 4, 6), [0, 0, 2], 3.13.g_x_ci 
(-4, 5, 5), [0, 1, 1], 3.13.g_y_ce 
(-3, 2, 7), [1, 2, 3], 3.13.g_ba_ek 
(-3, 3, 6), [1, 3, 2], 3.13.g_be_dy 
(-2, 1, 7), [2, 1, 3], 3.13.g_be_fm 
(-3, 4, 5), [1, 0, 1], 3.13.g_bg_ds 
