(-6, -2, 8), [13, 17, 8], 3.19.a_f_ds 
(-8, 3, 5), [11, 3, 5], 3.19.a_i_aeq 
(-5, -3, 8), [14, 16, 8], 3.19.a_i_eq 
(-8, 4, 4), [11, 4, 4], 3.19.a_j_aey 
(-4, -4, 8), [15, 15, 8], 3.19.a_j_ey 
(-7, 1, 6), [12, 1, 6], 3.19.a_o_abq 
(-6, -1, 7), [13, 18, 7], 3.19.a_o_bq 
(-7, 2, 5), [12, 2, 5], 3.19.a_s_acs 
(-5, -2, 7), [14, 17, 7], 3.19.a_s_cs 
(-7, 3, 4), [12, 3, 4], 3.19.a_u_adg 
(-4, -3, 7), [15, 16, 7], 3.19.a_u_dg 
(-6, 1, 5), [13, 1, 5], 3.19.a_ba_abe 
(-5, -1, 6), [14, 18, 6], 3.19.a_ba_be 
(-6, 2, 4), [13, 2, 4], 3.19.a_bd_abw 
(-4, -2, 6), [15, 17, 6], 3.19.a_bd_bw 
(-6, 3, 3), [13, 3, 3], 3.19.a_be_acc 
(-3, -3, 6), [16, 16, 6], 3.19.a_be_cc 
(-5, 1, 4), [14, 1, 4], 3.19.a_bk_au 
(-4, -1, 5), [15, 18, 5], 3.19.a_bk_u 
(-5, 2, 3), [14, 2, 3], 3.19.a_bm_abe 
(-3, -2, 5), [16, 17, 5], 3.19.a_bm_be 
(-4, 1, 3), [15, 1, 3], 3.19.a_bs_am 
(-3, -1, 4), [16, 18, 4], 3.19.a_bs_m 
(-4, 2, 2), [15, 2, 2], 3.19.a_bt_aq 
(-2, -2, 4), [17, 17, 4], 3.19.a_bt_q 
(-3, 1, 2), [16, 1, 2], 3.19.a_by_ag 
(-2, -1, 3), [17, 18, 3], 3.19.a_by_g 
(-2, 1, 1), [17, 1, 1], 3.19.a_cc_ac 
(-1, -1, 2), [18, 18, 2], 3.19.a_cc_c 
(-8, 1, 8), [11, 1, 8], 3.19.b_ah_aba 
(-8, 2, 7), [11, 2, 7], 3.19.b_ab_acw 
(-8, 3, 6), [11, 3, 6], 3.19.b_d_aec 
(-8, 4, 5), [11, 4, 5], 3.19.b_f_aes 
(-6, -1, 8), [13, 18, 8], 3.19.b_h_di 
(-5, -2, 8), [14, 17, 8], 3.19.b_l_eo 
(-7, 2, 6), [12, 2, 6], 3.19.b_n_abu 
(-4, -3, 8), [15, 16, 8], 3.19.b_n_fe 
(-7, 4, 4), [12, 4, 4], 3.19.b_r_acw 
(-6, 1, 6), [13, 1, 6], 3.19.b_v_c 
(-4, -2, 7), [15, 17, 7], 3.19.b_x_dq 
(-6, 2, 5), [13, 2, 5], 3.19.b_z_aw 
(-6, 3, 4), [13, 3, 4], 3.19.b_bb_abi 
(-4, -1, 6), [15, 18, 6], 3.19.b_bf_ck 
(-3, -2, 6), [16, 17, 6], 3.19.b_bh_cw 
(-5, 2, 4), [14, 2, 4], 3.19.b_bj_ac 
(-4, 1, 4), [15, 1, 4], 3.19.b_bp_w 
(-2, -2, 5), [17, 17, 5], 3.19.b_bp_cg 
(-4, 2, 3), [15, 2, 3], 3.19.b_br_o 
(-2, -1, 4), [17, 18, 4], 3.19.b_bv_bu 
(-3, 2, 2), [16, 2, 2], 3.19.b_bx_ba 
(-8, 2, 8), [11, 2, 8], 3.19.c_ah_aca 
(-8, 3, 7), [11, 3, 7], 3.19.c_ac_ado 
(-8, 4, 6), [11, 4, 6], 3.19.c_b_aem 
(-8, 5, 5), [11, 5, 5], 3.19.c_c_aeu 
(-7, 1, 8), [12, 1, 8], 3.19.c_c_u 
(-7, 2, 7), [12, 2, 7], 3.19.c_i_aw 
(-7, 3, 6), [12, 3, 6], 3.19.c_m_aby 
(-7, 4, 5), [12, 4, 5], 3.19.c_o_acm 
(-5, -1, 8), [14, 18, 8], 3.19.c_o_em 
(-6, 1, 7), [13, 1, 7], 3.19.c_q_bi 
(-4, -2, 8), [15, 17, 8], 3.19.c_r_fk 
(-3, -3, 8), [16, 16, 8], 3.19.c_s_fs 
(-6, 2, 6), [13, 2, 6], 3.19.c_v_e 
(-6, 3, 5), [13, 3, 5], 3.19.c_y_ao 
(-6, 4, 4), [13, 4, 4], 3.19.c_z_au 
(-4, -1, 7), [15, 18, 7], 3.19.c_ba_ea 
(-5, 1, 6), [14, 1, 6], 3.19.c_bc_bu 
(-3, -2, 7), [16, 17, 7], 3.19.c_bc_eo 
(-5, 2, 5), [14, 2, 5], 3.19.c_bg_ba 
(-5, 3, 4), [14, 3, 4], 3.19.c_bi_q 
(-3, -1, 6), [16, 18, 6], 3.19.c_bk_dq 
(-2, -2, 6), [17, 17, 6], 3.19.c_bl_dw 
(-4, 1, 5), [15, 1, 5], 3.19.c_bm_ce 
(-4, 2, 4), [15, 2, 4], 3.19.c_bp_bs 
(-4, 3, 3), [15, 3, 3], 3.19.c_bq_bo 
(-2, -1, 5), [17, 18, 5], 3.19.c_bs_di 
(-3, 1, 4), [16, 1, 4], 3.19.c_bu_cm 
(-3, 2, 3), [16, 2, 3], 3.19.c_bw_cg 
(-1, -1, 4), [18, 18, 4], 3.19.c_by_dc 
(-2, 1, 3), [17, 1, 3], 3.19.c_ca_cs 
(-2, 2, 2), [17, 2, 2], 3.19.c_cb_cq 
(-1, 1, 2), [18, 1, 2], 3.19.c_ce_cw 
(-8, 3, 8), [11, 3, 8], 3.19.d_ah_ada 
(-8, 4, 7), [11, 4, 7], 3.19.d_ad_aeg 
(-8, 5, 6), [11, 5, 6], 3.19.d_ab_aew 
(-7, 2, 8), [12, 2, 8], 3.19.d_d_c 
(-7, 4, 6), [12, 4, 6], 3.19.d_l_acc 
(-6, 1, 8), [13, 1, 8], 3.19.d_l_co 
(-6, 2, 7), [13, 2, 7], 3.19.d_r_be 
(-6, 3, 6), [13, 3, 6], 3.19.d_v_g 
(-4, -1, 8), [15, 18, 8], 3.19.d_v_fq 
(-6, 4, 5), [13, 4, 5], 3.19.d_x_ag 
(-3, -2, 8), [16, 17, 8], 3.19.d_x_gg 
(-5, 2, 6), [14, 2, 6], 3.19.d_bd_cc 
(-5, 4, 4), [14, 4, 4], 3.19.d_bh_bi 
(-2, -2, 7), [17, 17, 7], 3.19.d_bh_fm 
(-4, 1, 6), [15, 1, 6], 3.19.d_bj_dm 
(-4, 2, 5), [15, 2, 5], 3.19.d_bn_cw 
(-4, 3, 4), [15, 3, 4], 3.19.d_bp_co 
(-2, -1, 6), [17, 18, 6], 3.19.d_bp_ew 
(-3, 2, 4), [16, 2, 4], 3.19.d_bv_dm 
(-2, 1, 4), [17, 1, 4], 3.19.d_bz_ec 
(-2, 2, 3), [17, 2, 3], 3.19.d_cb_dy 
(-8, 4, 8), [11, 4, 8], 3.19.e_ah_aea 
(-8, 5, 7), [11, 5, 7], 3.19.e_ae_aey 
(-8, 6, 6), [11, 6, 6], 3.19.e_ad_afg 
(-7, 3, 8), [12, 3, 8], 3.19.e_e_aq 
(-7, 4, 7), [12, 4, 7], 3.19.e_i_abs 
(-7, 5, 6), [12, 5, 6], 3.19.e_k_acg 
(-6, 2, 8), [13, 2, 8], 3.19.e_n_ce 
(-6, 3, 7), [13, 3, 7], 3.19.e_s_ba 
(-5, 1, 8), [14, 1, 8], 3.19.e_u_ei 
(-6, 4, 6), [13, 4, 6], 3.19.e_v_i 
(-6, 5, 5), [13, 5, 5], 3.19.e_w_c 
(-5, 2, 7), [14, 2, 7], 3.19.e_ba_de 
(-3, -1, 8), [16, 18, 8], 3.19.e_bc_gu 
(-2, -2, 8), [17, 17, 8], 3.19.e_bd_hc 
(-5, 3, 6), [14, 3, 6], 3.19.e_be_ck 
(-5, 4, 5), [14, 4, 5], 3.19.e_bg_ca 
(-4, 1, 7), [15, 1, 7], 3.19.e_bg_eu 
(-4, 2, 6), [15, 2, 6], 3.19.e_bl_ea 
(-2, -1, 7), [17, 18, 7], 3.19.e_bm_gk 
(-4, 3, 5), [15, 3, 5], 3.19.e_bo_do 
(-4, 4, 4), [15, 4, 4], 3.19.e_bp_dk 
(-3, 1, 6), [16, 1, 6], 3.19.e_bq_fe 
(-3, 2, 5), [16, 2, 5], 3.19.e_bu_es 
(-1, -1, 6), [18, 18, 6], 3.19.e_bu_gc 
(-3, 3, 4), [16, 3, 4], 3.19.e_bw_em 
(-2, 1, 5), [17, 1, 5], 3.19.e_by_fm 
(-2, 2, 4), [17, 2, 4], 3.19.e_cb_fg 
