(-8, -6, 8), [0, 2, 0], 3.23.ag_f_ee 
(-7, -7, 8), [1, 1, 0], 3.23.ag_g_em 
(-9, -4, 7), [3, 0, 3], 3.23.ag_o_ay 
(-8, -5, 7), [0, 3, 3], 3.23.ag_s_e 
(-7, -6, 7), [1, 2, 3], 3.23.ag_u_s 
(-9, -3, 6), [3, 1, 2], 3.23.ag_y_aek 
(-8, -4, 6), [0, 0, 2], 3.23.ag_bd_adg 
(-9, -2, 5), [3, 2, 1], 3.23.ag_bg_ahe 
(-7, -5, 6), [1, 3, 2], 3.23.ag_bg_aco 
(-6, -6, 6), [2, 2, 2], 3.23.ag_bh_aci 
(-9, -1, 4), [3, 3, 0], 3.23.ag_bm_ajg 
(-8, -3, 5), [0, 1, 1], 3.23.ag_bm_aga 
(-7, -4, 5), [1, 0, 1], 3.23.ag_bq_afg 
(-9, 1, 2), [3, 1, 2], 3.23.ag_bs_ali 
(-6, -5, 5), [2, 3, 1], 3.23.ag_bs_aew 
(-8, -2, 4), [0, 2, 0], 3.23.ag_bt_aie 
(-8, -1, 3), [0, 3, 3], 3.23.ag_by_ajs 
(-7, -3, 4), [1, 1, 0], 3.23.ag_by_ahk 
(-6, -4, 4), [2, 0, 0], 3.23.ag_cb_agy 
(-8, 1, 1), [0, 1, 1], 3.23.ag_cc_aky 
(-5, -5, 4), [3, 3, 0], 3.23.ag_cc_agu 
(-7, -2, 3), [1, 2, 3], 3.23.ag_ce_aja 
(-7, -1, 2), [1, 3, 2], 3.23.ag_ci_akc 
(-6, -3, 3), [2, 1, 3], 3.23.ag_ci_aio 
(-5, -4, 3), [3, 0, 3], 3.23.ag_ck_aii 
(-6, -2, 2), [2, 2, 2], 3.23.ag_cn_ajs 
(-6, -1, 1), [2, 3, 1], 3.23.ag_cq_akk 
(-5, -3, 2), [3, 1, 2], 3.23.ag_cq_ajm 
(-4, -4, 2), [0, 0, 2], 3.23.ag_cr_ajk 
(-5, -2, 1), [3, 2, 1], 3.23.ag_cu_akg 
(-4, -3, 1), [0, 1, 1], 3.23.ag_cw_ake 
(-4, -1, -1), [0, 3, 3], 3.23.ag_da_aku 
(-2, -2, -2), [2, 2, 2], 3.23.ag_dd_aky 
(-8, -6, 9), [0, 2, 1], 3.23.af_aj_hu 
(-9, -4, 8), [3, 0, 0], 3.23.af_b_cg 
(-8, -5, 8), [0, 3, 0], 3.23.af_f_dm 
(-7, -6, 8), [1, 2, 0], 3.23.af_h_ec 
(-8, -4, 7), [0, 0, 3], 3.23.af_r_ag 
