(-7, 2, 2), [1, 2, 2], 3.17.ad_bb_afa 
(-4, -4, 5), [0, 0, 1], 3.17.ad_bb_aw 
(-6, -1, 4), [2, 3, 0], 3.17.ad_bd_ada 
(-5, -2, 4), [3, 2, 0], 3.17.ad_bh_ack 
(-6, 1, 2), [2, 1, 2], 3.17.ad_bj_aek 
(-4, -3, 4), [0, 1, 0], 3.17.ad_bj_acc 
(-4, -2, 3), [0, 2, 3], 3.17.ad_bp_ada 
(-4, -1, 2), [0, 3, 2], 3.17.ad_bt_adq 
(-3, -2, 2), [1, 2, 2], 3.17.ad_bv_adm 
(-8, -2, 8), [0, 2, 0], 3.17.ac_an_ci 
(-7, -3, 8), [1, 1, 0], 3.17.ac_ai_dw 
(-6, -4, 8), [2, 0, 0], 3.17.ac_af_eu 
(-8, -1, 7), [0, 3, 3], 3.17.ac_ae_am 
(-5, -5, 8), [3, 3, 0], 3.17.ac_ae_fc 
(-7, -2, 7), [1, 2, 3], 3.17.ac_c_be 
(-6, -3, 7), [2, 1, 3], 3.17.ac_g_cg 
(-8, 1, 5), [0, 1, 1], 3.17.ac_i_aee 
(-5, -4, 7), [3, 0, 3], 3.17.ac_i_cu 
(-7, -1, 6), [1, 3, 2], 3.17.ac_k_aba 
(-8, 2, 4), [0, 2, 0], 3.17.ac_l_afc 
(-8, 3, 3), [0, 3, 3], 3.17.ac_m_afk 
(-6, -2, 6), [2, 2, 2], 3.17.ac_p_e 
(-5, -3, 6), [3, 1, 2], 3.17.ac_s_w 
(-4, -4, 6), [0, 0, 2], 3.17.ac_t_bc 
(-7, 1, 4), [1, 1, 0], 3.17.ac_u_ads 
(-7, 2, 3), [1, 2, 3], 3.17.ac_w_aeg 
(-6, -1, 5), [2, 3, 1], 3.17.ac_w_abm 
(-5, -2, 5), [3, 2, 1], 3.17.ac_ba_as 
(-4, -3, 5), [0, 1, 1], 3.17.ac_bc_ai 
(-6, 1, 3), [2, 1, 3], 3.17.ac_be_adi 
(-6, 2, 2), [2, 2, 2], 3.17.ac_bf_ado 
(-5, -1, 4), [3, 3, 0], 3.17.ac_bg_abw 
(-4, -2, 4), [0, 2, 0], 3.17.ac_bj_abk 
(-3, -3, 4), [1, 1, 0], 3.17.ac_bk_abg 
(-5, 1, 2), [3, 1, 2], 3.17.ac_bm_ada 
(-4, -1, 3), [0, 3, 3], 3.17.ac_bo_ace 
(-3, -2, 3), [1, 2, 3], 3.17.ac_bq_aby 
(-4, 1, 1), [0, 1, 1], 3.17.ac_bs_acu 
(-3, -1, 2), [1, 3, 2], 3.17.ac_bu_ack 
(-2, -2, 2), [2, 2, 2], 3.17.ac_bv_aci 
(-2, -1, 1), [2, 3, 1], 3.17.ac_by_aco 
(-8, -1, 8), [0, 3, 0], 3.17.ab_an_be 
(-7, -2, 8), [1, 2, 0], 3.17.ab_ah_da 
(-6, -3, 8), [2, 1, 0], 3.17.ab_ad_eg 
(-5, -4, 8), [3, 0, 0], 3.17.ab_ab_ew 
(-8, 1, 6), [0, 1, 2], 3.17.ab_b_ade 
(-8, 2, 5), [0, 2, 1], 3.17.ab_f_aek 
(-8, 3, 4), [0, 3, 0], 3.17.ab_h_afa 
(-6, -2, 7), [2, 2, 3], 3.17.ab_h_by 
(-4, -4, 7), [0, 0, 3], 3.17.ab_l_da 
(-6, -1, 6), [2, 3, 2], 3.17.ab_p_c 
(-7, 2, 4), [1, 2, 0], 3.17.ab_r_adm 
(-5, -2, 6), [3, 2, 2], 3.17.ab_t_ba 
(-4, -3, 6), [0, 1, 2], 3.17.ab_v_bm 
(-6, 1, 4), [2, 1, 0], 3.17.ab_z_acg 
(-6, 2, 3), [2, 2, 3], 3.17.ab_bb_acs 
(-4, -2, 5), [0, 2, 1], 3.17.ab_bd_g 
(-5, 2, 2), [3, 2, 2], 3.17.ab_bj_acc 
(-4, -1, 4), [0, 3, 0], 3.17.ab_bj_as 
(-3, -2, 4), [1, 2, 0], 3.17.ab_bl_ak 
(-4, 1, 2), [0, 1, 2], 3.17.ab_bp_abq 
(-2, -2, 3), [2, 2, 3], 3.17.ab_br_aw 
(-8, 1, 7), [0, 1, 3], 3.17.a_ag_ace 
(-7, -1, 8), [1, 3, 0], 3.17.a_ag_ce 
(-8, 2, 6), [0, 2, 2], 3.17.a_ab_ads 
(-6, -2, 8), [2, 2, 0], 3.17.a_ab_ds 
(-8, 3, 5), [0, 3, 1], 3.17.a_c_aeq 
(-5, -3, 8), [3, 1, 0], 3.17.a_c_eq 
(-8, 4, 4), [0, 0, 0], 3.17.a_d_aey 
(-4, -4, 8), [0, 0, 0], 3.17.a_d_ey 
(-7, 1, 6), [1, 1, 2], 3.17.a_i_abq 
(-6, -1, 7), [2, 3, 3], 3.17.a_i_bq 
(-7, 2, 5), [1, 2, 1], 3.17.a_m_acs 
(-5, -2, 7), [3, 2, 3], 3.17.a_m_cs 
