(1, 8, 8), [1, 8, 8], 3.17.r_fb_ys 
(2, 7, 8), [2, 7, 8], 3.17.r_fh_bao 
(3, 7, 7), [3, 7, 7], 3.17.r_fm_bbx 
(4, 5, 8), [4, 5, 8], 3.17.r_fn_bck 
(4, 6, 7), [4, 6, 7], 3.17.r_fp_bcs 
(5, 5, 7), [5, 5, 7], 3.17.r_fq_bcz 
(5, 6, 6), [5, 6, 6], 3.17.r_fr_bde 
(3, 7, 8), [3, 7, 8], 3.17.s_fw_bea 
(5, 5, 8), [5, 5, 8], 3.17.s_ga_bfg 
(5, 6, 7), [5, 6, 7], 3.17.s_gc_bfq 
(3, 8, 8), [3, 8, 8], 3.17.t_gh_bgg 
(4, 7, 8), [4, 7, 8], 3.17.t_gl_bhm 
(5, 6, 8), [5, 6, 8], 3.17.t_gn_bic 
(5, 7, 7), [5, 7, 7], 3.17.t_go_bih 
(6, 6, 7), [6, 6, 7], 3.17.t_gp_bio 
(4, 8, 8), [4, 8, 8], 3.17.u_gx_bka 
(5, 7, 8), [5, 7, 8], 3.17.u_ha_bky 
(6, 6, 8), [6, 6, 8], 3.17.u_hb_blg 
(6, 7, 7), [6, 7, 7], 3.17.u_hc_blm 
(5, 8, 8), [5, 8, 8], 3.17.v_hn_bnu 
(6, 7, 8), [6, 7, 8], 3.17.v_hp_bok 
(7, 7, 7), [7, 7, 7], 3.17.v_hq_bor 
(6, 8, 8), [6, 8, 8], 3.17.w_id_bro 
(7, 7, 8), [7, 7, 8], 3.17.w_ie_brw 
(7, 8, 8), [7, 8, 8], 3.17.x_it_bvi 
(8, 8, 8), [8, 8, 8], 3.17.y_jj_bzc 
