(-3, -12, 73), [22, 13, 23], 3.25.ap_fe_abfn 
(-2, -13, 83), [23, 12, 8], 3.25.ap_fe_abfk 
(-7, -8, 53), [18, 17, 3], 3.25.ap_fe_abdr 
(-3, -12, 74), [22, 13, 24], 3.25.ap_ff_abfq 
(-7, -8, 54), [18, 17, 4], 3.25.ap_ff_abdy 
(-9, -6, 57), [16, 19, 7], 3.25.ap_fg_abfh 
(-1, -14, 97), [24, 11, 22], 3.25.ap_fg_aber 
(-3, -12, 76), [22, 13, 1], 3.25.ap_fh_abfw 
(-7, -8, 56), [18, 17, 6], 3.25.ap_fh_abem 
(-3, -12, 78), [22, 13, 3], 3.25.ap_fj_abgc 
(-7, -8, 58), [18, 17, 8], 3.25.ap_fj_abfa 
(-3, -12, 79), [22, 13, 4], 3.25.ap_fk_abgf 
(-7, -8, 59), [18, 17, 9], 3.25.ap_fk_abfh 
(-3, -12, 81), [22, 13, 6], 3.25.ap_fm_abgl 
(-7, -8, 61), [18, 17, 11], 3.25.ap_fm_abfv 
(-3, -12, 83), [22, 13, 8], 3.25.ap_fo_abgr 
(-7, -8, 63), [18, 17, 13], 3.25.ap_fo_abgj 
(-4, -11, 76), [21, 14, 1], 3.25.ap_fp_abgw 
(-3, -12, 84), [22, 13, 9], 3.25.ap_fp_abgu 
(-6, -9, 66), [19, 16, 16], 3.25.ap_fp_abgo 
(-4, -11, 77), [21, 14, 2], 3.25.ap_fq_abha 
(-6, -9, 67), [19, 16, 17], 3.25.ap_fq_abgu 
(-4, -11, 79), [21, 14, 4], 3.25.ap_fs_abhi 
(-6, -9, 69), [19, 16, 19], 3.25.ap_fs_abhg 
(-9, -5, 11), [16, 20, 11], 3.25.ao_dd_anl 
(-9, -5, 13), [16, 20, 13], 3.25.ao_df_aod 
(-9, -5, 17), [16, 20, 17], 3.25.ao_dj_apn 
(-9, -5, 19), [16, 20, 19], 3.25.ao_dl_aqf 
(-8, -6, 31), [17, 19, 6], 3.25.ao_ea_avc 
(-8, -6, 33), [17, 19, 8], 3.25.ao_ec_avs 
(-8, -6, 37), [17, 19, 12], 3.25.ao_eg_awy 
(-2, -12, 71), [23, 13, 21], 3.25.ao_eq_abco 
(-7, -7, 47), [18, 18, 22], 3.25.ao_er_abad 
(-7, -7, 49), [18, 18, 24], 3.25.ao_et_abar 
(-7, -7, 51), [18, 18, 1], 3.25.ao_ev_abbf 
(-7, -7, 53), [18, 18, 3], 3.25.ao_ex_abbt 
(-3, -11, 71), [22, 14, 21], 3.25.ao_ez_abdj 
(-3, -11, 73), [22, 14, 23], 3.25.ao_fb_abdp 
(-4, -10, 67), [21, 15, 17], 3.25.ao_fc_abdo 
(-4, -10, 69), [21, 15, 19], 3.25.ao_fe_abdw 
(-6, -8, 61), [19, 17, 11], 3.25.ao_fe_abdm 
(-3, -11, 77), [22, 14, 2], 3.25.ao_ff_abeb 
(-6, -8, 63), [19, 17, 13], 3.25.ao_fg_abdy 
(-4, -10, 72), [21, 15, 22], 3.25.ao_fh_abei 
(-3, -11, 79), [22, 14, 4], 3.25.ao_fh_abeh 
(-4, -10, 73), [21, 15, 23], 3.25.ao_fi_abem 
(-9, -4, -9), [16, 21, 16], 3.25.an_ca_aep 
(-9, -4, -7), [16, 21, 18], 3.25.an_cc_afh 
(-9, -4, -3), [16, 21, 22], 3.25.an_cg_agr 
(-9, -4, -1), [16, 21, 24], 3.25.an_ci_ahj 
(-9, -4, 1), [16, 21, 1], 3.25.an_ck_aib 
(-9, -4, 2), [16, 21, 2], 3.25.an_cl_aik 
(-9, -4, 3), [16, 21, 3], 3.25.an_cm_ait 
(-9, -4, 4), [16, 21, 4], 3.25.an_cn_ajc 
(-9, -4, 6), [16, 21, 6], 3.25.an_cp_aju 
(-9, -4, 7), [16, 21, 7], 3.25.an_cq_akd 
(-9, -4, 8), [16, 21, 8], 3.25.an_cr_akm 
(-9, -4, 9), [16, 21, 9], 3.25.an_cs_akv 
(-9, -4, 11), [16, 21, 11], 3.25.an_cu_aln 
(-9, -4, 13), [16, 21, 13], 3.25.an_cw_amf 
(-7, -6, 11), [18, 19, 11], 3.25.an_da_aon 
(-9, -4, 17), [16, 21, 17], 3.25.an_da_anp 
(-7, -6, 13), [18, 19, 13], 3.25.an_dc_apb 
(-9, -4, 19), [16, 21, 19], 3.25.an_dc_aoh 
(-9, -4, 21), [16, 21, 21], 3.25.an_de_aoz 
(-7, -6, 17), [18, 19, 17], 3.25.an_dg_aqd 
(-9, -4, 23), [16, 21, 23], 3.25.an_dg_apr 
(-7, -6, 19), [18, 19, 19], 3.25.an_di_aqr 
(3, -16, 111), [3, 9, 11], 3.25.an_dk_arz 
(-7, -6, 21), [18, 19, 21], 3.25.an_dk_arf 
(-9, -4, 27), [16, 21, 2], 3.25.an_dk_arb 
(-8, -5, 23), [17, 20, 23], 3.25.an_dk_aqs 
(-8, -5, 24), [17, 20, 24], 3.25.an_dl_ara 
(-9, -4, 31), [16, 21, 6], 3.25.an_do_asl 
(-8, -5, 27), [17, 20, 2], 3.25.an_do_ary 
(-8, -5, 28), [17, 20, 3], 3.25.an_dp_asg 
(-9, -4, 33), [16, 21, 8], 3.25.an_dq_atd 
(-7, -6, 27), [18, 19, 2], 3.25.an_dq_asv 
(-8, -5, 29), [17, 20, 4], 3.25.an_dq_aso 
(-7, -6, 29), [18, 19, 4], 3.25.an_ds_atj 
(-9, -4, 37), [16, 21, 12], 3.25.an_du_aun 
(-7, -6, 31), [18, 19, 6], 3.25.an_du_atx 
(-9, -4, 39), [16, 21, 14], 3.25.an_dw_avf 
(-7, -6, 33), [18, 19, 8], 3.25.an_dw_aul 
(1, -14, 91), [1, 11, 16], 3.25.an_dy_axl 
(-9, -4, 41), [16, 21, 16], 3.25.an_dy_avx 
(1, -14, 93), [1, 11, 18], 3.25.an_ea_axj 
(-9, -4, 43), [16, 21, 18], 3.25.an_ea_awp 
(-7, -6, 37), [18, 19, 12], 3.25.an_ea_avn 
(-3, -10, 51), [22, 15, 1], 3.25.an_ec_azd 
(-7, -6, 39), [18, 19, 14], 3.25.an_ec_awb 
(-1, -12, 71), [24, 13, 21], 3.25.an_ee_azv 
(-3, -10, 53), [22, 15, 3], 3.25.an_ee_azj 
(-9, -4, 47), [16, 21, 22], 3.25.an_ee_axz 
(1, -14, 97), [1, 11, 22], 3.25.an_ee_axf 
(-7, -6, 41), [18, 19, 16], 3.25.an_ee_awp 
(-7, -6, 42), [18, 19, 17], 3.25.an_ef_aww 
(-1, -12, 73), [24, 13, 23], 3.25.an_eg_azx 
(-9, -4, 49), [16, 21, 24], 3.25.an_eg_ayr 
(-7, -6, 44), [18, 19, 19], 3.25.an_eh_axk 
(-3, -10, 57), [22, 15, 7], 3.25.an_ei_azv 
