(2, 5, 23), [2, 1, 3], 3.9.h_bq_fg 
(5, 3, 5), [1, 3, 1], 3.9.i_bd_db 
(5, 3, 7), [1, 3, 3], 3.9.i_bf_dl 
(4, 4, 7), [0, 0, 3], 3.9.i_bg_dw 
(5, 3, 10), [1, 3, 2], 3.9.i_bi_ea 
(5, 3, 11), [1, 3, 3], 3.9.i_bj_ef 
(1, 7, 25), [1, 3, 1], 3.9.i_bp_fv 
(4, 4, 17), [0, 0, 1], 3.9.i_bq_fk 
(5, 3, 19), [1, 3, 3], 3.9.i_br_ft 
(4, 4, 19), [0, 0, 3], 3.9.i_bs_fs 
(2, 6, 25), [2, 2, 1], 3.9.i_bu_gc 
(5, 4, 7), [1, 0, 3], 3.9.j_bk_ed 
(5, 4, 8), [1, 0, 0], 3.9.j_bl_ei 
(5, 4, 10), [1, 0, 2], 3.9.j_bn_es 
(5, 4, 11), [1, 0, 3], 3.9.j_bo_ex 
(5, 4, 14), [1, 0, 2], 3.9.j_br_fm 
(4, 5, 14), [0, 1, 2], 3.9.j_br_fq 
(5, 4, 16), [1, 0, 0], 3.9.j_bt_fw 
(5, 4, 17), [1, 0, 1], 3.9.j_bu_gb 
(4, 5, 17), [0, 1, 1], 3.9.j_bu_gc 
(4, 5, 19), [0, 1, 3], 3.9.j_bw_gk 
(5, 4, 19), [1, 0, 3], 3.9.j_bw_gl 
(1, 8, 31), [1, 0, 3], 3.9.j_bw_gt 
(2, 7, 25), [2, 3, 1], 3.9.j_bw_gu 
(4, 5, 20), [0, 1, 0], 3.9.j_bx_go 
(5, 4, 20), [1, 0, 0], 3.9.j_bx_gq 
(2, 7, 26), [2, 3, 2], 3.9.j_bx_gw 
(4, 5, 23), [0, 1, 3], 3.9.j_ca_ha 
(2, 7, 29), [2, 3, 1], 3.9.j_ca_hc 
(5, 5, 14), [1, 1, 2], 3.9.k_bw_ge 
(5, 5, 17), [1, 1, 1], 3.9.k_bz_gt 
(4, 6, 19), [0, 2, 3], 3.9.k_ca_hc 
(5, 5, 19), [1, 1, 3], 3.9.k_cb_hd 
(1, 9, 37), [1, 1, 1], 3.9.k_cd_hr 
(2, 8, 31), [2, 0, 3], 3.9.k_ce_hy 
(5, 5, 23), [1, 1, 3], 3.9.k_cf_hx 
(4, 6, 25), [0, 2, 1], 3.9.k_cg_ia 
(5, 6, 19), [1, 2, 3], 3.9.l_cg_hv 
