(4, -1, 6), [0, 3, 2], 3.5.d_h_o 
(2, 1, 1), [2, 1, 1], 3.5.d_i_m 
(4, -1, 7), [0, 3, 3], 3.5.d_i_s 
(-2, 5, 13), [2, 1, 1], 3.5.d_i_y 
(2, 1, 2), [2, 1, 2], 3.5.d_j_o 
(2, 1, 3), [2, 1, 3], 3.5.d_k_q 
(4, -1, 9), [0, 3, 1], 3.5.d_k_ba 
(1, 2, 4), [1, 2, 0], 3.5.d_l_y 
(3, 0, 8), [3, 0, 0], 3.5.d_n_y 
(1, 2, 6), [1, 2, 2], 3.5.d_n_ba 
(-1, 4, 12), [3, 0, 0], 3.5.d_n_bc 
(4, 0, -2), [0, 0, 2], 3.5.e_d_ai 
(4, 0, -1), [0, 0, 3], 3.5.e_e_ae 
(3, 1, -4), [3, 1, 0], 3.5.e_e_ac 
(3, 1, -1), [3, 1, 3], 3.5.e_h_h 
(4, 0, 2), [0, 0, 2], 3.5.e_h_i 
(4, 0, 3), [0, 0, 3], 3.5.e_i_m 
(2, 2, -1), [2, 2, 3], 3.5.e_i_s 
(4, 0, 4), [0, 0, 0], 3.5.e_j_q 
(3, 1, 2), [3, 1, 2], 3.5.e_k_q 
(2, 2, 1), [2, 2, 1], 3.5.e_k_w 
(-2, 6, 17), [2, 2, 1], 3.5.e_k_ba 
(2, 2, 3), [2, 2, 3], 3.5.e_m_ba 
(4, 0, 7), [0, 0, 3], 3.5.e_m_bc 
(1, 3, 4), [1, 3, 0], 3.5.e_m_bi 
(2, 2, 4), [2, 2, 0], 3.5.e_n_bc 
(4, 0, 8), [0, 0, 0], 3.5.e_n_bg 
(-1, 5, 13), [3, 1, 1], 3.5.e_n_bl 
(3, 1, 6), [3, 1, 2], 3.5.e_o_bc 
(2, 2, 6), [2, 2, 2], 3.5.e_p_bg 
(1, 3, 7), [1, 3, 3], 3.5.e_p_bl 
(1, 3, 8), [1, 3, 0], 3.5.e_q_bm 
(2, 2, 8), [2, 2, 0], 3.5.e_r_bk 
(3, 1, 9), [3, 1, 1], 3.5.e_r_bl 
(4, 1, 3), [0, 1, 3], 3.5.f_m_w 
(4, 1, 6), [0, 1, 2], 3.5.f_p_bi 
(2, 3, 4), [2, 3, 0], 3.5.f_p_bm 
(4, 1, 7), [0, 1, 3], 3.5.f_q_bm 
(2, 3, 7), [2, 3, 3], 3.5.f_s_bs 
(2, 3, 8), [2, 3, 0], 3.5.f_t_bu 
(4, 2, -1), [0, 2, 3], 3.5.g_m_q 
(4, 2, 4), [0, 2, 0], 3.5.g_r_bk 
(3, 3, 4), [3, 3, 0], 3.5.g_s_bq 
(4, 2, 6), [0, 2, 2], 3.5.g_t_bs 
(4, 2, 8), [0, 2, 0], 3.5.g_v_ca 
(2, 4, 8), [2, 0, 0], 3.5.g_v_ce 
(3, 3, 8), [3, 3, 0], 3.5.g_w_cc 
(2, 4, 9), [2, 0, 1], 3.5.g_w_cg 
(2, 4, 11), [2, 0, 3], 3.5.g_y_ck 
(2, 4, 12), [2, 0, 0], 3.5.g_z_cm 
