(-3, -13, 79), [1, 3, 3], 3.23.aq_fl_abgd 
(-7, -9, 57), [1, 3, 1], 3.23.aq_fn_abfh 
(-7, -9, 59), [1, 3, 3], 3.23.aq_fp_abfv 
(-7, -9, 61), [1, 3, 1], 3.23.aq_fr_abgj 
(-4, -12, 77), [0, 0, 1], 3.23.aq_fs_abhc 
(-7, -9, 63), [1, 3, 3], 3.23.aq_ft_abgx 
(-4, -12, 79), [0, 0, 3], 3.23.aq_fu_abhk 
(-5, -11, 73), [3, 1, 1], 3.23.aq_fv_abhn 
(-5, -11, 75), [3, 1, 3], 3.23.aq_fx_abhx 
(-9, -6, 12), [3, 2, 0], 3.23.ap_dl_aou 
(-9, -6, 13), [3, 2, 1], 3.23.ap_dm_apd 
(-9, -6, 15), [3, 2, 3], 3.23.ap_do_apv 
(-9, -6, 16), [3, 2, 0], 3.23.ap_dp_aqe 
(-9, -6, 17), [3, 2, 1], 3.23.ap_dq_aqn 
(-9, -6, 18), [3, 2, 2], 3.23.ap_dr_aqw 
(-9, -6, 20), [3, 2, 0], 3.23.ap_dt_aro 
(-9, -6, 21), [3, 2, 1], 3.23.ap_du_arx 
(-9, -6, 22), [3, 2, 2], 3.23.ap_dv_asg 
(-9, -6, 25), [3, 2, 1], 3.23.ap_dy_ath 
(-9, -6, 27), [3, 2, 3], 3.23.ap_ea_atz 
(-9, -6, 29), [3, 2, 1], 3.23.ap_ec_aur 
(-9, -6, 31), [3, 2, 3], 3.23.ap_ee_avj 
(-7, -8, 31), [1, 0, 3], 3.23.ap_eg_awn 
(-9, -6, 33), [3, 2, 1], 3.23.ap_eg_awb 
(-7, -8, 33), [1, 0, 1], 3.23.ap_ei_axb 
(-9, -6, 35), [3, 2, 3], 3.23.ap_ei_awt 
(-8, -7, 34), [0, 1, 2], 3.23.ap_ej_aww 
(-7, -8, 35), [1, 0, 3], 3.23.ap_ek_axp 
(-9, -6, 37), [3, 2, 1], 3.23.ap_ek_axl 
(-8, -7, 35), [0, 1, 3], 3.23.ap_ek_axe 
(-8, -7, 36), [0, 1, 0], 3.23.ap_el_axm 
(-8, -7, 37), [0, 1, 1], 3.23.ap_em_axu 
(-9, -6, 41), [3, 2, 1], 3.23.ap_eo_ayv 
(-7, -8, 39), [1, 0, 3], 3.23.ap_eo_ayr 
(-8, -7, 39), [0, 1, 3], 3.23.ap_eo_ayk 
(-8, -7, 40), [0, 1, 0], 3.23.ap_ep_ays 
(-9, -6, 43), [3, 2, 3], 3.23.ap_eq_azn 
(-7, -8, 41), [1, 0, 1], 3.23.ap_eq_azf 
(-8, -7, 41), [0, 1, 1], 3.23.ap_eq_aza 
(-9, -6, 45), [3, 2, 1], 3.23.ap_es_abaf 
(-7, -8, 43), [1, 0, 3], 3.23.ap_es_azt 
(-5, -10, 51), [3, 2, 3], 3.23.ap_eu_abbn 
(-9, -6, 47), [3, 2, 3], 3.23.ap_eu_abax 
(-7, -8, 45), [1, 0, 1], 3.23.ap_eu_abah 
(-1, -14, 89), [3, 2, 1], 3.23.ap_ew_abcf 
(-5, -10, 53), [3, 2, 1], 3.23.ap_ew_abbx 
(-9, -6, 49), [3, 2, 1], 3.23.ap_ew_abbp 
(-7, -8, 47), [1, 0, 3], 3.23.ap_ew_abav 
(-7, -8, 49), [1, 0, 1], 3.23.ap_ey_abbj 
(-3, -12, 70), [1, 0, 2], 3.23.ap_ez_abdi 
(-7, -8, 50), [1, 0, 2], 3.23.ap_ez_abbq 
(-3, -12, 71), [1, 0, 3], 3.23.ap_fa_abdl 
(-9, -6, 53), [3, 2, 1], 3.23.ap_fa_abcz 
(-5, -10, 57), [3, 2, 1], 3.23.ap_fa_abcr 
(-1, -14, 93), [3, 2, 1], 3.23.ap_fa_abcj 
(-7, -8, 51), [1, 0, 3], 3.23.ap_fa_abbx 
(-3, -12, 72), [1, 0, 0], 3.23.ap_fb_abdo 
(-7, -8, 52), [1, 0, 0], 3.23.ap_fb_abce 
(-5, -10, 59), [3, 2, 3], 3.23.ap_fc_abdb 
(-3, -12, 74), [1, 0, 2], 3.23.ap_fd_abdu 
(-7, -8, 54), [1, 0, 2], 3.23.ap_fd_abcs 
(-3, -12, 75), [1, 0, 3], 3.23.ap_fe_abdx 
(-5, -10, 61), [3, 2, 1], 3.23.ap_fe_abdl 
(-7, -8, 55), [1, 0, 3], 3.23.ap_fe_abcz 
(-3, -12, 76), [1, 0, 0], 3.23.ap_ff_abea 
(-7, -8, 56), [1, 0, 0], 3.23.ap_ff_abdg 
(-3, -12, 77), [1, 0, 1], 3.23.ap_fg_abed 
(-5, -10, 63), [3, 2, 3], 3.23.ap_fg_abdv 
(-7, -8, 57), [1, 0, 1], 3.23.ap_fg_abdn 
(-4, -11, 71), [0, 1, 3], 3.23.ap_fi_abek 
(-3, -12, 79), [1, 0, 3], 3.23.ap_fi_abej 
(-5, -10, 65), [3, 2, 1], 3.23.ap_fi_abef 
(-7, -8, 59), [1, 0, 3], 3.23.ap_fi_abeb 
(-6, -9, 61), [2, 3, 1], 3.23.ap_fi_abea 
(-4, -11, 72), [0, 1, 0], 3.23.ap_fj_abeo 
(-6, -9, 62), [2, 3, 2], 3.23.ap_fj_abeg 
(-4, -11, 73), [0, 1, 1], 3.23.ap_fk_abes 
(-6, -9, 63), [2, 3, 3], 3.23.ap_fk_abem 
(-5, -10, 68), [3, 2, 0], 3.23.ap_fl_abeu 
(-4, -11, 75), [0, 1, 3], 3.23.ap_fm_abfa 
(-6, -9, 65), [2, 3, 1], 3.23.ap_fm_abey 
(-9, -5, 7), [3, 3, 3], 3.23.ao_cx_alh 
(-9, -5, 9), [3, 3, 1], 3.23.ao_cz_alz 
(-9, -5, 11), [3, 3, 3], 3.23.ao_db_amr 
(-9, -5, 13), [3, 3, 1], 3.23.ao_dd_anj 
(-8, -6, 13), [0, 2, 1], 3.23.ao_dg_aoq 
(-8, -6, 29), [0, 2, 1], 3.23.ao_dw_ato 
(-8, -6, 31), [0, 2, 3], 3.23.ao_dy_aue 
(-7, -7, 41), [1, 1, 1], 3.23.ao_ej_axl 
(-7, -7, 43), [1, 1, 3], 3.23.ao_el_axz 
(-7, -7, 45), [1, 1, 1], 3.23.ao_en_ayn 
(-2, -12, 71), [2, 0, 3], 3.23.ao_eo_abas 
(-7, -7, 47), [1, 1, 3], 3.23.ao_ep_azb 
(-7, -7, 49), [1, 1, 1], 3.23.ao_er_azp 
(-3, -11, 67), [1, 1, 3], 3.23.ao_et_abbf 
(-6, -8, 55), [2, 0, 3], 3.23.ao_ew_abaw 
(-3, -11, 71), [1, 1, 3], 3.23.ao_ex_abbr 
(-6, -8, 57), [2, 0, 1], 3.23.ao_ey_abbi 
(-3, -11, 73), [1, 1, 1], 3.23.ao_ez_abbx 
(-6, -8, 59), [2, 0, 3], 3.23.ao_fa_abbu 
