(-3, -2, 20), [1, 2, 0], 3.11.af_bl_aea 
(-1, -4, 23), [3, 0, 3], 3.11.af_bm_aeh 
(-2, -3, 21), [2, 1, 1], 3.11.af_bm_aee 
(-3, -2, 21), [1, 2, 1], 3.11.af_bm_aed 
(-1, -4, 24), [3, 0, 0], 3.11.af_bn_aei 
(-2, -3, 23), [2, 1, 3], 3.11.af_bo_aei 
(-4, 0, -21), [0, 0, 3], 3.11.ae_ak_dg 
(-5, 1, -15), [3, 1, 1], 3.11.ae_aj_dt 
(-6, 2, -7), [2, 2, 1], 3.11.ae_ai_di 
(-5, 1, -13), [3, 1, 3], 3.11.ae_ah_dj 
(-5, 1, -10), [3, 1, 2], 3.11.ae_ae_cu 
(-5, 1, -9), [3, 1, 3], 3.11.ae_ad_cp 
(-4, 0, -13), [0, 0, 3], 3.11.ae_ac_ca 
(-5, 1, -7), [3, 1, 1], 3.11.ae_ab_cf 
(-5, 1, -5), [3, 1, 3], 3.11.ae_b_bv 
(-4, 0, 3), [0, 0, 3], 3.11.ae_o_am 
(-4, 0, 5), [0, 0, 1], 3.11.ae_q_au 
(-4, 0, 7), [0, 0, 3], 3.11.ae_s_abc 
(1, -5, 13), [1, 3, 1], 3.11.ae_t_adt 
(1, -5, 15), [1, 3, 3], 3.11.ae_v_adr 
(1, -5, 17), [1, 3, 1], 3.11.ae_x_adp 
(1, -5, 19), [1, 3, 3], 3.11.ae_z_adn 
(-3, -1, 13), [1, 3, 1], 3.11.ae_bb_acj 
(-3, -1, 15), [1, 3, 3], 3.11.ae_bd_acp 
(-3, -1, 17), [1, 3, 1], 3.11.ae_bf_acv 
(-3, -1, 19), [1, 3, 3], 3.11.ae_bh_adb 
(-1, -3, 21), [3, 1, 1], 3.11.ae_bj_adj 
(-3, -1, 21), [1, 3, 1], 3.11.ae_bj_adh 
(-2, -2, 21), [2, 2, 1], 3.11.ae_bk_adi 
(-1, -3, 23), [3, 1, 3], 3.11.ae_bl_adl 
(-3, 0, -21), [1, 0, 3], 3.11.ad_ak_cl 
(-3, 0, -20), [1, 0, 0], 3.11.ad_aj_ci 
(-3, 0, -19), [1, 0, 1], 3.11.ad_ai_cf 
(-5, 2, -8), [3, 2, 0], 3.11.ad_ah_dg 
(-3, 0, -17), [1, 0, 3], 3.11.ad_ag_bz 
(-5, 2, -7), [3, 2, 1], 3.11.ad_ag_db 
(-3, 0, -15), [1, 0, 1], 3.11.ad_ae_bt 
(-5, 2, -5), [3, 2, 3], 3.11.ad_ae_cr 
(-3, 0, -13), [1, 0, 3], 3.11.ad_ac_bn 
(-5, 2, -3), [3, 2, 1], 3.11.ad_ac_ch 
(-5, 2, -1), [3, 2, 3], 3.11.ad_a_bx 
(-3, 0, -9), [1, 0, 3], 3.11.ad_c_bb 
(-5, 2, 1), [3, 2, 1], 3.11.ad_c_bn 
(-3, 0, -7), [1, 0, 1], 3.11.ad_e_v 
(-5, 2, 3), [3, 2, 3], 3.11.ad_e_bd 
(-3, 0, -6), [1, 0, 2], 3.11.ad_f_s 
(-1, -2, -7), [3, 2, 1], 3.11.ad_g_abl 
(5, -8, 35), [1, 0, 3], 3.11.ad_g_ab 
(-3, 0, -5), [1, 0, 3], 3.11.ad_g_p 
(-5, 2, 5), [3, 2, 1], 3.11.ad_g_t 
(-4, 1, -1), [0, 1, 3], 3.11.ad_g_ba 
(-3, 0, -4), [1, 0, 0], 3.11.ad_h_m 
(-1, -2, -5), [3, 2, 3], 3.11.ad_i_abn 
(-4, 1, 1), [0, 1, 1], 3.11.ad_i_s 
(-1, -2, -3), [3, 2, 1], 3.11.ad_k_abp 
(-5, 2, 9), [3, 2, 1], 3.11.ad_k_ab 
(-3, 0, -1), [1, 0, 3], 3.11.ad_k_d 
(-4, 1, 3), [0, 1, 3], 3.11.ad_k_k 
(-4, 1, 4), [0, 1, 0], 3.11.ad_l_g 
(1, -4, 5), [1, 0, 1], 3.11.ad_m_adf 
(3, -6, 19), [3, 2, 3], 3.11.ad_m_acx 
(-1, -2, -1), [3, 2, 3], 3.11.ad_m_abr 
(-3, 0, 1), [1, 0, 1], 3.11.ad_m_ad 
(-4, 1, 5), [0, 1, 1], 3.11.ad_m_c 
(1, -4, 7), [1, 0, 3], 3.11.ad_o_add 
(3, -6, 21), [3, 2, 1], 3.11.ad_o_acr 
(-1, -2, 1), [3, 2, 1], 3.11.ad_o_abt 
(-5, 2, 13), [3, 2, 1], 3.11.ad_o_av 
(-3, 0, 3), [1, 0, 3], 3.11.ad_o_aj 
(1, -4, 9), [1, 0, 1], 3.11.ad_q_adb 
(3, -6, 23), [3, 2, 3], 3.11.ad_q_acl 
(-1, -2, 3), [3, 2, 3], 3.11.ad_q_abv 
(-5, 2, 15), [3, 2, 3], 3.11.ad_q_abf 
(-3, 0, 5), [1, 0, 1], 3.11.ad_q_ap 
(3, -6, 25), [3, 2, 1], 3.11.ad_s_acf 
(-1, -2, 5), [3, 2, 1], 3.11.ad_s_abx 
(-5, 2, 17), [3, 2, 1], 3.11.ad_s_abp 
(-3, 0, 7), [1, 0, 3], 3.11.ad_s_av 
(1, -4, 13), [1, 0, 1], 3.11.ad_u_acx 
(-3, 0, 9), [1, 0, 1], 3.11.ad_u_abb 
(1, -4, 14), [1, 0, 2], 3.11.ad_v_acw 
(-3, 0, 10), [1, 0, 2], 3.11.ad_v_abe 
(1, -4, 15), [1, 0, 3], 3.11.ad_w_acv 
(-5, 2, 21), [3, 2, 1], 3.11.ad_w_acj 
(-1, -2, 9), [3, 2, 1], 3.11.ad_w_acb 
(3, -6, 29), [3, 2, 1], 3.11.ad_w_abt 
(1, -4, 16), [1, 0, 0], 3.11.ad_x_acu 
(-3, 0, 12), [1, 0, 0], 3.11.ad_x_abk 
(1, -4, 18), [1, 0, 2], 3.11.ad_z_acs 
(-3, 0, 14), [1, 0, 2], 3.11.ad_z_abq 
(1, -4, 19), [1, 0, 3], 3.11.ad_ba_acr 
(-1, -2, 13), [3, 2, 1], 3.11.ad_ba_acf 
(-3, 0, 15), [1, 0, 3], 3.11.ad_ba_abt 
(1, -4, 20), [1, 0, 0], 3.11.ad_bb_acq 
(-3, 0, 16), [1, 0, 0], 3.11.ad_bb_abw 
(1, -4, 21), [1, 0, 1], 3.11.ad_bc_acp 
(-1, -2, 15), [3, 2, 3], 3.11.ad_bc_ach 
(-3, 0, 17), [1, 0, 1], 3.11.ad_bc_abz 
(1, -4, 23), [1, 0, 3], 3.11.ad_be_acn 
(-1, -2, 17), [3, 2, 1], 3.11.ad_be_acj 
(-3, 0, 19), [1, 0, 3], 3.11.ad_be_acf 
(-2, -1, 17), [2, 3, 1], 3.11.ad_be_ace 
(-2, -1, 18), [2, 3, 2], 3.11.ad_bf_acg 
(-2, -1, 19), [2, 3, 3], 3.11.ad_bg_aci 
(-1, -2, 20), [3, 2, 0], 3.11.ad_bh_acm 
(-1, -2, 21), [3, 2, 1], 3.11.ad_bi_acn 
(-2, -1, 21), [2, 3, 1], 3.11.ad_bi_acm 
(-2, 0, -13), [2, 0, 3], 3.11.ac_ac_ba 
(-4, 2, -3), [0, 2, 1], 3.11.ac_a_ce 
(-4, 2, -1), [0, 2, 3], 3.11.ac_c_bw 
(1, -3, -1), [1, 1, 3], 3.11.ac_h_acp 
(2, -4, 5), [2, 0, 1], 3.11.ac_i_ada 
(2, -4, 9), [2, 0, 1], 3.11.ac_m_acs 
(-3, 1, 7), [1, 1, 3], 3.11.ac_p_b 
(-3, 1, 9), [1, 1, 1], 3.11.ac_r_af 
(-3, 1, 13), [1, 1, 1], 3.11.ac_v_ar 
(1, -3, 15), [1, 1, 3], 3.11.ac_x_abz 
(1, -3, 17), [1, 1, 1], 3.11.ac_z_abx 
(1, -3, 19), [1, 1, 3], 3.11.ac_bb_abv 
(1, -3, 20), [1, 1, 0], 3.11.ac_bc_abu 
(-2, 0, 17), [2, 0, 1], 3.11.ac_bc_abi 
(1, -3, 21), [1, 1, 1], 3.11.ac_bd_abt 
(-2, 0, 19), [2, 0, 3], 3.11.ac_be_abm 
(-1, -1, 19), [3, 3, 3], 3.11.ac_bf_abp 
(-1, -1, 21), [3, 3, 1], 3.11.ac_bh_abr 
(-1, 0, -21), [3, 0, 3], 3.11.ab_ak_v 
(-1, 0, -20), [3, 0, 0], 3.11.ab_aj_u 
(-1, 0, -19), [3, 0, 1], 3.11.ab_ai_t 
(-1, 0, -17), [3, 0, 3], 3.11.ab_ag_r 
(-1, 0, -15), [3, 0, 1], 3.11.ab_ae_p 
(-5, 4, 5), [3, 0, 1], 3.11.ab_ae_cl 
(-4, 3, -2), [0, 3, 2], 3.11.ab_ad_cw 
(-1, 0, -13), [3, 0, 3], 3.11.ab_ac_n 
(-5, 4, 7), [3, 0, 3], 3.11.ab_ac_cb 
(-3, 2, -7), [1, 2, 1], 3.11.ab_ac_cn 
(-5, 4, 8), [3, 0, 0], 3.11.ab_ab_bw 
(5, -6, 19), [1, 2, 3], 3.11.ab_a_abl 
(-5, 4, 9), [3, 0, 1], 3.11.ab_a_br 
(-3, 2, -5), [1, 2, 3], 3.11.ab_a_ch 
(1, -2, -7), [1, 2, 1], 3.11.ab_c_abz 
(5, -6, 21), [1, 2, 1], 3.11.ab_c_abb 
(-1, 0, -9), [3, 0, 3], 3.11.ab_c_j 
(-3, 2, -3), [1, 2, 1], 3.11.ab_c_cb 
(3, -4, 5), [3, 0, 1], 3.11.ab_e_acv 
(1, -2, -5), [1, 2, 3], 3.11.ab_e_abx 
(5, -6, 23), [1, 2, 3], 3.11.ab_e_ar 
(-1, 0, -7), [3, 0, 1], 3.11.ab_e_h 
