(-5, -1, -6), [6, 10, 5], 3.11.ag_k_i 
(-4, -2, -8), [7, 9, 3], 3.11.ag_l_am 
(-5, -1, -5), [6, 10, 6], 3.11.ag_l_d 
(-4, -2, -7), [7, 9, 4], 3.11.ag_m_aq 
(-6, 0, 1), [5, 0, 1], 3.11.ag_m_ag 
(-5, -1, -4), [6, 10, 7], 3.11.ag_m_ac 
(-4, -2, -6), [7, 9, 5], 3.11.ag_n_au 
(-6, 0, 2), [5, 0, 2], 3.11.ag_n_am 
(-4, -2, -5), [7, 9, 6], 3.11.ag_o_ay 
(-6, 0, 3), [5, 0, 3], 3.11.ag_o_as 
(-5, -1, -2), [6, 10, 9], 3.11.ag_o_am 
(-4, -2, -4), [7, 9, 7], 3.11.ag_p_abc 
(-6, 0, 4), [5, 0, 4], 3.11.ag_p_ay 
(4, -10, 45), [4, 1, 1], 3.11.ag_q_abo 
(-4, -2, -3), [7, 9, 8], 3.11.ag_q_abg 
(-6, 0, 5), [5, 0, 5], 3.11.ag_q_abe 
(-3, -3, -2), [8, 8, 9], 3.11.ag_s_aci 
(-6, 0, 7), [5, 0, 7], 3.11.ag_s_abq 
(-4, -2, -1), [7, 9, 10], 3.11.ag_s_abo 
(-3, -3, -1), [8, 8, 10], 3.11.ag_t_acl 
(-6, 0, 8), [5, 0, 8], 3.11.ag_t_abw 
(-6, 0, 9), [5, 0, 9], 3.11.ag_u_acc 
(-4, -2, 1), [7, 9, 1], 3.11.ag_u_abw 
(-5, -1, 4), [6, 10, 4], 3.11.ag_u_abq 
(-3, -3, 1), [8, 8, 1], 3.11.ag_v_acr 
(-6, 0, 10), [5, 0, 10], 3.11.ag_v_aci 
(-4, -2, 2), [7, 9, 2], 3.11.ag_v_aca 
(3, -9, 38), [3, 2, 5], 3.11.ag_w_adg 
(-3, -3, 2), [8, 8, 2], 3.11.ag_w_acu 
(-4, -2, 3), [7, 9, 3], 3.11.ag_w_ace 
(-5, -1, 6), [6, 10, 6], 3.11.ag_w_aca 
(3, -9, 39), [3, 2, 6], 3.11.ag_x_add 
(-3, -3, 3), [8, 8, 3], 3.11.ag_x_acx 
(-6, 0, 12), [5, 0, 1], 3.11.ag_x_acu 
(-4, -2, 4), [7, 9, 4], 3.11.ag_x_aci 
(-5, -1, 7), [6, 10, 7], 3.11.ag_x_acf 
(-2, -4, 5), [9, 7, 5], 3.11.ag_y_adu 
(-4, -2, 5), [7, 9, 5], 3.11.ag_y_acm 
(-5, -1, 8), [6, 10, 8], 3.11.ag_y_ack 
(-2, -4, 6), [9, 7, 6], 3.11.ag_z_adw 
(-6, 0, 14), [5, 0, 3], 3.11.ag_z_adg 
(-3, -3, 5), [8, 8, 5], 3.11.ag_z_add 
(3, -9, 41), [3, 2, 8], 3.11.ag_z_acx 
(-4, -2, 6), [7, 9, 6], 3.11.ag_z_acq 
(-5, -1, 9), [6, 10, 9], 3.11.ag_z_acp 
(-2, -4, 7), [9, 7, 7], 3.11.ag_ba_ady 
(-6, 0, 15), [5, 0, 4], 3.11.ag_ba_adm 
(-3, -3, 6), [8, 8, 6], 3.11.ag_ba_adg 
(2, -8, 32), [2, 3, 10], 3.11.ag_bb_aei 
(-2, -4, 8), [9, 7, 8], 3.11.ag_bb_aea 
(-6, 0, 16), [5, 0, 5], 3.11.ag_bb_ads 
(-3, -3, 7), [8, 8, 7], 3.11.ag_bb_adj 
(-4, -2, 8), [7, 9, 8], 3.11.ag_bb_acy 
(-1, -5, 12), [10, 6, 1], 3.11.ag_bc_aes 
(-2, -4, 9), [9, 7, 9], 3.11.ag_bc_aec 
(-6, 0, 17), [5, 0, 6], 3.11.ag_bc_ady 
(-3, -3, 8), [8, 8, 8], 3.11.ag_bc_adm 
(-5, -1, 12), [6, 10, 1], 3.11.ag_bc_ade 
(-4, -2, 9), [7, 9, 9], 3.11.ag_bc_adc 
(1, -7, 25), [1, 4, 3], 3.11.ag_bd_aez 
(-1, -5, 13), [10, 6, 2], 3.11.ag_bd_aet 
(-3, -3, 9), [8, 8, 9], 3.11.ag_bd_adp 
(-5, -1, 13), [6, 10, 2], 3.11.ag_bd_adj 
(-4, -2, 10), [7, 9, 10], 3.11.ag_bd_adg 
(1, -7, 26), [1, 4, 4], 3.11.ag_be_aey 
(-1, -5, 14), [10, 6, 3], 3.11.ag_be_aeu 
(-6, 0, 19), [5, 0, 8], 3.11.ag_be_aek 
(2, -8, 35), [2, 3, 2], 3.11.ag_be_aec 
(-3, -3, 10), [8, 8, 10], 3.11.ag_be_ads 
(-5, -1, 14), [6, 10, 3], 3.11.ag_be_ado 
(1, -7, 27), [1, 4, 5], 3.11.ag_bf_aex 
(-1, -5, 15), [10, 6, 4], 3.11.ag_bf_aev 
(-6, 0, 20), [5, 0, 9], 3.11.ag_bf_aeq 
(-2, -4, 12), [9, 7, 1], 3.11.ag_bf_aei 
(2, -8, 36), [2, 3, 3], 3.11.ag_bf_aea 
(-5, -1, 15), [6, 10, 4], 3.11.ag_bf_adt 
(-4, -2, 12), [7, 9, 1], 3.11.ag_bf_ado 
(-2, -4, 13), [9, 7, 2], 3.11.ag_bg_aek 
(-1, -5, 17), [10, 6, 6], 3.11.ag_bh_aex 
(1, -7, 29), [1, 4, 7], 3.11.ag_bh_aev 
(-2, -4, 14), [9, 7, 3], 3.11.ag_bh_aem 
(-5, -1, 17), [6, 10, 6], 3.11.ag_bh_aed 
(-3, -3, 13), [8, 8, 2], 3.11.ag_bh_aeb 
(-1, -5, 18), [10, 6, 7], 3.11.ag_bi_aey 
(1, -7, 30), [1, 4, 8], 3.11.ag_bi_aeu 
(-2, -4, 15), [9, 7, 4], 3.11.ag_bi_aeo 
(-5, -1, 18), [6, 10, 7], 3.11.ag_bi_aei 
(-3, -3, 14), [8, 8, 3], 3.11.ag_bi_aee 
(-1, -5, 19), [10, 6, 8], 3.11.ag_bj_aez 
(1, -7, 31), [1, 4, 9], 3.11.ag_bj_aet 
(-2, -4, 16), [9, 7, 5], 3.11.ag_bj_aeq 
(-5, -1, 19), [6, 10, 8], 3.11.ag_bj_aen 
