(2, 2, 9), [2, 2, 1], 3.5.e_s_bm 
(1, 3, 11), [1, 3, 3], 3.5.e_t_bp 
(4, 1, -4), [0, 1, 0], 3.5.f_f_ag 
(4, 1, -3), [0, 1, 1], 3.5.f_g_ac 
(4, 1, -1), [0, 1, 3], 3.5.f_i_g 
(4, 1, 1), [0, 1, 1], 3.5.f_k_o 
(3, 2, -1), [3, 2, 3], 3.5.f_k_r 
(4, 1, 2), [0, 1, 2], 3.5.f_l_s 
(3, 2, 1), [3, 2, 1], 3.5.f_m_x 
(3, 2, 3), [3, 2, 3], 3.5.f_o_bd 
(3, 2, 4), [3, 2, 0], 3.5.f_p_bg 
(-1, 6, 17), [3, 2, 1], 3.5.f_q_br 
(3, 2, 6), [3, 2, 2], 3.5.f_r_bm 
(1, 4, 8), [1, 0, 0], 3.5.f_r_bw 
(4, 1, 9), [0, 1, 1], 3.5.f_s_bu 
(1, 4, 9), [1, 0, 1], 3.5.f_s_bx 
(3, 2, 8), [3, 2, 0], 3.5.f_t_bs 
(3, 2, 9), [3, 2, 1], 3.5.f_u_bv 
(2, 3, 9), [2, 3, 1], 3.5.f_u_bw 
(1, 4, 11), [1, 0, 3], 3.5.f_u_bz 
(1, 4, 12), [1, 0, 0], 3.5.f_v_ca 
(2, 3, 11), [2, 3, 3], 3.5.f_w_ca 
(4, 2, 1), [0, 2, 1], 3.5.g_o_y 
(4, 2, 3), [0, 2, 3], 3.5.g_q_bg 
(3, 3, 7), [3, 3, 3], 3.5.g_v_bz 
(4, 2, 9), [0, 2, 1], 3.5.g_w_ce 
(3, 3, 9), [3, 3, 1], 3.5.g_x_cf 
(1, 5, 13), [1, 1, 1], 3.5.g_x_cl 
(3, 3, 11), [3, 3, 3], 3.5.g_z_cl 
(4, 3, 4), [0, 3, 0], 3.5.h_v_bu 
(4, 3, 7), [0, 3, 3], 3.5.h_y_cg 
(4, 3, 8), [0, 3, 0], 3.5.h_z_ck 
(3, 4, 8), [3, 0, 0], 3.5.h_z_cm 
(4, 3, 9), [0, 3, 1], 3.5.h_ba_co 
(3, 4, 9), [3, 0, 1], 3.5.h_ba_cp 
(3, 4, 11), [3, 0, 3], 3.5.h_bc_cv 
(4, 3, 11), [0, 3, 3], 3.5.h_bc_cw 
(2, 5, 13), [2, 1, 1], 3.5.h_bc_cy 
(1, 6, 17), [1, 2, 1], 3.5.h_bc_cz 
(3, 4, 12), [3, 0, 0], 3.5.h_bd_cy 
(4, 4, 8), [0, 0, 0], 3.5.i_bd_cu 
(4, 4, 9), [0, 0, 1], 3.5.i_be_cy 
(4, 4, 11), [0, 0, 3], 3.5.i_bg_dg 
(4, 4, 12), [0, 0, 0], 3.5.i_bh_dk 
(3, 5, 13), [3, 1, 1], 3.5.i_bh_dl 
(2, 6, 17), [2, 2, 1], 3.5.i_bi_dq 
(4, 5, 13), [0, 1, 1], 3.5.j_bm_dy 
(3, 6, 17), [3, 2, 1], 3.5.j_bo_eh 
(4, 6, 17), [0, 2, 1], 3.5.k_bu_ey 
