(-1, -8, 44), [18, 11, 6] 
(-5, -4, 32), [14, 15, 13] 
(-3, -6, 35), [16, 13, 16] 
(-1, -8, 46), [18, 11, 8] 
(-5, -4, 34), [14, 15, 15] 
(-1, -8, 47), [18, 11, 9] 
(-3, -6, 37), [16, 13, 18] 
(-5, -4, 35), [14, 15, 16] 
(-1, -8, 48), [18, 11, 10] 
(-5, -4, 36), [14, 15, 17] 
(-1, -8, 49), [18, 11, 11] 
(-3, -6, 39), [16, 13, 1] 
(-5, -4, 37), [14, 15, 18] 
(-2, -7, 45), [17, 12, 7] 
(-1, -8, 51), [18, 11, 13] 
(-3, -6, 41), [16, 13, 3] 
(-5, -4, 39), [14, 15, 1] 
(-4, -5, 39), [15, 14, 1] 
(-2, -7, 46), [17, 12, 8] 
(-4, -5, 40), [15, 14, 2] 
(-2, -7, 47), [17, 12, 9] 
(-4, -5, 41), [15, 14, 3] 
(-3, -6, 44), [16, 13, 6] 
(-2, -7, 49), [17, 12, 11] 
(-3, -6, 45), [16, 13, 7] 
(-4, -5, 43), [15, 14, 5] 
(-8, 0, -37), [11, 0, 1] 
(-8, 0, -36), [11, 0, 2] 
(-8, 0, -35), [11, 0, 3] 
(-8, 0, -29), [11, 0, 9] 
(-8, 0, -28), [11, 0, 10] 
(-8, 0, -27), [11, 0, 11] 
(-8, 0, -25), [11, 0, 13] 
(-8, 0, -24), [11, 0, 14] 
(-8, 0, -21), [11, 0, 17] 
(-7, -1, -7), [12, 18, 12] 
(-7, -1, -5), [12, 18, 14] 
(-7, -1, -3), [12, 18, 16] 
(-7, -1, -1), [12, 18, 18] 
(-6, -2, 13), [13, 17, 13] 
(-6, -2, 15), [13, 17, 15] 
(1, -9, 41), [1, 10, 3] 
(-5, -3, 25), [14, 16, 6] 
(-5, -3, 27), [14, 16, 8] 
(-5, -3, 29), [14, 16, 10] 
(-5, -3, 31), [14, 16, 12] 
(-1, -7, 41), [18, 12, 3] 
(-1, -7, 43), [18, 12, 5] 
(-1, -7, 45), [18, 12, 7] 
(-4, -4, 37), [15, 15, 18] 
(-1, -7, 47), [18, 12, 9] 
(-4, -4, 39), [15, 15, 1] 
(-3, -5, 41), [16, 14, 3] 
(-2, -6, 45), [17, 13, 7] 
(-3, -5, 43), [16, 14, 5] 
(-7, 0, -37), [12, 0, 1] 
(-8, 1, -29), [11, 1, 9] 
(-7, 0, -36), [12, 0, 2] 
(-7, 0, -35), [12, 0, 3] 
(-7, 0, -33), [12, 0, 5] 
(-7, 0, -31), [12, 0, 7] 
(-7, 0, -29), [12, 0, 9] 
(-7, 0, -27), [12, 0, 11] 
(-7, 0, -25), [12, 0, 13] 
(-6, -1, -29), [13, 18, 9] 
(-7, 0, -23), [12, 0, 15] 
(-7, 0, -22), [12, 0, 16] 
(-7, 0, -21), [12, 0, 17] 
(-7, 0, -20), [12, 0, 18] 
(-7, 0, -17), [12, 0, 2] 
(-7, 0, -15), [12, 0, 4] 
(-7, 0, -14), [12, 0, 5] 
(7, -14, 85), [7, 5, 9] 
(-7, 0, -13), [12, 0, 6] 
(-7, 0, -12), [12, 0, 7] 
(-7, 0, -10), [12, 0, 9] 
(-7, 0, -9), [12, 0, 10] 
(-7, 0, -8), [12, 0, 11] 
(-5, -2, -17), [14, 17, 2] 
(-7, 0, -7), [12, 0, 12] 
(-5, -2, -15), [14, 17, 4] 
(-7, 0, -5), [12, 0, 14] 
(-5, -2, -13), [14, 17, 6] 
(-7, 0, -3), [12, 0, 16] 
(-5, -2, -11), [14, 17, 8] 
(-7, 0, -1), [12, 0, 18] 
(-5, -2, -9), [14, 17, 10] 
(-7, 0, 1), [12, 0, 1] 
(-5, -2, -7), [14, 17, 12] 
(-7, 0, 3), [12, 0, 3] 
(-5, -2, -5), [14, 17, 14] 
(-7, 0, 5), [12, 0, 5] 
(5, -12, 67), [5, 7, 10] 
(-5, -2, -3), [14, 17, 16] 
(-7, 0, 7), [12, 0, 7] 
(-3, -4, -3), [16, 15, 16] 
(5, -12, 69), [5, 7, 12] 
(-5, -2, -1), [14, 17, 18] 
(-7, 0, 9), [12, 0, 9] 
(-3, -4, -1), [16, 15, 18] 
(5, -12, 71), [5, 7, 14] 
(-5, -2, 1), [14, 17, 1] 
(-7, 0, 11), [12, 0, 11] 
(-6, -1, 5), [13, 18, 5] 
(-6, -1, 6), [13, 18, 6] 
(-3, -4, 1), [16, 15, 1] 
(-6, -1, 7), [13, 18, 7] 
(-3, -4, 3), [16, 15, 3] 
(-7, 0, 15), [12, 0, 15] 
(-5, -2, 5), [14, 17, 5] 
(-6, -1, 9), [13, 18, 9] 
(-6, -1, 10), [13, 18, 10] 
(-3, -4, 5), [16, 15, 5] 
(-7, 0, 17), [12, 0, 17] 
(-5, -2, 7), [14, 17, 7] 
(-6, -1, 11), [13, 18, 11] 
(-3, -4, 7), [16, 15, 7] 
(-5, -2, 9), [14, 17, 9] 
(-1, -6, 15), [18, 13, 15] 
(3, -10, 51), [3, 9, 13] 
(-3, -4, 9), [16, 15, 9] 
(-7, 0, 21), [12, 0, 2] 
(-5, -2, 11), [14, 17, 11] 
(-1, -6, 17), [18, 13, 17] 
(3, -10, 53), [3, 9, 15] 
(-3, -4, 11), [16, 15, 11] 
(-7, 0, 23), [12, 0, 4] 
(-5, -2, 13), [14, 17, 13] 
(1, -8, 32), [1, 11, 13] 
(1, -8, 33), [1, 11, 14] 
(3, -10, 55), [3, 9, 17] 
(-3, -4, 13), [16, 15, 13] 
(-7, 0, 25), [12, 0, 6] 
(-5, -2, 15), [14, 17, 15] 
(1, -8, 35), [1, 11, 16] 
(-1, -6, 21), [18, 13, 2] 
(-3, -4, 15), [16, 15, 15] 
(-7, 0, 27), [12, 0, 8] 
(-5, -2, 17), [14, 17, 17] 
(1, -8, 37), [1, 11, 18] 
(-1, -6, 23), [18, 13, 4] 
