(-2, 1, -1), [2, 1, 3], 3.9.ab_g_u 
(2, -3, 4), [2, 1, 0], 3.9.ab_h_abu 
(-1, 0, -2), [3, 0, 2], 3.9.ab_h_c 
(-4, 3, 10), [0, 3, 2], 3.9.ab_h_o 
(4, -5, 19), [0, 3, 3], 3.9.ab_i_ao 
(-4, 3, 11), [0, 3, 3], 3.9.ab_i_k 
(-2, 1, 1), [2, 1, 1], 3.9.ab_i_q 
(1, -2, 2), [1, 2, 2], 3.9.ab_j_abi 
(-5, 4, 20), [3, 0, 0], 3.9.ab_j_abc 
(4, -5, 20), [0, 3, 0], 3.9.ab_j_ak 
(-2, 1, 2), [2, 1, 2], 3.9.ab_j_o 
(-4, 3, 13), [0, 3, 1], 3.9.ab_k_c 
(1, -2, 4), [1, 2, 0], 3.9.ab_l_abg 
(-2, 1, 4), [2, 1, 0], 3.9.ab_l_k 
(4, -5, 23), [0, 3, 3], 3.9.ab_m_c 
(-2, 1, 5), [2, 1, 1], 3.9.ab_m_i 
(-4, 3, 16), [0, 3, 0], 3.9.ab_n_ak 
(-1, 0, 4), [3, 0, 0], 3.9.ab_n_ae 
(-4, 3, 17), [0, 3, 1], 3.9.ab_o_ao 
(-2, 1, 7), [2, 1, 3], 3.9.ab_o_e 
(1, -2, 8), [1, 2, 0], 3.9.ab_p_abc 
(-2, 1, 8), [2, 1, 0], 3.9.ab_p_c 
(2, -3, 13), [2, 1, 1], 3.9.ab_q_abc 
(-4, 3, 19), [0, 3, 3], 3.9.ab_q_aw 
(-1, 0, 8), [3, 0, 0], 3.9.ab_r_ai 
(2, -3, 16), [2, 1, 0], 3.9.ab_t_aw 
(-1, 0, 10), [3, 0, 2], 3.9.ab_t_ak 
(2, -3, 17), [2, 1, 1], 3.9.ab_u_au 
(2, -3, 19), [2, 1, 3], 3.9.ab_w_aq 
(-2, 1, 17), [2, 1, 1], 3.9.ab_y_aq 
(1, -1, -11), [1, 3, 1], 3.9.a_ad_abd 
(5, -5, 13), [1, 3, 1], 3.9.a_ad_az 
(-5, 5, 13), [3, 1, 1], 3.9.a_ad_z 
(-1, 1, -11), [3, 1, 1], 3.9.a_ad_bd 
(1, -1, -10), [1, 3, 2], 3.9.a_ac_abc 
(5, -5, 14), [1, 3, 2], 3.9.a_ac_au 
(-5, 5, 14), [3, 1, 2], 3.9.a_ac_u 
(-1, 1, -10), [3, 1, 2], 3.9.a_ac_bc 
(2, -2, -5), [2, 2, 3], 3.9.a_a_abu 
(4, -4, 7), [0, 0, 3], 3.9.a_a_abs 
(1, -1, -8), [1, 3, 0], 3.9.a_a_aba 
(5, -5, 16), [1, 3, 0], 3.9.a_a_ak 
(-5, 5, 16), [3, 1, 0], 3.9.a_a_k 
(-1, 1, -8), [3, 1, 0], 3.9.a_a_ba 
(-4, 4, 7), [0, 0, 3], 3.9.a_a_bs 
(-2, 2, -5), [2, 2, 3], 3.9.a_a_bu 
(2, -2, -4), [2, 2, 0], 3.9.a_b_abs 
(4, -4, 8), [0, 0, 0], 3.9.a_b_abo 
(1, -1, -7), [1, 3, 1], 3.9.a_b_az 
(5, -5, 17), [1, 3, 1], 3.9.a_b_af 
(-5, 5, 17), [3, 1, 1], 3.9.a_b_f 
(-1, 1, -7), [3, 1, 1], 3.9.a_b_z 
(-4, 4, 8), [0, 0, 0], 3.9.a_b_bo 
(-2, 2, -4), [2, 2, 0], 3.9.a_b_bs 
(2, -2, -2), [2, 2, 2], 3.9.a_d_abo 
(4, -4, 10), [0, 0, 2], 3.9.a_d_abg 
(1, -1, -5), [1, 3, 3], 3.9.a_d_ax 
(-5, 5, 19), [3, 1, 3], 3.9.a_d_af 
(5, -5, 19), [1, 3, 3], 3.9.a_d_f 
(-1, 1, -5), [3, 1, 3], 3.9.a_d_x 
(-4, 4, 10), [0, 0, 2], 3.9.a_d_bg 
(-2, 2, -2), [2, 2, 2], 3.9.a_d_bo 
(2, -2, -1), [2, 2, 3], 3.9.a_e_abm 
(4, -4, 11), [0, 0, 3], 3.9.a_e_abc 
(1, -1, -4), [1, 3, 0], 3.9.a_e_aw 
(-5, 5, 20), [3, 1, 0], 3.9.a_e_ak 
(5, -5, 20), [1, 3, 0], 3.9.a_e_k 
(-1, 1, -4), [3, 1, 0], 3.9.a_e_w 
(-4, 4, 11), [0, 0, 3], 3.9.a_e_bc 
(-2, 2, -1), [2, 2, 3], 3.9.a_e_bm 
(2, -2, 1), [2, 2, 1], 3.9.a_g_abi 
(-2, 2, 1), [2, 2, 1], 3.9.a_g_bi 
